# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0685844"
"20.0";"0.0728376"
"30.0";"0.0888866"
"40.0";"0.1102998"
"50.0";"0.125713"
"60.0";"0.1211802"
"70.0";"0.1092254"
"80.0";"0.1075096"
"90.0";"0.1203579"
"100.0";"0.1282389"
"110.0";"0.0981563"
"120.0";"0.1011515"
"130.0";"0.0978042"
"140.0";"0.09155"
"150.0";"0.0810036"
"160.0";"0.0820811"
"170.0";"0.0949533"
"180.0";"0.0853325"
"190.0";"0.0901658"
"200.0";"0.0906614"
"210.0";"0.0972157"
"220.0";"0.0804893"
"230.0";"0.086063"
"240.0";"0.0857342"
"250.0";"0.1183967"
"260.0";"0.1489752"
"270.0";"0.1367319"
"280.0";"0.1250426"
"290.0";"0.1433751"
"300.0";"0.1400181"
"310.0";"0.1280789"
"320.0";"0.141574"
"330.0";"0.1375092"
"340.0";"0.1311236"
"350.0";"0.1248357"
"360.0";"0.1243132"
"370.0";"0.1301839"
"380.0";"0.1244901"
"390.0";"0.1436763"
"400.0";"0.1521489"
"410.0";"0.1256378"
"420.0";"0.1304735"
"430.0";"0.1189009"
"440.0";"0.1040757"
"450.0";"0.1005801"
"460.0";"0.124987"
"470.0";"0.116642"
"480.0";"0.122682"
"490.0";"0.1339787"
"500.0";"0.1324112"
"510.0";"0.1222739"
"520.0";"0.120914"
"530.0";"0.1237806"
"540.0";"0.1358039"
"550.0";"0.1296349"
"560.0";"0.1303264"
"570.0";"0.1272321"
"580.0";"0.1249923"
"590.0";"0.1319785"
"600.0";"0.1424888"
"610.0";"0.1414403"
"620.0";"0.1506671"
"630.0";"0.1555582"
"640.0";"0.1627409"
"650.0";"0.1431079"
"660.0";"0.1489245"
"670.0";"0.1527357"
"680.0";"0.152624"
"690.0";"0.1361026"
"700.0";"0.1544604"
"710.0";"0.1434896"
"720.0";"0.1522422"
"730.0";"0.1437979"
"740.0";"0.131419"
"750.0";"0.1390356"
"760.0";"0.1396523"
"770.0";"0.125218"
"780.0";"0.1328346"
"790.0";"0.1377348"
"800.0";"0.1309899"
"810.0";"0.1261084"
"820.0";"0.1282592"
"830.0";"0.1336146"
"840.0";"0.1151248"
"850.0";"0.128332"
"860.0";"0.1222289"
"870.0";"0.1197822"
"880.0";"0.1176371"
"890.0";"0.1249038"
"900.0";"0.1168782"
"910.0";"0.1047154"
"920.0";"0.0983406"
"930.0";"0.1110678"
"940.0";"0.1074424"
"950.0";"0.1102198"
"960.0";"0.1299562"
"970.0";"0.1125831"
"980.0";"0.1164062"
"990.0";"0.1083232"
"1000.0";"0.1110534"
"1010.0";"0.1238219"
"1020.0";"0.1126514"
"1030.0";"0.1222642"
"1040.0";"0.1042423"
"1050.0";"0.0919427"
"1060.0";"0.0941619"
"1070.0";"0.1035327"
"1080.0";"0.1063221"
"1090.0";"0.0920411"
"1100.0";"0.105868"
"1110.0";"0.1039508"
"1120.0";"0.0852762"
"1130.0";"0.1105862"
"1140.0";"0.107854"
"1150.0";"0.0920236"
"1160.0";"0.0968431"
"1170.0";"0.0979467"
"1180.0";"0.0898994"
"1190.0";"0.102011"
"1200.0";"0.0977901"
"1210.0";"0.0904063"
"1220.0";"0.081824"
"1230.0";"0.0868732"
"1240.0";"0.0855175"
"1250.0";"0.0959377"
"1260.0";"0.0908159"
"1270.0";"0.0956541"
"1280.0";"0.0877656"
"1290.0";"0.0925971"
"1300.0";"0.0896978"
"1310.0";"0.0886626"
"1320.0";"0.0959001"
"1330.0";"0.0920225"
"1340.0";"0.1085403"
"1350.0";"0.1067753"
"1360.0";"0.1038918"
"1370.0";"0.1114057"
"1380.0";"0.1476761"
"1390.0";"0.1473685"
"1400.0";"0.145085"
"1410.0";"0.1512009"
"1420.0";"0.1639363"
"1430.0";"0.1665349"
"1440.0";"0.1261831"
"1450.0";"0.1210793"
"1460.0";"0.1416222"
"1470.0";"0.1312978"
"1480.0";"0.1320363"
"1490.0";"0.1168699"
"1500.0";"0.1236741"
"1510.0";"0.137838"
"1520.0";"0.1393232"
"1530.0";"0.1355961"
"1540.0";"0.1360785"
"1550.0";"0.1232045"
"1560.0";"0.1137144"
"1570.0";"0.1168123"
"1580.0";"0.1165269"
"1590.0";"0.1093904"
"1600.0";"0.1287326"
"1610.0";"0.1194082"
"1620.0";"0.1467984"
"1630.0";"0.1617702"
"1640.0";"0.1884486"
"1650.0";"0.1743984"
"1660.0";"0.1724383"
"1670.0";"0.145087"
"1680.0";"0.1481035"
"1690.0";"0.1476696"
"1700.0";"0.1342329"
"1710.0";"0.152602"
"1720.0";"0.1496725"
"1730.0";"0.1673695"
"1740.0";"0.1643519"
"1750.0";"0.15283"
"1760.0";"0.1754119"
"1770.0";"0.1372899"
"1780.0";"0.1430747"
"1790.0";"0.1182692"
"1800.0";"0.1277511"
"1810.0";"0.1226923"
"1820.0";"0.1091443"
"1830.0";"0.0983151"
"1840.0";"0.1047351"
"1850.0";"0.102689"
"1860.0";"0.1004109"
"1870.0";"0.1157229"
"1880.0";"0.1076429"
"1890.0";"0.1026583"
"1900.0";"0.1067713"
"1910.0";"0.1091116"
"1920.0";"0.1029609"
"1930.0";"0.1265566"
"1940.0";"0.1275455"
"1950.0";"0.1135206"
"1960.0";"0.0967941"
"1970.0";"0.1079878"
"1980.0";"0.1185747"
"1990.0";"0.1220621"
"2000.0";"0.1139584"
"2010.0";"0.1074363"
"2020.0";"0.1103816"
"2030.0";"0.0994485"
"2040.0";"0.110576"
"2050.0";"0.1194359"
"2060.0";"0.1017106"
"2070.0";"0.1057529"
"2080.0";"0.1103548"
"2090.0";"0.1314814"
"2100.0";"0.1183105"
"2110.0";"0.1296924"
"2120.0";"0.102888"
"2130.0";"0.1217338"
"2140.0";"0.1177046"
"2150.0";"0.095957"
"2160.0";"0.1200318"
"2170.0";"0.1165439"
"2180.0";"0.1073813"
"2190.0";"0.109952"
"2200.0";"0.1058543"
"2210.0";"0.0962131"
"2220.0";"0.1165072"
"2230.0";"0.1219414"
"2240.0";"0.1161388"
"2250.0";"0.1043616"
"2260.0";"0.0944703"
"2270.0";"0.1012541"
"2280.0";"0.1009205"
"2290.0";"0.1116136"
"2300.0";"0.1118447"
"2310.0";"0.1038336"
"2320.0";"0.0977129"
"2330.0";"0.0900724"
"2340.0";"0.0982784"
"2350.0";"0.1061372"
"2360.0";"0.1055866"
"2370.0";"0.1073141"
"2380.0";"0.110102"
"2390.0";"0.1019391"
"2400.0";"0.1029306"
"2410.0";"0.1097904"
"2420.0";"0.1142177"
"2430.0";"0.1123703"
"2440.0";"0.1048907"
"2450.0";"0.108625"
"2460.0";"0.1265858"
"2470.0";"0.1284809"
"2480.0";"0.1206633"
"2490.0";"0.1289599"
"2500.0";"0.1153856"
"2510.0";"0.1201881"
"2520.0";"0.1344175"
"2530.0";"0.1217084"
"2540.0";"0.1221359"
"2550.0";"0.1203806"
"2560.0";"0.1224847"
"2570.0";"0.1300703"
"2580.0";"0.1165819"
"2590.0";"0.1178858"
"2600.0";"0.1241482"
"2610.0";"0.1208994"
"2620.0";"0.1367743"
"2630.0";"0.1322831"
"2640.0";"0.1395868"
"2650.0";"0.1336134"
"2660.0";"0.1260794"
"2670.0";"0.1405465"
"2680.0";"0.1435609"
"2690.0";"0.1585386"
"2700.0";"0.1375007"
"2710.0";"0.1202595"
"2720.0";"0.1200798"
"2730.0";"0.1361443"
"2740.0";"0.1341539"
"2750.0";"0.1306831"
"2760.0";"0.1130321"
"2770.0";"0.1312325"
"2780.0";"0.1323422"
"2790.0";"0.1347156"
"2800.0";"0.1251605"
"2810.0";"0.1285551"
"2820.0";"0.1387335"
"2830.0";"0.1289021"
"2840.0";"0.1261092"
"2850.0";"0.1188564"
"2860.0";"0.1207057"
"2870.0";"0.1132375"
"2880.0";"0.1176134"
"2890.0";"0.1178767"
"2900.0";"0.1419403"
"2910.0";"0.1210294"
"2920.0";"0.1100583"
"2930.0";"0.1156607"
"2940.0";"0.1299964"
"2950.0";"0.1152482"
"2960.0";"0.1128253"
"2970.0";"0.1396649"
"2980.0";"0.1363438"
"2990.0";"0.1320807"
"3000.0";"0.1484223"
