# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL"
"0.0";"0.6998813"
"10.0";"0.861481"
"20.0";"0.8077828"
"30.0";"0.7390682"
"40.0";"0.6122851"
"50.0";"1.018946"
"60.0";"0.9186194"
"70.0";"0.8606561"
"80.0";"0.7613788"
"90.0";"0.8977028"
"100.0";"0.9141448"
"110.0";"0.7759914"
"120.0";"0.8637669"
"130.0";"1.041054"
"140.0";"0.8975288"
"150.0";"0.9826544"
"160.0";"0.8964541"
"170.0";"0.9650521"
"180.0";"1.129218"
"190.0";"1.054541"
"200.0";"0.9519758"
"210.0";"1.022798"
"220.0";"1.221462"
"230.0";"1.353848"
"240.0";"1.271328"
"250.0";"1.275851"
"260.0";"1.316168"
"270.0";"1.657216"
"280.0";"1.743039"
"290.0";"1.465889"
"300.0";"1.503518"
"310.0";"1.349376"
"320.0";"1.571867"
"330.0";"1.396456"
"340.0";"0.9235123"
"350.0";"0.9033838"
"360.0";"0.8105965"
"370.0";"0.7427343"
"380.0";"0.6254261"
"390.0";"0.4110911"
"400.0";"0.5743352"
"410.0";"0.67978"
"420.0";"0.6248102"
"430.0";"0.6908994"
"440.0";"0.757893"
"450.0";"0.6270073"
"460.0";"0.7904901"
"470.0";"0.536936"
"480.0";"0.5842807"
"490.0";"0.5034341"
"500.0";"0.3854206"
"510.0";"0.5268219"
"520.0";"0.4610955"
"530.0";"0.4626059"
"540.0";"0.4754987"
"550.0";"0.4215329"
"560.0";"0.3080034"
"570.0";"0.3168754"
"580.0";"0.3136207"
"590.0";"0.3347639"
"600.0";"0.4183171"
"610.0";"0.3555405"
"620.0";"0.3210497"
"630.0";"0.329475"
"640.0";"0.3766448"
"650.0";"0.4635363"
"660.0";"0.529206"
"670.0";"0.4714459"
"680.0";"0.4791192"
"690.0";"0.4937487"
"700.0";"0.4535394"
"710.0";"0.4583811"
"720.0";"0.4833581"
"730.0";"0.5250278"
"740.0";"0.4649076"
"750.0";"0.4948475"
"760.0";"0.4250293"
"770.0";"0.5419464"
"780.0";"0.5083038"
"790.0";"0.4640279"
"800.0";"0.5275843"
"810.0";"0.5431259"
"820.0";"0.4846884"
"830.0";"0.4801708"
"840.0";"0.6135907"
"850.0";"0.505099"
"860.0";"0.4830329"
"870.0";"0.5603622"
"880.0";"0.5391858"
"890.0";"0.4906097"
"900.0";"0.4480915"
"910.0";"0.4447213"
"920.0";"0.5478612"
"930.0";"0.5461694"
"940.0";"0.5159513"
"950.0";"0.5604722"
"960.0";"0.4342649"
"970.0";"0.4551715"
"980.0";"0.384389"
"990.0";"0.5028613"
"1000.0";"0.4906128"
"1010.0";"0.4138259"
"1020.0";"0.4123699"
"1030.0";"0.4155419"
"1040.0";"0.4820178"
"1050.0";"0.523474"
"1060.0";"0.4458264"
"1070.0";"0.520835"
"1080.0";"0.5848758"
"1090.0";"0.5320526"
"1100.0";"0.5497837"
"1110.0";"0.4481227"
"1120.0";"0.5292163"
"1130.0";"0.481999"
"1140.0";"0.4588441"
"1150.0";"0.5580906"
"1160.0";"0.5204588"
"1170.0";"0.472375"
"1180.0";"0.4810499"
"1190.0";"0.4807004"
"1200.0";"0.5182047"
"1210.0";"0.510854"
"1220.0";"0.4685657"
"1230.0";"0.5103735"
"1240.0";"0.5365304"
"1250.0";"0.4919768"
"1260.0";"0.4828551"
"1270.0";"0.5094497"
"1280.0";"0.4101549"
"1290.0";"0.419963"
"1300.0";"0.4663336"
"1310.0";"0.4533486"
"1320.0";"0.4782104"
"1330.0";"0.3908632"
"1340.0";"0.4372801"
"1350.0";"0.4299604"
"1360.0";"0.4092626"
"1370.0";"0.4573686"
"1380.0";"0.3942461"
"1390.0";"0.3952859"
"1400.0";"0.4610891"
"1410.0";"0.4754328"
"1420.0";"0.4519858"
"1430.0";"0.4044093"
"1440.0";"0.4639333"
"1450.0";"0.5428686"
"1460.0";"0.5141536"
"1470.0";"0.5014839"
"1480.0";"0.5615348"
"1490.0";"0.4489142"
"1500.0";"0.4590348"
"1510.0";"0.5564407"
"1520.0";"0.5024878"
"1530.0";"0.4445874"
"1540.0";"0.5097265"
"1550.0";"0.51609"
"1560.0";"0.4584464"
"1570.0";"0.4639149"
"1580.0";"0.4792379"
"1590.0";"0.5447743"
"1600.0";"0.3281434"
"1610.0";"0.4935891"
"1620.0";"0.481183"
"1630.0";"0.5867895"
"1640.0";"0.5054048"
"1650.0";"0.5482527"
"1660.0";"0.4529924"
"1670.0";"0.4420974"
"1680.0";"0.5698587"
"1690.0";"0.5092251"
"1700.0";"0.4813659"
"1710.0";"0.4972092"
"1720.0";"0.4756008"
"1730.0";"0.4466271"
"1740.0";"0.5064573"
"1750.0";"0.4878136"
"1760.0";"0.4548518"
"1770.0";"0.5001052"
"1780.0";"0.5264447"
"1790.0";"0.4167516"
"1800.0";"0.4757194"
"1810.0";"0.4684548"
"1820.0";"0.5007563"
"1830.0";"0.5049177"
"1840.0";"0.4733223"
"1850.0";"0.5097972"
"1860.0";"0.5298122"
"1870.0";"0.4713809"
"1880.0";"0.5148534"
"1890.0";"0.5041527"
"1900.0";"0.3133943"
"1910.0";"0.3767187"
"1920.0";"0.2811031"
"1930.0";"0.4275069"
"1940.0";"0.3427622"
"1950.0";"0.2450571"
"1960.0";"0.3012675"
"1970.0";"0.2321249"
"1980.0";"0.2616065"
"1990.0";"0.2741554"
"2000.0";"0.3154821"
"2010.0";"0.2862273"
"2020.0";"0.2633516"
"2030.0";"0.3470244"
"2040.0";"0.2736916"
"2050.0";"0.2757714"
"2060.0";"0.2259383"
"2070.0";"0.3026235"
"2080.0";"0.2659135"
"2090.0";"0.2292465"
"2100.0";"0.3089905"
"2110.0";"0.2558028"
"2120.0";"0.2723306"
"2130.0";"0.3046113"
"2140.0";"0.3387538"
"2150.0";"0.3189073"
"2160.0";"0.3648162"
"2170.0";"0.3066497"
"2180.0";"0.2669476"
"2190.0";"0.3064"
"2200.0";"0.3994333"
"2210.0";"0.5479862"
"2220.0";"0.5484397"
"2230.0";"0.6145552"
"2240.0";"0.6023502"
"2250.0";"0.5516685"
"2260.0";"0.5856227"
"2270.0";"0.5470242"
"2280.0";"0.5719703"
"2290.0";"0.49322"
"2300.0";"0.6188672"
"2310.0";"0.6326683"
"2320.0";"0.6166824"
