# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL7.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL7"
"0.0";"3.748353"
"10.0";"3.553529"
"20.0";"3.401184"
"30.0";"3.522233"
"40.0";"3.516709"
"50.0";"3.572251"
"60.0";"3.344225"
"70.0";"3.022383"
"80.0";"2.944132"
"90.0";"3.033979"
"100.0";"3.132782"
"110.0";"3.040225"
"120.0";"2.812109"
"130.0";"2.702329"
"140.0";"2.791261"
"150.0";"2.660533"
"160.0";"2.73821"
"170.0";"2.737843"
"180.0";"2.797943"
"190.0";"2.667252"
"200.0";"2.805051"
"210.0";"2.769856"
"220.0";"2.693822"
"230.0";"2.62457"
"240.0";"2.548294"
"250.0";"2.483989"
"260.0";"2.291985"
"270.0";"2.337508"
"280.0";"2.179232"
"290.0";"2.259626"
"300.0";"2.159673"
"310.0";"2.134594"
"320.0";"1.909394"
"330.0";"1.830669"
"340.0";"2.0172"
"350.0";"2.006834"
"360.0";"2.21766"
"370.0";"2.301275"
"380.0";"2.260038"
"390.0";"2.334391"
"400.0";"2.347951"
"410.0";"2.323572"
"420.0";"2.447275"
"430.0";"2.804901"
"440.0";"2.842898"
"450.0";"2.774193"
"460.0";"2.691776"
"470.0";"2.673107"
"480.0";"2.588956"
"490.0";"2.47202"
"500.0";"2.310274"
"510.0";"2.169646"
"520.0";"2.125789"
"530.0";"2.456228"
"540.0";"2.253746"
"550.0";"2.171484"
"560.0";"2.434271"
"570.0";"2.017015"
"580.0";"1.927596"
"590.0";"2.189554"
"600.0";"2.212361"
"610.0";"2.468882"
"620.0";"2.696134"
"630.0";"2.423387"
"640.0";"2.815348"
"650.0";"3.027036"
"660.0";"2.991968"
"670.0";"2.898799"
"680.0";"2.752371"
"690.0";"2.548076"
"700.0";"2.815238"
"710.0";"2.99199"
"720.0";"3.058817"
"730.0";"2.950359"
"740.0";"2.890972"
"750.0";"2.742766"
"760.0";"2.94506"
"770.0";"2.988106"
"780.0";"3.098406"
"790.0";"3.102869"
"800.0";"3.083756"
"810.0";"3.051781"
"820.0";"3.121803"
"830.0";"2.88364"
"840.0";"2.833879"
"850.0";"2.69176"
"860.0";"2.828935"
"870.0";"3.001496"
"880.0";"3.111082"
"890.0";"2.897194"
"900.0";"3.203555"
"910.0";"3.365899"
"920.0";"3.263313"
"930.0";"3.276042"
"940.0";"3.2094"
"950.0";"3.307057"
"960.0";"3.445776"
"970.0";"3.534693"
"980.0";"3.753847"
"990.0";"3.545838"
"1000.0";"3.334213"
"1010.0";"3.084887"
"1020.0";"3.147429"
"1030.0";"3.523918"
"1040.0";"3.629162"
"1050.0";"3.774336"
"1060.0";"3.977565"
"1070.0";"3.778486"
"1080.0";"4.062047"
"1090.0";"3.995391"
"1100.0";"3.994503"
"1110.0";"4.084084"
"1120.0";"4.069164"
"1130.0";"4.101732"
"1140.0";"4.251492"
"1150.0";"4.063859"
"1160.0";"4.202611"
"1170.0";"4.10123"
"1180.0";"4.316568"
"1190.0";"4.290927"
"1200.0";"4.030341"
"1210.0";"4.312843"
"1220.0";"4.279778"
"1230.0";"4.319439"
"1240.0";"4.361517"
"1250.0";"4.457617"
"1260.0";"4.271415"
"1270.0";"4.387161"
"1280.0";"4.202381"
"1290.0";"4.050486"
"1300.0";"3.917382"
"1310.0";"3.973817"
"1320.0";"4.217898"
"1330.0";"4.308048"
"1340.0";"4.308474"
"1350.0";"4.411407"
"1360.0";"4.259243"
"1370.0";"4.180061"
"1380.0";"4.31705"
"1390.0";"4.416707"
"1400.0";"4.537029"
"1410.0";"4.479594"
"1420.0";"4.262904"
"1430.0";"4.087674"
"1440.0";"4.308672"
"1450.0";"4.339082"
"1460.0";"4.237303"
"1470.0";"4.385246"
"1480.0";"4.524322"
"1490.0";"4.462947"
"1500.0";"4.14501"
"1510.0";"4.147865"
"1520.0";"4.13014"
"1530.0";"4.295122"
"1540.0";"4.58318"
"1550.0";"4.713297"
"1560.0";"4.939388"
"1570.0";"5.175313"
"1580.0";"4.989374"
"1590.0";"5.066529"
"1600.0";"5.253622"
"1610.0";"5.033381"
"1620.0";"5.01823"
"1630.0";"5.256042"
"1640.0";"5.088873"
"1650.0";"4.88666"
"1660.0";"4.982911"
"1670.0";"4.977282"
"1680.0";"4.984759"
"1690.0";"4.792813"
"1700.0";"4.681469"
"1710.0";"4.677616"
"1720.0";"4.718181"
"1730.0";"5.011616"
"1740.0";"5.051507"
"1750.0";"5.246087"
"1760.0";"5.429733"
"1770.0";"5.318885"
"1780.0";"4.977153"
"1790.0";"4.986308"
"1800.0";"5.334106"
"1810.0";"5.365274"
"1820.0";"5.367191"
"1830.0";"4.970549"
"1840.0";"4.921415"
"1850.0";"5.059942"
"1860.0";"4.766111"
"1870.0";"4.812454"
"1880.0";"4.820132"
"1890.0";"4.932168"
"1900.0";"4.860683"
"1910.0";"4.801489"
"1920.0";"5.02518"
"1930.0";"5.186867"
"1940.0";"5.042642"
"1950.0";"4.949353"
"1960.0";"4.87741"
"1970.0";"4.87578"
"1980.0";"4.959583"
"1990.0";"5.115711"
"2000.0";"5.24294"
"2010.0";"5.188924"
"2020.0";"5.052619"
"2030.0";"5.035328"
"2040.0";"5.062004"
"2050.0";"4.992755"
"2060.0";"5.046518"
"2070.0";"5.048881"
"2080.0";"5.202949"
"2090.0";"5.323385"
"2100.0";"5.198326"
"2110.0";"5.073289"
"2120.0";"5.126477"
"2130.0";"5.234471"
"2140.0";"5.323864"
"2150.0";"5.412588"
"2160.0";"5.477108"
"2170.0";"5.613267"
"2180.0";"5.597078"
"2190.0";"5.52748"
"2200.0";"5.625823"
"2210.0";"5.639814"
"2220.0";"5.870366"
"2230.0";"5.817809"
"2240.0";"5.596393"
"2250.0";"5.595541"
"2260.0";"5.640781"
"2270.0";"5.85521"
"2280.0";"5.70842"
"2290.0";"5.867453"
"2300.0";"5.972935"
"2310.0";"5.952833"
"2320.0";"6.089757"
"2330.0";"6.052955"
"2340.0";"5.982366"
"2350.0";"5.802758"
"2360.0";"6.093226"
"2370.0";"6.283127"
"2380.0";"6.058432"
"2390.0";"5.916708"
"2400.0";"5.888583"
"2410.0";"5.823142"
"2420.0";"5.471664"
"2430.0";"5.593393"
"2440.0";"5.54809"
