# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_311-324_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_311-324-MOL"
"0.0";"1.862491"
"10.0";"2.165427"
"20.0";"1.670089"
"30.0";"1.741362"
"40.0";"1.921656"
"50.0";"1.681587"
"60.0";"1.543022"
"70.0";"1.142213"
"80.0";"0.8322489"
"90.0";"1.018664"
"100.0";"0.9695871"
"110.0";"0.8407419"
"120.0";"1.00969"
"130.0";"1.134789"
"140.0";"1.418303"
"150.0";"1.566894"
"160.0";"1.234038"
"170.0";"1.599484"
"180.0";"1.549232"
"190.0";"1.647647"
"200.0";"1.77623"
"210.0";"1.721035"
"220.0";"1.668377"
"230.0";"1.736744"
"240.0";"1.650835"
"250.0";"1.625969"
"260.0";"1.598047"
"270.0";"1.672373"
"280.0";"1.697147"
"290.0";"1.557162"
"300.0";"1.767431"
"310.0";"2.111643"
"320.0";"2.063364"
"330.0";"2.040337"
"340.0";"1.965196"
"350.0";"1.954538"
"360.0";"2.024956"
"370.0";"2.083027"
"380.0";"1.926362"
"390.0";"1.963499"
"400.0";"1.878647"
"410.0";"1.829012"
"420.0";"1.859691"
"430.0";"1.772539"
"440.0";"1.842347"
"450.0";"1.812154"
"460.0";"1.858936"
"470.0";"1.860806"
"480.0";"1.842409"
"490.0";"1.898675"
"500.0";"1.898244"
"510.0";"1.881816"
"520.0";"1.851768"
"530.0";"1.877013"
"540.0";"1.91655"
"550.0";"1.83137"
"560.0";"1.878062"
"570.0";"1.892896"
"580.0";"1.778336"
"590.0";"1.856713"
"600.0";"1.832273"
"610.0";"1.845488"
"620.0";"1.884245"
"630.0";"1.719848"
"640.0";"1.715379"
"650.0";"1.68171"
"660.0";"1.627807"
"670.0";"1.689706"
"680.0";"1.691408"
"690.0";"1.657285"
"700.0";"1.693839"
"710.0";"1.742816"
"720.0";"1.7494"
"730.0";"1.722024"
"740.0";"1.588956"
"750.0";"1.520245"
"760.0";"1.611378"
"770.0";"1.648974"
"780.0";"1.694015"
"790.0";"1.790916"
"800.0";"1.811498"
"810.0";"1.795284"
"820.0";"1.775056"
"830.0";"1.841173"
"840.0";"1.861515"
"850.0";"1.770922"
"860.0";"1.843556"
"870.0";"1.992072"
"880.0";"1.979334"
"890.0";"1.910726"
"900.0";"1.909223"
"910.0";"2.020832"
"920.0";"1.977773"
"930.0";"1.928955"
"940.0";"1.981833"
"950.0";"2.020535"
"960.0";"1.921387"
"970.0";"1.97673"
"980.0";"1.991219"
"990.0";"1.995253"
"1000.0";"2.003957"
"1010.0";"1.95626"
"1020.0";"2.045538"
"1030.0";"2.019895"
"1040.0";"1.855819"
"1050.0";"2.117543"
"1060.0";"2.001194"
"1070.0";"1.969561"
"1080.0";"1.913359"
"1090.0";"1.937431"
"1100.0";"1.926212"
"1110.0";"1.975705"
"1120.0";"1.997926"
"1130.0";"1.948203"
"1140.0";"2.069607"
"1150.0";"1.932164"
"1160.0";"1.946675"
"1170.0";"1.895669"
"1180.0";"1.993881"
"1190.0";"1.991101"
"1200.0";"1.922147"
"1210.0";"1.902005"
"1220.0";"1.845076"
"1230.0";"1.918622"
"1240.0";"1.979496"
"1250.0";"1.944157"
"1260.0";"1.960947"
"1270.0";"1.892358"
