# This .csv file was created 12.10.2024 14:32
# extracted out of file prod_mindist_mol4_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL4-outer_dimer_area"
"0.0";"6.086596"
"10.0";"6.035232"
"20.0";"6.252613"
"30.0";"6.308975"
"40.0";"5.960588"
"50.0";"5.843337"
"60.0";"5.972822"
"70.0";"5.85572"
"80.0";"5.846965"
"90.0";"6.086783"
"100.0";"6.074807"
"110.0";"6.088074"
"120.0";"6.190999"
"130.0";"6.199101"
"140.0";"6.370059"
"150.0";"6.252141"
"160.0";"6.194187"
"170.0";"6.251406"
"180.0";"6.257039"
"190.0";"6.335312"
"200.0";"6.243953"
"210.0";"6.29662"
"220.0";"6.535862"
"230.0";"6.67294"
"240.0";"6.730042"
"250.0";"6.355951"
"260.0";"6.246172"
"270.0";"6.237228"
"280.0";"6.308782"
"290.0";"6.361136"
"300.0";"6.351855"
"310.0";"6.260782"
"320.0";"6.451395"
"330.0";"6.314996"
"340.0";"6.147082"
"350.0";"6.100977"
"360.0";"6.064489"
"370.0";"5.939001"
"380.0";"5.894395"
"390.0";"5.924188"
"400.0";"5.9579"
"410.0";"5.894416"
"420.0";"5.581079"
"430.0";"5.870361"
"440.0";"5.788554"
"450.0";"5.776469"
"460.0";"5.946465"
"470.0";"5.645423"
"480.0";"5.607747"
"490.0";"5.547451"
"500.0";"5.522654"
"510.0";"5.320673"
"520.0";"5.375068"
"530.0";"5.340885"
"540.0";"5.465744"
"550.0";"5.194701"
"560.0";"5.117114"
"570.0";"4.99211"
"580.0";"5.098321"
"590.0";"5.131961"
"600.0";"5.688711"
"610.0";"5.38488"
"620.0";"5.375045"
"630.0";"5.274616"
"640.0";"5.418406"
"650.0";"5.470173"
"660.0";"5.380724"
"670.0";"5.386753"
"680.0";"5.772305"
"690.0";"5.647927"
"700.0";"5.55545"
"710.0";"5.445859"
"720.0";"5.405898"
"730.0";"5.638453"
"740.0";"5.467547"
"750.0";"5.276627"
"760.0";"5.158641"
"770.0";"5.291427"
"780.0";"5.464184"
"790.0";"5.657066"
"800.0";"5.475362"
"810.0";"5.406619"
"820.0";"5.543453"
"830.0";"5.542758"
"840.0";"5.595039"
"850.0";"5.544744"
"860.0";"5.566605"
"870.0";"5.450438"
"880.0";"5.61197"
"890.0";"5.257224"
"900.0";"5.107533"
"910.0";"4.936579"
"920.0";"5.163984"
"930.0";"5.35416"
"940.0";"5.267441"
"950.0";"5.325572"
"960.0";"5.351468"
"970.0";"5.13167"
"980.0";"5.114757"
"990.0";"5.191513"
"1000.0";"5.281163"
"1010.0";"5.560636"
"1020.0";"5.414534"
"1030.0";"5.255118"
"1040.0";"5.277181"
"1050.0";"5.142353"
"1060.0";"5.347791"
"1070.0";"5.167101"
"1080.0";"5.427827"
"1090.0";"5.512771"
"1100.0";"5.831827"
"1110.0";"5.628665"
"1120.0";"5.497846"
"1130.0";"5.601332"
"1140.0";"5.790511"
"1150.0";"5.938954"
"1160.0";"5.850535"
"1170.0";"6.084652"
"1180.0";"5.860964"
"1190.0";"5.973506"
"1200.0";"5.799391"
"1210.0";"5.667777"
"1220.0";"5.745548"
"1230.0";"5.663972"
"1240.0";"5.457315"
"1250.0";"5.484259"
"1260.0";"5.841618"
"1270.0";"5.809764"
"1280.0";"6.076989"
"1290.0";"6.323586"
"1300.0";"6.173646"
"1310.0";"5.951674"
"1320.0";"6.287011"
"1330.0";"6.041971"
"1340.0";"5.756821"
"1350.0";"5.769032"
"1360.0";"5.876824"
"1370.0";"5.869841"
"1380.0";"5.799872"
"1390.0";"5.647512"
"1400.0";"5.470577"
"1410.0";"5.74563"
"1420.0";"5.525262"
"1430.0";"5.671264"
"1440.0";"5.779977"
"1450.0";"5.905711"
"1460.0";"6.103702"
"1470.0";"6.184188"
