# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mol9_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.23e-05"
"10.0";"0.0923213"
"20.0";"0.0888577"
"30.0";"0.094237"
"40.0";"0.1015353"
"50.0";"0.1014168"
"60.0";"0.1031103"
"70.0";"0.1026858"
"80.0";"0.1028245"
"90.0";"0.1093595"
"100.0";"0.1194255"
"110.0";"0.135846"
"120.0";"0.1392562"
"130.0";"0.1404208"
"140.0";"0.1462053"
"150.0";"0.1407249"
"160.0";"0.135116"
"170.0";"0.1367217"
"180.0";"0.145122"
"190.0";"0.1408518"
"200.0";"0.1525072"
"210.0";"0.1529072"
"220.0";"0.1512873"
"230.0";"0.1637819"
"240.0";"0.1791427"
"250.0";"0.1695543"
"260.0";"0.1815746"
"270.0";"0.1880612"
"280.0";"0.186362"
"290.0";"0.1998627"
"300.0";"0.1827705"
"310.0";"0.1920888"
"320.0";"0.1847307"
"330.0";"0.1940214"
"340.0";"0.1871263"
"350.0";"0.2001577"
"360.0";"0.2045325"
"370.0";"0.209178"
"380.0";"0.2071806"
"390.0";"0.2044293"
"400.0";"0.1990592"
"410.0";"0.218103"
"420.0";"0.2092427"
"430.0";"0.2020084"
"440.0";"0.214899"
"450.0";"0.2072249"
"460.0";"0.1946256"
"470.0";"0.2016641"
"480.0";"0.207953"
"490.0";"0.2006543"
"500.0";"0.1973009"
"510.0";"0.2026258"
"520.0";"0.2180467"
"530.0";"0.2182148"
"540.0";"0.2162578"
"550.0";"0.2122551"
"560.0";"0.2213143"
"570.0";"0.2223419"
"580.0";"0.2172962"
"590.0";"0.2115159"
"600.0";"0.2110537"
"610.0";"0.1942986"
"620.0";"0.1952824"
"630.0";"0.2023046"
"640.0";"0.2135485"
"650.0";"0.2066689"
"660.0";"0.1986518"
"670.0";"0.1881016"
"680.0";"0.1973684"
"690.0";"0.1870664"
"700.0";"0.1835511"
"710.0";"0.1800387"
"720.0";"0.1841213"
"730.0";"0.184847"
"740.0";"0.1906543"
"750.0";"0.1873837"
"760.0";"0.1927083"
"770.0";"0.2129071"
"780.0";"0.2099524"
"790.0";"0.2103648"
"800.0";"0.2276207"
"810.0";"0.226621"
"820.0";"0.2149098"
"830.0";"0.2005089"
"840.0";"0.1955732"
"850.0";"0.194277"
"860.0";"0.2006283"
"870.0";"0.2050029"
"880.0";"0.1907963"
"890.0";"0.1803828"
"900.0";"0.1869365"
"910.0";"0.1910374"
"920.0";"0.1914169"
"930.0";"0.1975465"
"940.0";"0.1976166"
"950.0";"0.2067938"
"960.0";"0.2025665"
"970.0";"0.2042692"
"980.0";"0.2065254"
"990.0";"0.2197384"
"1000.0";"0.2071346"
"1010.0";"0.2045005"
"1020.0";"0.1944487"
"1030.0";"0.1921334"
"1040.0";"0.1816401"
"1050.0";"0.1899033"
"1060.0";"0.1805779"
"1070.0";"0.1839333"
"1080.0";"0.1876626"
"1090.0";"0.1818511"
"1100.0";"0.1853282"
"1110.0";"0.1883228"
"1120.0";"0.1851673"
"1130.0";"0.1819323"
"1140.0";"0.1918524"
"1150.0";"0.1874114"
"1160.0";"0.1844346"
"1170.0";"0.1892031"
"1180.0";"0.1936157"
"1190.0";"0.1970418"
"1200.0";"0.1888473"
"1210.0";"0.1943262"
"1220.0";"0.2001688"
"1230.0";"0.1906127"
"1240.0";"0.1992669"
"1250.0";"0.1961544"
"1260.0";"0.1901565"
"1270.0";"0.1999404"
"1280.0";"0.2024547"
"1290.0";"0.1874715"
"1300.0";"0.1831303"
"1310.0";"0.1808487"
"1320.0";"0.1796682"
"1330.0";"0.175449"
"1340.0";"0.1750372"
"1350.0";"0.188147"
"1360.0";"0.1852302"
"1370.0";"0.178222"
"1380.0";"0.180887"
"1390.0";"0.1812183"
"1400.0";"0.191762"
"1410.0";"0.1877485"
"1420.0";"0.1984088"
"1430.0";"0.1940151"
"1440.0";"0.1835655"
"1450.0";"0.1837015"
"1460.0";"0.1861001"
"1470.0";"0.1971001"
"1480.0";"0.1903452"
"1490.0";"0.2016967"
"1500.0";"0.1951202"
"1510.0";"0.198366"
"1520.0";"0.193229"
"1530.0";"0.2072323"
"1540.0";"0.1904771"
"1550.0";"0.1842329"
"1560.0";"0.1897145"
"1570.0";"0.1828881"
"1580.0";"0.1783879"
"1590.0";"0.1692011"
"1600.0";"0.1690418"
"1610.0";"0.1726303"
"1620.0";"0.1693884"
"1630.0";"0.1656658"
"1640.0";"0.1657188"
"1650.0";"0.1653967"
"1660.0";"0.1727878"
"1670.0";"0.1736877"
"1680.0";"0.1754197"
"1690.0";"0.1744451"
"1700.0";"0.1763907"
"1710.0";"0.1659267"
"1720.0";"0.1686323"
"1730.0";"0.176416"
"1740.0";"0.1805342"
"1750.0";"0.1897489"
"1760.0";"0.1910352"
"1770.0";"0.1935008"
"1780.0";"0.1733691"
"1790.0";"0.1821291"
"1800.0";"0.1929156"
"1810.0";"0.189031"
"1820.0";"0.1857204"
"1830.0";"0.1743885"
"1840.0";"0.1789538"
"1850.0";"0.1988636"
"1860.0";"0.1822706"
"1870.0";"0.1771842"
"1880.0";"0.180704"
"1890.0";"0.1830249"
"1900.0";"0.1852058"
"1910.0";"0.1705927"
"1920.0";"0.1837779"
"1930.0";"0.1766236"
"1940.0";"0.1696633"
"1950.0";"0.1741303"
"1960.0";"0.1715372"
"1970.0";"0.1643885"
"1980.0";"0.1741122"
"1990.0";"0.1801507"
"2000.0";"0.1786894"
"2010.0";"0.1710843"
"2020.0";"0.1681345"
"2030.0";"0.1689896"
"2040.0";"0.1683906"
"2050.0";"0.1734511"
"2060.0";"0.1732967"
"2070.0";"0.1725362"
"2080.0";"0.1691182"
"2090.0";"0.1842619"
"2100.0";"0.1817143"
"2110.0";"0.1662149"
"2120.0";"0.1599227"
"2130.0";"0.1695042"
"2140.0";"0.1691492"
"2150.0";"0.165967"
"2160.0";"0.1676774"
"2170.0";"0.1725141"
"2180.0";"0.1683188"
"2190.0";"0.1678964"
"2200.0";"0.1777577"
"2210.0";"0.1780115"
"2220.0";"0.1859099"
"2230.0";"0.1814226"
"2240.0";"0.180746"
"2250.0";"0.1909427"
"2260.0";"0.1898977"
"2270.0";"0.1918538"
"2280.0";"0.1864242"
"2290.0";"0.1890418"
"2300.0";"0.1968685"
"2310.0";"0.1843945"
"2320.0";"0.1943128"
"2330.0";"0.1824742"
"2340.0";"0.196645"
"2350.0";"0.2137998"
"2360.0";"0.2050257"
"2370.0";"0.2126825"
"2380.0";"0.2112245"
"2390.0";"0.2054628"
"2400.0";"0.1874576"
"2410.0";"0.1926461"
"2420.0";"0.1844891"
"2430.0";"0.1931417"
"2440.0";"0.1953845"
"2450.0";"0.2040366"
"2460.0";"0.2235503"
"2470.0";"0.2173183"
"2480.0";"0.2127978"
"2490.0";"0.2215369"
"2500.0";"0.2060878"
"2510.0";"0.2072296"
"2520.0";"0.2035495"
"2530.0";"0.190123"
"2540.0";"0.1985837"
"2550.0";"0.2095043"
"2560.0";"0.2074979"
"2570.0";"0.1987866"
"2580.0";"0.1968582"
"2590.0";"0.2077822"
"2600.0";"0.2031998"
"2610.0";"0.2167475"
"2620.0";"0.2079303"
"2630.0";"0.2157573"
"2640.0";"0.2356034"
"2650.0";"0.2373977"
"2660.0";"0.2301735"
"2670.0";"0.2263462"
"2680.0";"0.2323238"
"2690.0";"0.2404709"
"2700.0";"0.2384461"
"2710.0";"0.2409854"
"2720.0";"0.2305032"
"2730.0";"0.2488494"
"2740.0";"0.2325444"
"2750.0";"0.2423253"
"2760.0";"0.2521129"
"2770.0";"0.2364698"
"2780.0";"0.2255272"
"2790.0";"0.2271914"
"2800.0";"0.2163897"
