# This .csv file was created 12.10.2024 14:29
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL"
"0.0";"0.1567482"
"10.0";"0.1552226"
"20.0";"0.1702143"
"30.0";"0.1814691"
"40.0";"0.1715111"
"50.0";"0.1796804"
"60.0";"0.1613844"
"70.0";"0.1485297"
"80.0";"0.1595933"
"90.0";"0.1565152"
"100.0";"0.1522696"
"110.0";"0.1678126"
"120.0";"0.1740949"
"130.0";"0.1627575"
"140.0";"0.155734"
"150.0";"0.1515682"
"160.0";"0.1540975"
"170.0";"0.1586723"
"180.0";"0.1670149"
"190.0";"0.1513239"
"200.0";"0.1504295"
"210.0";"0.1515588"
"220.0";"0.152607"
"230.0";"0.1569745"
"240.0";"0.1799723"
"250.0";"0.1800472"
"260.0";"0.1694373"
"270.0";"0.1642132"
"280.0";"0.170285"
"290.0";"0.1548612"
"300.0";"0.1628927"
"310.0";"0.1570255"
"320.0";"0.1729306"
"330.0";"0.1811682"
"340.0";"0.1544055"
"350.0";"0.1732136"
"360.0";"0.1637223"
"370.0";"0.166976"
"380.0";"0.1660872"
"390.0";"0.1767512"
"400.0";"0.1705988"
"410.0";"0.1748458"
"420.0";"0.1598437"
"430.0";"0.1618143"
"440.0";"0.1592511"
"450.0";"0.1648636"
"460.0";"0.1599841"
"470.0";"0.1538181"
"480.0";"0.1510098"
"490.0";"0.1659333"
"500.0";"0.1655807"
"510.0";"0.1570634"
"520.0";"0.1631132"
"530.0";"0.1743331"
"540.0";"0.1688846"
"550.0";"0.1562595"
"560.0";"0.1728847"
"570.0";"0.1583949"
"580.0";"0.163086"
"590.0";"0.1527712"
"600.0";"0.1609038"
"610.0";"0.1557724"
"620.0";"0.1709298"
"630.0";"0.1536164"
"640.0";"0.1656295"
"650.0";"0.1631133"
"660.0";"0.1509336"
"670.0";"0.1602436"
"680.0";"0.1623391"
"690.0";"0.1620895"
"700.0";"0.1584328"
"710.0";"0.1836247"
"720.0";"0.1699734"
"730.0";"0.154201"
"740.0";"0.1481823"
"750.0";"0.1626469"
"760.0";"0.1576357"
"770.0";"0.1602903"
"780.0";"0.1580128"
"790.0";"0.1543565"
"800.0";"0.159778"
"810.0";"0.1584835"
"820.0";"0.1669852"
"830.0";"0.1540322"
"840.0";"0.1629664"
"850.0";"0.1653208"
"860.0";"0.1530553"
"870.0";"0.1761646"
"880.0";"0.1637162"
"890.0";"0.1614095"
"900.0";"0.1685408"
"910.0";"0.1579271"
"920.0";"0.1623272"
"930.0";"0.1567197"
"940.0";"0.1476817"
"950.0";"0.1663399"
"960.0";"0.1532355"
"970.0";"0.1625913"
"980.0";"0.1607545"
"990.0";"0.158471"
"1000.0";"0.1554287"
"1010.0";"0.1549904"
"1020.0";"0.1693548"
"1030.0";"0.160356"
"1040.0";"0.158158"
"1050.0";"0.1630246"
"1060.0";"0.1570414"
"1070.0";"0.1591886"
"1080.0";"0.1761223"
"1090.0";"0.1611087"
"1100.0";"0.1551612"
"1110.0";"0.1622495"
"1120.0";"0.1688817"
"1130.0";"0.1548545"
"1140.0";"0.1657889"
"1150.0";"0.1776796"
"1160.0";"0.1575941"
"1170.0";"0.1559677"
"1180.0";"0.1451381"
"1190.0";"0.1479799"
"1200.0";"0.1558658"
"1210.0";"0.1506885"
"1220.0";"0.1579684"
"1230.0";"0.1559935"
"1240.0";"0.177767"
"1250.0";"0.1556727"
"1260.0";"0.1657621"
"1270.0";"0.1640761"
"1280.0";"0.1607638"
"1290.0";"0.1529479"
"1300.0";"0.1538151"
"1310.0";"0.1577528"
"1320.0";"0.1612141"
"1330.0";"0.1475568"
"1340.0";"0.1535842"
"1350.0";"0.1673948"
"1360.0";"0.1570989"
"1370.0";"0.1696025"
"1380.0";"0.1587514"
"1390.0";"0.1526892"
"1400.0";"0.1497465"
"1410.0";"0.1588866"
"1420.0";"0.1622652"
"1430.0";"0.1628833"
"1440.0";"0.1671105"
"1450.0";"0.1701149"
"1460.0";"0.151083"
"1470.0";"0.1532187"
"1480.0";"0.1719682"
"1490.0";"0.1581932"
"1500.0";"0.1601437"
"1510.0";"0.1597775"
"1520.0";"0.1549965"
"1530.0";"0.1457261"
"1540.0";"0.1531962"
"1550.0";"0.1585464"
"1560.0";"0.1626591"
"1570.0";"0.1622867"
"1580.0";"0.1548968"
"1590.0";"0.1543051"
"1600.0";"0.1644415"
"1610.0";"0.1538373"
"1620.0";"0.1586004"
"1630.0";"0.1617253"
"1640.0";"0.1633555"
"1650.0";"0.1671495"
"1660.0";"0.1552419"
"1670.0";"0.1603932"
"1680.0";"0.1568371"
"1690.0";"0.1644295"
"1700.0";"0.1650029"
"1710.0";"0.154428"
"1720.0";"0.1545769"
"1730.0";"0.1591571"
"1740.0";"0.1504028"
"1750.0";"0.1613879"
"1760.0";"0.1534863"
"1770.0";"0.1593737"
"1780.0";"0.1591669"
"1790.0";"0.1590285"
"1800.0";"0.1607265"
"1810.0";"0.1637132"
"1820.0";"0.1538896"
"1830.0";"0.1515551"
"1840.0";"0.1681756"
"1850.0";"0.1947102"
"1860.0";"0.1596683"
"1870.0";"0.1596279"
"1880.0";"0.1555573"
"1890.0";"0.1494024"
"1900.0";"0.1549874"
"1910.0";"0.1566812"
"1920.0";"0.1453583"
"1930.0";"0.1674339"
"1940.0";"0.153964"
"1950.0";"0.1666283"
"1960.0";"0.1532124"
"1970.0";"0.1642101"
"1980.0";"0.1577656"
"1990.0";"0.1608011"
"2000.0";"0.146506"
"2010.0";"0.1782888"
"2020.0";"0.1852946"
"2030.0";"0.1627543"
"2040.0";"0.1545088"
"2050.0";"0.1675321"
"2060.0";"0.1617186"
"2070.0";"0.1604523"
"2080.0";"0.1578924"
"2090.0";"0.1504857"
"2100.0";"0.1642376"
"2110.0";"0.1665804"
"2120.0";"0.160605"
"2130.0";"0.1641522"
"2140.0";"0.1549836"
"2150.0";"0.1475771"
"2160.0";"0.1507681"
"2170.0";"0.1713126"
"2180.0";"0.1580063"
"2190.0";"0.1604434"
"2200.0";"0.1590092"
"2210.0";"0.1642226"
"2220.0";"0.1514892"
"2230.0";"0.1530262"
"2240.0";"0.1523516"
"2250.0";"0.1506356"
"2260.0";"0.1666162"
"2270.0";"0.1556022"
"2280.0";"0.1617685"
"2290.0";"0.1905622"
"2300.0";"0.1969591"
"2310.0";"0.1852299"
"2320.0";"0.2650436"
"2330.0";"0.2444548"
"2340.0";"0.2711105"
"2350.0";"0.2302392"
"2360.0";"0.2401791"
"2370.0";"0.2395516"
"2380.0";"0.2463514"
"2390.0";"0.2781836"
"2400.0";"0.2706254"
"2410.0";"0.2477479"
"2420.0";"0.2591003"
"2430.0";"0.2677462"
"2440.0";"0.2624903"
"2450.0";"0.2049658"
"2460.0";"0.2469006"
"2470.0";"0.2690798"
"2480.0";"0.2482763"
"2490.0";"0.2537833"
"2500.0";"0.2498401"
"2510.0";"0.2332165"
"2520.0";"0.2648056"
"2530.0";"0.2752855"
"2540.0";"0.2544446"
"2550.0";"0.2314305"
"2560.0";"0.234474"
"2570.0";"0.2496558"
"2580.0";"0.2458149"
"2590.0";"0.2414994"
"2600.0";"0.2761232"
"2610.0";"0.2732634"
"2620.0";"0.2317972"
"2630.0";"0.2626594"
"2640.0";"0.2898723"
"2650.0";"0.2719909"
"2660.0";"0.2286354"
"2670.0";"0.2657082"
"2680.0";"0.2586582"
"2690.0";"0.2861137"
"2700.0";"0.2703443"
"2710.0";"0.2052364"
"2720.0";"0.2060487"
"2730.0";"0.1795464"
"2740.0";"0.2451387"
"2750.0";"0.240541"
"2760.0";"0.2216798"
"2770.0";"0.1590253"
"2780.0";"0.1707571"
"2790.0";"0.1611956"
"2800.0";"0.1552611"
"2810.0";"0.1664754"
"2820.0";"0.1675769"
"2830.0";"0.1626313"
"2840.0";"0.1533527"
"2850.0";"0.1714933"
"2860.0";"0.1702469"
"2870.0";"0.1537563"
"2880.0";"0.1557114"
"2890.0";"0.1547446"
"2900.0";"0.1528857"
"2910.0";"0.1520327"
"2920.0";"0.1565057"
"2930.0";"0.1624225"
"2940.0";"0.1577024"
"2950.0";"0.1611243"
"2960.0";"0.162339"
"2970.0";"0.167036"
"2980.0";"0.1635907"
"2990.0";"0.1697585"
"3000.0";"0.1574801"
"3010.0";"0.1458904"
"3020.0";"0.1569458"
"3030.0";"0.1536425"
"3040.0";"0.1579114"
"3050.0";"0.1619538"
"3060.0";"0.1534309"
"3070.0";"0.1616075"
"3080.0";"0.1582245"
"3090.0";"0.1657768"
"3100.0";"0.1593077"
"3110.0";"0.1549289"
"3120.0";"0.1678988"
"3130.0";"0.1561825"
"3140.0";"0.1756416"
"3150.0";"0.1602931"
"3160.0";"0.1509537"
"3170.0";"0.1761646"
"3180.0";"0.1585624"
"3190.0";"0.1588522"
"3200.0";"0.1616353"
"3210.0";"0.1608411"
"3220.0";"0.1523677"
"3230.0";"0.1665115"
"3240.0";"0.1686209"
"3250.0";"0.1525615"
"3260.0";"0.158849"
"3270.0";"0.1535382"
"3280.0";"0.1598094"
"3290.0";"0.1509568"
"3300.0";"0.1566337"
"3310.0";"0.1523813"
"3320.0";"0.1577368"
"3330.0";"0.1551672"
"3340.0";"0.1610002"
"3350.0";"0.1669312"
"3360.0";"0.1576132"
"3370.0";"0.1715665"
"3380.0";"0.1509336"
"3390.0";"0.1670119"
"3400.0";"0.1553898"
"3410.0";"0.1482736"
"3420.0";"0.1680029"
"3430.0";"0.1679226"
"3440.0";"0.1649878"
"3450.0";"0.159903"
"3460.0";"0.1527646"
"3470.0";"0.172699"
"3480.0";"0.1566813"
"3490.0";"0.1426673"
"3500.0";"0.1535253"
"3510.0";"0.1450863"
"3520.0";"0.1716453"
"3530.0";"0.1585243"
"3540.0";"0.1587892"
"3550.0";"0.1598344"
"3560.0";"0.153734"
"3570.0";"0.1543862"
"3580.0";"0.155554"
"3590.0";"0.1603152"
"3600.0";"0.1595148"
"3610.0";"0.1860378"
"3620.0";"0.1623114"
