# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_p2_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0540383"
"20.0";"0.0583178"
"30.0";"0.0657437"
"40.0";"0.0566278"
"50.0";"0.0565777"
"60.0";"0.0691771"
"70.0";"0.0735203"
"80.0";"0.0603754"
"90.0";"0.0714725"
"100.0";"0.0685307"
"110.0";"0.068156"
"120.0";"0.075551"
"130.0";"0.0741709"
"140.0";"0.0712928"
"150.0";"0.0697777"
"160.0";"0.0673774"
"170.0";"0.0652155"
"180.0";"0.0759785"
"190.0";"0.0627211"
"200.0";"0.0692809"
"210.0";"0.0754177"
"220.0";"0.0743655"
"230.0";"0.062659"
"240.0";"0.0719279"
"250.0";"0.0710305"
"260.0";"0.0720891"
"270.0";"0.0685019"
"280.0";"0.0668498"
"290.0";"0.0672462"
"300.0";"0.061989"
"310.0";"0.0721371"
"320.0";"0.0750954"
"330.0";"0.0743838"
"340.0";"0.079501"
"350.0";"0.0772195"
"360.0";"0.0872923"
"370.0";"0.079039"
"380.0";"0.0910441"
"390.0";"0.0944707"
"400.0";"0.0889077"
"410.0";"0.0882314"
"420.0";"0.0849854"
"430.0";"0.0815632"
"440.0";"0.0765282"
"450.0";"0.0750882"
"460.0";"0.0849571"
"470.0";"0.0947418"
"480.0";"0.0872674"
"490.0";"0.0961912"
"500.0";"0.0918687"
"510.0";"0.0840268"
"520.0";"0.0863548"
"530.0";"0.0949422"
"540.0";"0.0896681"
"550.0";"0.0877475"
"560.0";"0.0943667"
"570.0";"0.0829789"
"580.0";"0.0921937"
"590.0";"0.0895149"
"600.0";"0.0860355"
"610.0";"0.0801134"
"620.0";"0.0861923"
"630.0";"0.0955929"
"640.0";"0.0837584"
"650.0";"0.0854287"
"660.0";"0.0872461"
"670.0";"0.0829827"
"680.0";"0.0893841"
"690.0";"0.0930621"
"700.0";"0.0880148"
"710.0";"0.0836727"
"720.0";"0.0821645"
"730.0";"0.0826392"
"740.0";"0.0894432"
"750.0";"0.0982642"
"760.0";"0.0952059"
"770.0";"0.0954334"
"780.0";"0.0960073"
"790.0";"0.0834816"
"800.0";"0.089069"
"810.0";"0.0846528"
"820.0";"0.0932656"
"830.0";"0.0884142"
"840.0";"0.0874051"
"850.0";"0.08525"
"860.0";"0.0849139"
"870.0";"0.084111"
"880.0";"0.086993"
"890.0";"0.084731"
"900.0";"0.0760817"
