# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL17.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL17"
"0.0";"3.555125"
"10.0";"3.495515"
"20.0";"3.662033"
"30.0";"3.425111"
"40.0";"3.414372"
"50.0";"3.379693"
"60.0";"3.365649"
"70.0";"3.319534"
"80.0";"3.136969"
"90.0";"3.25347"
"100.0";"3.312139"
"110.0";"3.200624"
"120.0";"3.15703"
"130.0";"3.174647"
"140.0";"3.354307"
"150.0";"3.361485"
"160.0";"3.534829"
"170.0";"3.40297"
"180.0";"3.26307"
"190.0";"3.588202"
"200.0";"3.75032"
"210.0";"3.414304"
"220.0";"3.433889"
"230.0";"3.617881"
"240.0";"3.542746"
"250.0";"3.573554"
"260.0";"3.557677"
"270.0";"3.652937"
"280.0";"3.648666"
"290.0";"3.611617"
"300.0";"3.612721"
"310.0";"3.754608"
"320.0";"3.613931"
"330.0";"3.742726"
"340.0";"3.640546"
"350.0";"3.480997"
"360.0";"3.686591"
"370.0";"3.577617"
"380.0";"3.57271"
"390.0";"3.49963"
"400.0";"3.743926"
"410.0";"3.683464"
"420.0";"3.679202"
"430.0";"3.77247"
"440.0";"3.519814"
"450.0";"3.633028"
"460.0";"3.903902"
"470.0";"3.829007"
"480.0";"3.736809"
"490.0";"3.47305"
"500.0";"3.367231"
"510.0";"3.348234"
"520.0";"3.252705"
"530.0";"3.318122"
"540.0";"3.145873"
"550.0";"2.958558"
"560.0";"2.975781"
"570.0";"3.171353"
"580.0";"3.314267"
"590.0";"3.289525"
"600.0";"3.328372"
"610.0";"3.31117"
"620.0";"3.076672"
"630.0";"3.378302"
"640.0";"3.44584"
"650.0";"3.118285"
"660.0";"2.928756"
"670.0";"2.918178"
"680.0";"2.953467"
"690.0";"3.041284"
"700.0";"3.06485"
"710.0";"3.057048"
"720.0";"3.293265"
"730.0";"3.011028"
"740.0";"3.158647"
"750.0";"2.743016"
"760.0";"2.683014"
"770.0";"2.785933"
"780.0";"2.834252"
"790.0";"2.822874"
"800.0";"2.752315"
"810.0";"2.814714"
"820.0";"3.078931"
"830.0";"3.127873"
"840.0";"3.004422"
"850.0";"3.071571"
"860.0";"3.138618"
"870.0";"3.198712"
"880.0";"3.193752"
"890.0";"3.179393"
"900.0";"3.390488"
"910.0";"3.443812"
"920.0";"3.651165"
"930.0";"3.657548"
"940.0";"3.893866"
"950.0";"3.94343"
"960.0";"3.861652"
"970.0";"3.926039"
"980.0";"3.832037"
"990.0";"3.965721"
"1000.0";"4.363835"
"1010.0";"4.574108"
"1020.0";"4.477927"
"1030.0";"4.465223"
"1040.0";"4.692367"
"1050.0";"4.929245"
"1060.0";"5.039454"
"1070.0";"5.116929"
"1080.0";"5.188966"
"1090.0";"5.238804"
"1100.0";"5.377722"
"1110.0";"5.479805"
"1120.0";"5.349363"
"1130.0";"5.406589"
"1140.0";"5.700635"
"1150.0";"5.809389"
"1160.0";"5.646135"
"1170.0";"5.740383"
"1180.0";"5.614312"
"1190.0";"5.734882"
"1200.0";"5.590479"
"1210.0";"5.552678"
"1220.0";"5.281225"
"1230.0";"5.181922"
"1240.0";"5.440386"
"1250.0";"5.777794"
"1260.0";"5.580166"
"1270.0";"5.49523"
"1280.0";"5.513472"
"1290.0";"5.672073"
"1300.0";"5.844985"
"1310.0";"5.925096"
"1320.0";"5.918666"
"1330.0";"5.909125"
"1340.0";"5.895548"
"1350.0";"6.136115"
"1360.0";"6.232583"
"1370.0";"6.231821"
"1380.0";"6.257851"
"1390.0";"6.32685"
"1400.0";"6.20141"
"1410.0";"6.490746"
"1420.0";"6.513842"
"1430.0";"6.477335"
"1440.0";"6.61045"
"1450.0";"6.829478"
"1460.0";"6.748841"
"1470.0";"6.886143"
"1480.0";"6.946249"
"1490.0";"6.837318"
"1500.0";"6.576053"
"1510.0";"6.602217"
"1520.0";"6.526713"
"1530.0";"6.50761"
"1540.0";"6.58531"
"1550.0";"6.526665"
"1560.0";"6.55003"
"1570.0";"6.832495"
"1580.0";"6.922418"
"1590.0";"6.789334"
"1600.0";"6.787992"
"1610.0";"6.739677"
"1620.0";"6.618564"
"1630.0";"6.701461"
"1640.0";"6.761479"
"1650.0";"6.697719"
"1660.0";"6.656662"
"1670.0";"6.90388"
"1680.0";"7.070161"
"1690.0";"6.852713"
"1700.0";"6.460179"
"1710.0";"6.282075"
"1720.0";"6.264148"
"1730.0";"6.129166"
"1740.0";"6.193722"
"1750.0";"6.239086"
"1760.0";"6.087054"
"1770.0";"6.018838"
"1780.0";"5.95113"
"1790.0";"5.863389"
"1800.0";"5.995864"
"1810.0";"5.842408"
"1820.0";"5.7638"
"1830.0";"5.748118"
"1840.0";"6.158845"
"1850.0";"5.984929"
"1860.0";"6.034147"
"1870.0";"5.992484"
"1880.0";"6.252015"
"1890.0";"6.230218"
"1900.0";"6.395946"
"1910.0";"6.399096"
"1920.0";"6.273227"
"1930.0";"6.225295"
"1940.0";"6.274124"
"1950.0";"5.974976"
"1960.0";"5.905895"
"1970.0";"5.754747"
"1980.0";"5.411207"
"1990.0";"5.251994"
