# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_311-324_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_311-324-MOL"
"0.0";"1.383115"
"10.0";"1.343406"
"20.0";"1.329896"
"30.0";"1.319946"
"40.0";"1.366412"
"50.0";"1.36233"
"60.0";"1.341286"
"70.0";"1.414268"
"80.0";"1.360492"
"90.0";"1.33497"
"100.0";"1.401035"
"110.0";"1.366966"
"120.0";"1.377813"
"130.0";"1.322589"
"140.0";"1.271696"
"150.0";"1.419283"
"160.0";"1.402399"
"170.0";"1.436327"
"180.0";"1.359083"
"190.0";"1.326433"
"200.0";"1.422104"
"210.0";"1.330237"
"220.0";"1.434806"
"230.0";"1.428673"
"240.0";"1.362705"
"250.0";"1.388165"
"260.0";"1.43674"
"270.0";"1.361159"
"280.0";"1.373828"
"290.0";"1.376628"
"300.0";"1.40411"
"310.0";"1.402323"
"320.0";"1.332409"
"330.0";"1.350886"
"340.0";"1.343838"
"350.0";"1.321322"
"360.0";"1.190936"
"370.0";"1.163878"
"380.0";"1.284988"
"390.0";"1.403227"
"400.0";"1.315291"
"410.0";"1.333159"
"420.0";"1.325036"
"430.0";"1.364409"
"440.0";"1.377272"
"450.0";"1.403784"
"460.0";"1.325459"
"470.0";"1.376372"
"480.0";"1.441478"
"490.0";"1.344652"
"500.0";"1.32533"
"510.0";"1.374089"
"520.0";"1.447068"
"530.0";"1.338756"
"540.0";"1.348201"
"550.0";"1.421898"
"560.0";"1.406506"
"570.0";"1.462904"
"580.0";"1.389922"
"590.0";"1.488244"
"600.0";"1.459762"
"610.0";"1.360588"
"620.0";"1.34577"
"630.0";"1.380529"
"640.0";"1.329044"
"650.0";"1.393196"
"660.0";"1.436146"
"670.0";"1.438779"
"680.0";"1.436134"
"690.0";"1.435081"
"700.0";"1.479205"
"710.0";"1.429385"
"720.0";"1.398431"
"730.0";"1.421254"
"740.0";"1.396107"
"750.0";"1.366775"
"760.0";"1.365906"
"770.0";"1.424708"
"780.0";"1.334921"
"790.0";"1.412431"
"800.0";"1.399827"
"810.0";"1.418408"
"820.0";"1.411314"
"830.0";"1.364314"
"840.0";"1.405372"
"850.0";"1.354453"
"860.0";"1.358234"
"870.0";"1.414692"
"880.0";"1.406859"
"890.0";"1.457619"
"900.0";"1.390497"
"910.0";"1.422958"
"920.0";"1.362893"
"930.0";"1.325497"
"940.0";"1.22472"
"950.0";"1.367571"
"960.0";"1.375996"
"970.0";"1.291937"
"980.0";"1.368253"
"990.0";"1.256171"
"1000.0";"1.339129"
"1010.0";"1.343975"
"1020.0";"1.2945"
"1030.0";"1.365577"
"1040.0";"1.353491"
"1050.0";"1.310858"
"1060.0";"1.314238"
"1070.0";"1.322058"
"1080.0";"1.267225"
"1090.0";"1.329985"
"1100.0";"1.281757"
"1110.0";"1.269189"
"1120.0";"1.285557"
"1130.0";"1.385633"
"1140.0";"1.334217"
"1150.0";"1.323327"
"1160.0";"1.325218"
"1170.0";"1.333502"
"1180.0";"1.30407"
"1190.0";"1.307322"
"1200.0";"1.3931"
"1210.0";"1.360602"
"1220.0";"1.410765"
"1230.0";"1.410079"
"1240.0";"1.328762"
"1250.0";"1.295257"
"1260.0";"1.402869"
"1270.0";"1.465314"
"1280.0";"1.38421"
"1290.0";"1.403804"
"1300.0";"1.368948"
"1310.0";"1.423693"
"1320.0";"1.429653"
"1330.0";"1.470914"
"1340.0";"1.35733"
"1350.0";"1.411696"
"1360.0";"1.426373"
"1370.0";"1.376294"
"1380.0";"1.423589"
"1390.0";"1.385362"
"1400.0";"1.459995"
"1410.0";"1.491312"
"1420.0";"1.502067"
"1430.0";"1.476491"
"1440.0";"1.411123"
"1450.0";"1.451706"
"1460.0";"1.452612"
"1470.0";"1.437956"
"1480.0";"1.416102"
"1490.0";"1.374593"
"1500.0";"1.3748"
"1510.0";"1.321016"
"1520.0";"1.404591"
"1530.0";"1.348953"
"1540.0";"1.296719"
"1550.0";"1.224128"
"1560.0";"1.256167"
"1570.0";"1.354049"
"1580.0";"1.460336"
"1590.0";"1.534366"
"1600.0";"1.599886"
"1610.0";"1.53493"
"1620.0";"1.364179"
"1630.0";"1.382486"
"1640.0";"1.475834"
"1650.0";"1.510432"
"1660.0";"1.512504"
"1670.0";"1.529171"
"1680.0";"1.482783"
"1690.0";"1.551023"
"1700.0";"1.57711"
"1710.0";"1.529404"
"1720.0";"1.531764"
"1730.0";"1.526513"
"1740.0";"1.586194"
"1750.0";"1.55309"
"1760.0";"1.587046"
"1770.0";"1.583286"
"1780.0";"1.55057"
"1790.0";"1.506281"
"1800.0";"1.57044"
"1810.0";"1.528796"
"1820.0";"1.479427"
"1830.0";"1.468437"
"1840.0";"1.506657"
"1850.0";"1.47686"
"1860.0";"1.418394"
"1870.0";"1.40761"
"1880.0";"1.415547"
"1890.0";"1.382708"
"1900.0";"1.415472"
"1910.0";"1.418508"
"1920.0";"1.398822"
"1930.0";"1.387152"
"1940.0";"1.353222"
"1950.0";"1.458524"
"1960.0";"1.45344"
"1970.0";"1.483152"
"1980.0";"1.459726"
"1990.0";"1.402784"
"2000.0";"1.449787"
"2010.0";"1.445319"
"2020.0";"1.539859"
"2030.0";"1.524489"
"2040.0";"1.493454"
"2050.0";"1.53644"
"2060.0";"1.494127"
"2070.0";"1.518979"
"2080.0";"1.542158"
"2090.0";"1.478762"
"2100.0";"1.496959"
"2110.0";"1.536792"
"2120.0";"1.543043"
"2130.0";"1.484919"
"2140.0";"1.493111"
"2150.0";"1.560608"
"2160.0";"1.472983"
"2170.0";"1.459921"
"2180.0";"1.433564"
"2190.0";"1.463082"
"2200.0";"1.549361"
"2210.0";"1.456656"
"2220.0";"1.45998"
"2230.0";"1.450877"
"2240.0";"1.526168"
"2250.0";"1.474142"
"2260.0";"1.569511"
"2270.0";"1.464032"
"2280.0";"1.486953"
"2290.0";"1.429048"
"2300.0";"1.497079"
"2310.0";"1.440081"
"2320.0";"1.475945"
"2330.0";"1.428111"
"2340.0";"1.599214"
"2350.0";"1.476779"
"2360.0";"1.509778"
"2370.0";"1.5437"
"2380.0";"1.501059"
"2390.0";"1.482221"
"2400.0";"1.488665"
"2410.0";"1.534612"
"2420.0";"1.560559"
"2430.0";"1.498824"
"2440.0";"1.576002"
"2450.0";"1.592753"
"2460.0";"1.596639"
"2470.0";"1.546455"
"2480.0";"1.549245"
"2490.0";"1.512382"
"2500.0";"1.549187"
"2510.0";"1.527621"
"2520.0";"1.549241"
"2530.0";"1.642539"
"2540.0";"1.629011"
"2550.0";"1.61898"
"2560.0";"1.633883"
"2570.0";"1.501565"
"2580.0";"1.570844"
"2590.0";"1.512749"
"2600.0";"1.589246"
"2610.0";"1.602599"
"2620.0";"1.550449"
"2630.0";"1.533556"
"2640.0";"1.59051"
"2650.0";"1.53441"
"2660.0";"1.591096"
"2670.0";"1.519942"
"2680.0";"1.510576"
"2690.0";"1.571516"
"2700.0";"1.563053"
"2710.0";"1.518922"
"2720.0";"1.492124"
"2730.0";"1.517635"
"2740.0";"1.517217"
"2750.0";"1.55411"
"2760.0";"1.655427"
"2770.0";"1.551575"
"2780.0";"1.592341"
"2790.0";"1.565549"
"2800.0";"1.560374"
"2810.0";"1.586156"
"2820.0";"1.554955"
"2830.0";"1.470268"
"2840.0";"1.474529"
"2850.0";"1.462988"
"2860.0";"1.427427"
"2870.0";"1.554015"
"2880.0";"1.515742"
"2890.0";"1.455533"
"2900.0";"1.445903"
"2910.0";"1.504281"
"2920.0";"1.53368"
"2930.0";"1.570283"
"2940.0";"1.528945"
"2950.0";"1.470286"
"2960.0";"1.51067"
"2970.0";"1.484367"
"2980.0";"1.577372"
"2990.0";"1.524462"
"3000.0";"1.561432"
"3010.0";"1.55667"
"3020.0";"1.493443"
"3030.0";"1.53852"
"3040.0";"1.536272"
"3050.0";"1.557875"
"3060.0";"1.481004"
"3070.0";"1.454022"
"3080.0";"1.517905"
"3090.0";"1.535821"
"3100.0";"1.470227"
"3110.0";"1.40355"
"3120.0";"1.412629"
"3130.0";"1.520603"
"3140.0";"1.482403"
"3150.0";"1.464532"
"3160.0";"1.48165"
"3170.0";"1.487315"
"3180.0";"1.510856"
"3190.0";"1.476807"
"3200.0";"1.512812"
"3210.0";"1.525404"
"3220.0";"1.504843"
"3230.0";"1.537298"
"3240.0";"1.577331"
"3250.0";"1.477263"
"3260.0";"1.480495"
"3270.0";"1.492979"
"3280.0";"1.570924"
"3290.0";"1.45026"
"3300.0";"1.553954"
"3310.0";"1.532672"
"3320.0";"1.532087"
"3330.0";"1.635955"
