# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"2.14306";"1.96121";"1.96146";"1.22138"
"10.0";"2.14663";"1.96239";"1.96728";"1.22268"
"20.0";"2.14521";"1.96298";"1.96361";"1.22262"
"30.0";"2.14011";"1.95503";"1.95998";"1.22332"
"40.0";"2.14712";"1.96308";"1.96607";"1.22519"
"50.0";"2.13949";"1.95282";"1.95654";"1.23016"
"60.0";"2.15266";"1.96828";"1.97256";"1.22587"
"70.0";"2.15367";"1.96744";"1.97735";"1.22305"
"80.0";"2.14327";"1.95822";"1.96322";"1.22408"
"90.0";"2.14724";"1.96445";"1.96736";"1.22137"
"100.0";"2.14624";"1.96052";"1.96683";"1.22501"
"110.0";"2.15472";"1.96966";"1.97744";"1.22304"
"120.0";"2.14935";"1.96715";"1.97093";"1.21868"
"130.0";"2.14905";"1.97008";"1.97082";"1.21304"
"140.0";"2.14613";"1.96341";"1.96872";"1.21694"
"150.0";"2.15101";"1.96825";"1.9724";"1.22037"
"160.0";"2.14988";"1.96523";"1.97355";"1.21942"
"170.0";"2.14776";"1.96453";"1.96813";"1.22184"
"180.0";"2.15076";"1.96679";"1.97151";"1.22329"
"190.0";"2.1474";"1.96315";"1.96816";"1.22271"
"200.0";"2.14717";"1.96544";"1.96622";"1.22137"
"210.0";"2.16239";"1.983";"1.98172";"1.22162"
"220.0";"2.1542";"1.97424";"1.97416";"1.21913"
"230.0";"2.14877";"1.97099";"1.96971";"1.21237"
"240.0";"2.16273";"1.98472";"1.98341";"1.21728"
"250.0";"2.16245";"1.98511";"1.98448";"1.21392"
"260.0";"2.15398";"1.9735";"1.97121";"1.22431"
"270.0";"2.14474";"1.96219";"1.96389";"1.22181"
"280.0";"2.15527";"1.97522";"1.97668";"1.21722"
"290.0";"2.14286";"1.96167";"1.96098";"1.22071"
"300.0";"2.15565";"1.97487";"1.976";"1.22021"
"310.0";"2.14303";"1.9598";"1.96261";"1.22166"
"320.0";"2.14947";"1.96798";"1.96972";"1.2197"
"330.0";"2.14295";"1.96119";"1.96304";"1.21849"
"340.0";"2.13202";"1.94663";"1.95166";"1.22174"
"350.0";"2.14304";"1.96156";"1.96263";"1.21887"
"360.0";"2.14625";"1.96811";"1.9664";"1.21349"
"370.0";"2.15387";"1.97228";"1.97333";"1.22245"
"380.0";"2.14393";"1.96335";"1.96309";"1.21836"
"390.0";"2.1507";"1.96695";"1.97183";"1.22231"
"400.0";"2.15772";"1.97936";"1.97809";"1.21687"
"410.0";"2.15249";"1.97174";"1.9723";"1.22014"
"420.0";"2.16148";"1.98097";"1.98389";"1.21817"
"430.0";"2.15096";"1.96981";"1.97061";"1.22058"
"440.0";"2.15429";"1.97163";"1.97356";"1.22461"
"450.0";"2.1409";"1.9585";"1.95792";"1.2238"
"460.0";"2.13616";"1.94933";"1.95493";"1.22667"
"470.0";"2.14404";"1.96099";"1.9607";"1.22636"
