# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.49557";"1.22918";"1.20768";"1.22641"
"10.0";"1.49672";"1.22582";"1.2143";"1.22605"
"20.0";"1.49434";"1.22696";"1.20929";"1.22406"
"30.0";"1.49292";"1.22749";"1.20565";"1.22365"
"40.0";"1.49775";"1.23319";"1.20445";"1.23088"
"50.0";"1.49511";"1.22872";"1.20409";"1.22929"
"60.0";"1.49609";"1.23719";"1.2086";"1.21871"
"70.0";"1.49178";"1.23026";"1.20928";"1.21446"
"80.0";"1.48842";"1.22523";"1.20404";"1.2165"
"90.0";"1.49381";"1.23096";"1.2095";"1.21851"
"100.0";"1.48987";"1.22386";"1.20508";"1.22041"
"110.0";"1.49369";"1.22782";"1.20985";"1.22104"
"120.0";"1.49488";"1.22964";"1.20756";"1.22437"
"130.0";"1.48771";"1.22598";"1.20092";"1.2171"
"140.0";"1.48754";"1.22731";"1.20627";"1.21004"
"150.0";"1.49601";"1.23148";"1.20996";"1.22294"
"160.0";"1.49146";"1.22313";"1.21418";"1.216"
"170.0";"1.49421";"1.22794";"1.20707";"1.22493"
"180.0";"1.49425";"1.22932";"1.20611";"1.2246"
"190.0";"1.48817";"1.22273";"1.20318";"1.21925"
"200.0";"1.49076";"1.22792";"1.20295";"1.22059"
"210.0";"1.49747";"1.23464";"1.20802";"1.22522"
"220.0";"1.49062";"1.22847";"1.20495";"1.21771"
"230.0";"1.48789";"1.22521";"1.20589";"1.21341"
"240.0";"1.48836";"1.23044";"1.19904";"1.21605"
"250.0";"1.48539";"1.22446";"1.20155";"1.21233"
"260.0";"1.49339";"1.23497";"1.20274";"1.22013"
"270.0";"1.48727";"1.22722";"1.19466";"1.22094"
"280.0";"1.48835";"1.22665";"1.20517";"1.21378"
"290.0";"1.48825";"1.22785";"1.20096";"1.2165"
"300.0";"1.48827";"1.22704";"1.19874";"1.21954"
"310.0";"1.49314";"1.2297";"1.20551";"1.22208"
"320.0";"1.49775";"1.23594";"1.20797";"1.22465"
"330.0";"1.48923";"1.22277";"1.2016";"1.22336"
"340.0";"1.49093";"1.22144";"1.20679";"1.22372"
"350.0";"1.48173";"1.21778";"1.19143";"1.22007"
"360.0";"1.48619";"1.22455";"1.20278";"1.21297"
"370.0";"1.49205";"1.22492";"1.20476";"1.22496"
"380.0";"1.48926";"1.22406";"1.19714";"1.22651"
"390.0";"1.49423";"1.22731";"1.20456";"1.22808"
"400.0";"1.49257";"1.2314";"1.20561";"1.21888"
"410.0";"1.49038";"1.23005";"1.19849";"1.22192"
"420.0";"1.49239";"1.22874";"1.20372";"1.22299"
"430.0";"1.48917";"1.22389";"1.19972";"1.22392"
"440.0";"1.49716";"1.2312";"1.20528";"1.23061"
"450.0";"1.48971";"1.22243";"1.19559";"1.23074"
"460.0";"1.48906";"1.21964";"1.1988";"1.2288"
"470.0";"1.49002";"1.22209";"1.1976";"1.22987"
"480.0";"1.48968";"1.22254";"1.20474";"1.2216"
"490.0";"1.49026";"1.22435";"1.19816";"1.22765"
"500.0";"1.49259";"1.22572";"1.20523";"1.22501"
"510.0";"1.49058";"1.22032";"1.2056";"1.22514"
"520.0";"1.49529";"1.23137";"1.20577";"1.22542"
"530.0";"1.49053";"1.22471";"1.19627";"1.22979"
"540.0";"1.49402";"1.22826";"1.20261";"1.22855"
"550.0";"1.49892";"1.22966";"1.20666";"1.23509"
"560.0";"1.49567";"1.22718";"1.20774";"1.2286"
"570.0";"1.49515";"1.22414";"1.20575";"1.23231"
"580.0";"1.49544";"1.2324";"1.20707";"1.22344"
"590.0";"1.49493";"1.22412";"1.20764";"1.22994"
"600.0";"1.49006";"1.2259";"1.19956";"1.22425"
"610.0";"1.48722";"1.21966";"1.2036";"1.2196"
"620.0";"1.48848";"1.22501";"1.20016";"1.2207"
"630.0";"1.4902";"1.22525";"1.19775";"1.22701"
"640.0";"1.48658";"1.21424";"1.20513";"1.22194"
"650.0";"1.48419";"1.22289";"1.19236";"1.22001"
"660.0";"1.49715";"1.23254";"1.20246";"1.232"
"670.0";"1.49125";"1.22114";"1.1992";"1.23222"
"680.0";"1.49417";"1.22804";"1.20404";"1.22772"
"690.0";"1.49613";"1.22833";"1.20752";"1.22879"
"700.0";"1.48515";"1.22191";"1.18885";"1.22673"
"710.0";"1.49679";"1.23387";"1.20777";"1.22458"
"720.0";"1.48981";"1.22561";"1.20078";"1.22272"
"730.0";"1.48875";"1.2217";"1.20042";"1.22442"
"740.0";"1.49155";"1.22625";"1.20116";"1.22595"
"750.0";"1.4844";"1.21835";"1.19677";"1.22075"
"760.0";"1.49372";"1.22586";"1.21013";"1.2228"
"770.0";"1.49091";"1.22475";"1.1983";"1.22868"
"780.0";"1.49043";"1.22491";"1.20229";"1.22345"
"790.0";"1.49401";"1.22926";"1.20985";"1.22037"
"800.0";"1.49261";"1.23101";"1.20533";"1.21964"
"810.0";"1.49294";"1.22411";"1.20736";"1.2254"
"820.0";"1.48935";"1.22779";"1.20014";"1.22004"
"830.0";"1.48894";"1.22376";"1.20036";"1.22287"
"840.0";"1.48887";"1.22505";"1.20058";"1.22119"
"850.0";"1.49051";"1.22263";"1.20674";"1.22155"
"860.0";"1.49171";"1.22696";"1.19959";"1.22718"
"870.0";"1.48937";"1.22599";"1.19871";"1.22331"
"880.0";"1.49184";"1.22532";"1.19824";"1.23044"
"890.0";"1.49272";"1.22887";"1.20192";"1.22543"
"900.0";"1.48989";"1.22587";"1.20427";"1.21922"
"910.0";"1.48737";"1.22591";"1.19578";"1.22138"
"920.0";"1.4888";"1.22349";"1.20106";"1.22212"
"930.0";"1.4891";"1.22783";"1.20141";"1.21813"
"940.0";"1.48964";"1.22511";"1.2031";"1.22055"
"950.0";"1.48662";"1.21963";"1.2017";"1.22003"
"960.0";"1.4935";"1.22408";"1.20616";"1.22795"
"970.0";"1.49181";"1.2255";"1.20304";"1.2255"
"980.0";"1.48858";"1.22407";"1.19367";"1.22824"
"990.0";"1.48464";"1.22046";"1.19889";"1.21715"
"1000.0";"1.48296";"1.21978";"1.19342";"1.21911"
"1010.0";"1.49074";"1.22333";"1.20338";"1.22473"
"1020.0";"1.49143";"1.2237";"1.20439";"1.22505"
"1030.0";"1.48541";"1.22046";"1.19351";"1.2243"
"1040.0";"1.48926";"1.22487";"1.19733";"1.2255"
"1050.0";"1.48928";"1.21932";"1.19647";"1.23193"
"1060.0";"1.49116";"1.21978";"1.20634";"1.22639"
"1070.0";"1.49361";"1.22673";"1.19893";"1.23266"
"1080.0";"1.48603";"1.22075";"1.1986";"1.22053"
"1090.0";"1.48798";"1.22328";"1.19928";"1.22209"
"1100.0";"1.48746";"1.22222";"1.19639";"1.22471"
"1110.0";"1.49393";"1.22759";"1.20346";"1.22815"
"1120.0";"1.48916";"1.22452";"1.20256";"1.22049"
"1130.0";"1.49225";"1.22636";"1.20862";"1.22019"
"1140.0";"1.48859";"1.22574";"1.19641";"1.22392"
"1150.0";"1.48277";"1.21625";"1.19186";"1.22369"
"1160.0";"1.48775";"1.22475";"1.19881";"1.22049"
"1170.0";"1.49286";"1.22944";"1.20119";"1.22591"
"1180.0";"1.48952";"1.22399";"1.20321";"1.22126"
"1190.0";"1.49603";"1.22838";"1.20853";"1.22749"
"1200.0";"1.4874";"1.22337";"1.19922";"1.22064"
"1210.0";"1.48259";"1.22318";"1.19357";"1.21466"
"1220.0";"1.48672";"1.22709";"1.19412";"1.22024"
"1230.0";"1.48203";"1.22109";"1.19939";"1.20963"
"1240.0";"1.4839";"1.22229";"1.19961";"1.21278"
"1250.0";"1.48713";"1.22188";"1.20316";"1.21759"
"1260.0";"1.48986";"1.22074";"1.20991";"1.21872"
"1270.0";"1.49292";"1.22873";"1.21062";"1.21746"
"1280.0";"1.49252";"1.22454";"1.21082";"1.22051"
"1290.0";"1.49189";"1.22476";"1.21938";"1.21019"
"1300.0";"1.4926";"1.22594";"1.21292";"1.21721"
"1310.0";"1.48678";"1.2201";"1.20612";"1.21559"
"1320.0";"1.49324";"1.22982";"1.20356";"1.22414"
"1330.0";"1.4855";"1.21814";"1.2066";"1.21394"
"1340.0";"1.4885";"1.2179";"1.21247";"1.2157"
"1350.0";"1.4887";"1.22187";"1.20404";"1.22057"
"1360.0";"1.49052";"1.22676";"1.20563";"1.21854"
"1370.0";"1.49559";"1.23243";"1.20592";"1.22492"
"1380.0";"1.48959";"1.22334";"1.19903";"1.22618"
"1390.0";"1.4905";"1.22967";"1.20452";"1.21665"
"1400.0";"1.49396";"1.22917";"1.20999";"1.2202"
"1410.0";"1.48623";"1.22578";"1.21033";"1.20429"
"1420.0";"1.48767";"1.22495";"1.20507";"1.21394"
"1430.0";"1.49043";"1.22241";"1.21173";"1.21664"
"1440.0";"1.48666";"1.21719";"1.20849";"1.21587"
"1450.0";"1.49181";"1.22528";"1.21631";"1.21255"
"1460.0";"1.49138";"1.2263";"1.21316";"1.21361"
"1470.0";"1.49";"1.2283";"1.21138";"1.20998"
"1480.0";"1.49135";"1.22698";"1.20917";"1.21684"
"1490.0";"1.49331";"1.22582";"1.20979";"1.2222"
"1500.0";"1.49298";"1.22852";"1.20694";"1.22148"
"1510.0";"1.49068";"1.22273";"1.2046";"1.22398"
"1520.0";"1.49485";"1.22204";"1.20652";"1.23291"
"1530.0";"1.49274";"1.22122";"1.20339";"1.23167"
"1540.0";"1.49177";"1.22143";"1.21157";"1.22106"
"1550.0";"1.49388";"1.22792";"1.21159";"1.21968"
"1560.0";"1.49197";"1.21771";"1.21004";"1.22676"
"1570.0";"1.49193";"1.22559";"1.20765";"1.22115"
"1580.0";"1.48688";"1.21636";"1.20265";"1.223"
"1590.0";"1.48678";"1.21937";"1.19665";"1.22565"
"1600.0";"1.48825";"1.21951";"1.1989";"1.22687"
"1610.0";"1.48868";"1.22154";"1.2037";"1.22119"
"1620.0";"1.4991";"1.22718";"1.21009";"1.23461"
"1630.0";"1.49431";"1.22548";"1.20458";"1.2301"
"1640.0";"1.49318";"1.2217";"1.20242";"1.2332"
"1650.0";"1.48639";"1.21867";"1.20229";"1.21984"
"1660.0";"1.49466";"1.2261";"1.21083";"1.22416"
"1670.0";"1.48855";"1.22164";"1.20211";"1.22234"
"1680.0";"1.4908";"1.22203";"1.20665";"1.22295"
"1690.0";"1.493";"1.22412";"1.21173";"1.2212"
"1700.0";"1.49726";"1.22912";"1.21241";"1.22593"
"1710.0";"1.49306";"1.22208";"1.20585";"1.22919"
"1720.0";"1.48918";"1.21981";"1.19781";"1.22988"
"1730.0";"1.49198";"1.22286";"1.20491";"1.22672"
"1740.0";"1.49328";"1.22306";"1.20827";"1.22638"
"1750.0";"1.48992";"1.22458";"1.20694";"1.21796"
"1760.0";"1.4918";"1.22343";"1.2086";"1.22205"
"1770.0";"1.49067";"1.22267";"1.20158";"1.22698"
"1780.0";"1.49641";"1.23126";"1.20493";"1.22907"
"1790.0";"1.49152";"1.22738";"1.205";"1.22098"
"1800.0";"1.48909";"1.22545";"1.19971";"1.22218"
"1810.0";"1.49076";"1.22893";"1.20017";"1.22231"
"1820.0";"1.49485";"1.22913";"1.19962";"1.2326"
"1830.0";"1.49795";"1.23088";"1.20569";"1.23247"
"1840.0";"1.49457";"1.23114";"1.20532";"1.22431"
"1850.0";"1.49544";"1.22786";"1.21032";"1.22482"
"1860.0";"1.49225";"1.22761";"1.20439";"1.22312"
"1870.0";"1.49573";"1.22775";"1.20447";"1.23139"
"1880.0";"1.48994";"1.2238";"1.19435";"1.23113"
"1890.0";"1.49198";"1.22697";"1.20016";"1.22728"
"1900.0";"1.49194";"1.22138";"1.19867";"1.23418"
"1910.0";"1.49238";"1.22815";"1.20078";"1.22646"
"1920.0";"1.49063";"1.23016";"1.20044";"1.22049"
"1930.0";"1.48328";"1.22317";"1.19381";"1.2161"
"1940.0";"1.48801";"1.22207";"1.19682";"1.22578"
"1950.0";"1.49287";"1.22792";"1.19534";"1.23315"
"1960.0";"1.4936";"1.23049";"1.20161";"1.22624"
"1970.0";"1.48707";"1.22097";"1.19817";"1.22327"
"1980.0";"1.49478";"1.23443";"1.20164";"1.22516"
"1990.0";"1.48924";"1.22981";"1.19384";"1.22392"
"2000.0";"1.48674";"1.2273";"1.1979";"1.21637"
"2010.0";"1.4903";"1.22864";"1.19184";"1.22962"
"2020.0";"1.48902";"1.21895";"1.19917";"1.22903"
"2030.0";"1.488";"1.22346";"1.19486";"1.22628"
"2040.0";"1.49262";"1.22787";"1.19443";"1.23349"
"2050.0";"1.49654";"1.22513";"1.20387";"1.23653"
"2060.0";"1.4916";"1.23079";"1.19465";"1.2279"
"2070.0";"1.49248";"1.22892";"1.1963";"1.23028"
"2080.0";"1.49181";"1.2302";"1.19547";"1.22819"
"2090.0";"1.48456";"1.21859";"1.19497";"1.22267"
"2100.0";"1.48967";"1.22369";"1.19551";"1.22947"
"2110.0";"1.48953";"1.23214";"1.19647";"1.2197"
"2120.0";"1.4913";"1.22548";"1.20134";"1.22593"
