# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"1.3e-06"
"10.0";"0.0620825"
"20.0";"0.0701891"
"30.0";"0.0916423"
"40.0";"0.1009219"
"50.0";"0.1117174"
"60.0";"0.1079972"
"70.0";"0.0943816"
"80.0";"0.0994829"
"90.0";"0.0873431"
"100.0";"0.0878141"
"110.0";"0.0907588"
"120.0";"0.0961199"
"130.0";"0.0914245"
"140.0";"0.1010101"
"150.0";"0.0825995"
"160.0";"0.0815353"
"170.0";"0.0990914"
"180.0";"0.0893544"
"190.0";"0.1119952"
"200.0";"0.1126486"
"210.0";"0.1154259"
"220.0";"0.1107063"
"230.0";"0.1048286"
"240.0";"0.1305205"
"250.0";"0.128388"
"260.0";"0.1441982"
"270.0";"0.1599133"
"280.0";"0.1464667"
"290.0";"0.1481784"
"300.0";"0.1386829"
"310.0";"0.1269877"
"320.0";"0.1373045"
"330.0";"0.1403428"
"340.0";"0.1309072"
"350.0";"0.1313717"
"360.0";"0.1300762"
"370.0";"0.1183326"
"380.0";"0.1068598"
"390.0";"0.1021405"
"400.0";"0.1224191"
"410.0";"0.1123734"
"420.0";"0.1179326"
"430.0";"0.1068881"
"440.0";"0.1079536"
"450.0";"0.127329"
"460.0";"0.1356003"
"470.0";"0.145325"
"480.0";"0.1154632"
"490.0";"0.1146758"
"500.0";"0.1092173"
"510.0";"0.1090925"
"520.0";"0.139068"
"530.0";"0.1440289"
"540.0";"0.1121063"
"550.0";"0.1235913"
"560.0";"0.1049753"
"570.0";"0.1179553"
"580.0";"0.1047921"
"590.0";"0.0923154"
"600.0";"0.120588"
"610.0";"0.1085545"
"620.0";"0.1087011"
"630.0";"0.1101013"
"640.0";"0.1135592"
"650.0";"0.1245786"
"660.0";"0.126796"
"670.0";"0.1218831"
"680.0";"0.1087152"
"690.0";"0.1061953"
"700.0";"0.1335726"
"710.0";"0.1291548"
"720.0";"0.111186"
"730.0";"0.1299247"
"740.0";"0.1243305"
"750.0";"0.1397326"
"760.0";"0.1209174"
"770.0";"0.1400035"
"780.0";"0.1442437"
"790.0";"0.122674"
"800.0";"0.1172674"
"810.0";"0.1256421"
"820.0";"0.13478"
"830.0";"0.13636"
"840.0";"0.1206286"
"850.0";"0.109131"
"860.0";"0.1109285"
"870.0";"0.1206219"
"880.0";"0.1115745"
"890.0";"0.1003932"
"900.0";"0.0935851"
"910.0";"0.111204"
"920.0";"0.100346"
"930.0";"0.1030063"
"940.0";"0.101725"
"950.0";"0.1093613"
"960.0";"0.1115255"
"970.0";"0.1061226"
"980.0";"0.1240932"
"990.0";"0.1008866"
"1000.0";"0.1018532"
"1010.0";"0.1012357"
"1020.0";"0.1054714"
"1030.0";"0.1334931"
"1040.0";"0.1242464"
"1050.0";"0.1246927"
"1060.0";"0.1138989"
"1070.0";"0.1239808"
"1080.0";"0.1080731"
"1090.0";"0.113838"
"1100.0";"0.0980541"
"1110.0";"0.1084597"
"1120.0";"0.099293"
"1130.0";"0.1104179"
"1140.0";"0.1044494"
"1150.0";"0.0977924"
"1160.0";"0.0952909"
"1170.0";"0.119143"
"1180.0";"0.0923665"
"1190.0";"0.0949459"
"1200.0";"0.1098632"
"1210.0";"0.1102724"
"1220.0";"0.1069591"
"1230.0";"0.1044384"
"1240.0";"0.0991591"
"1250.0";"0.0889191"
"1260.0";"0.0901795"
"1270.0";"0.0885142"
"1280.0";"0.0796121"
"1290.0";"0.0863506"
"1300.0";"0.0844968"
"1310.0";"0.0967774"
"1320.0";"0.1055793"
"1330.0";"0.098205"
"1340.0";"0.1064476"
"1350.0";"0.0981884"
"1360.0";"0.1088102"
"1370.0";"0.0935323"
"1380.0";"0.1114943"
"1390.0";"0.112687"
"1400.0";"0.1145307"
"1410.0";"0.1059"
"1420.0";"0.0978631"
"1430.0";"0.1052682"
"1440.0";"0.1052592"
"1450.0";"0.1268724"
"1460.0";"0.0936476"
"1470.0";"0.1090784"
"1480.0";"0.1324328"
"1490.0";"0.1157164"
"1500.0";"0.1122432"
"1510.0";"0.1114355"
"1520.0";"0.1368809"
"1530.0";"0.1260608"
"1540.0";"0.1400841"
"1550.0";"0.1513857"
"1560.0";"0.1406775"
"1570.0";"0.1470912"
"1580.0";"0.1317732"
"1590.0";"0.161154"
"1600.0";"0.1511044"
"1610.0";"0.1196422"
"1620.0";"0.1151337"
"1630.0";"0.1381678"
"1640.0";"0.1441079"
"1650.0";"0.1421279"
"1660.0";"0.1406412"
"1670.0";"0.1352543"
"1680.0";"0.1321634"
"1690.0";"0.1128868"
"1700.0";"0.1401157"
"1710.0";"0.1401251"
"1720.0";"0.1374462"
"1730.0";"0.1400848"
"1740.0";"0.1413399"
"1750.0";"0.1257945"
"1760.0";"0.1383347"
"1770.0";"0.1407794"
"1780.0";"0.1542917"
"1790.0";"0.1421507"
"1800.0";"0.1460592"
"1810.0";"0.1307125"
"1820.0";"0.1392436"
"1830.0";"0.1358915"
"1840.0";"0.1159566"
"1850.0";"0.1217619"
"1860.0";"0.1246075"
"1870.0";"0.1239896"
"1880.0";"0.1369004"
"1890.0";"0.1184402"
"1900.0";"0.1366664"
"1910.0";"0.1378736"
"1920.0";"0.1372998"
"1930.0";"0.1356636"
"1940.0";"0.1334614"
"1950.0";"0.156414"
"1960.0";"0.1377248"
"1970.0";"0.1365113"
"1980.0";"0.158105"
"1990.0";"0.1662534"
"2000.0";"0.1328985"
"2010.0";"0.1429813"
"2020.0";"0.1640883"
"2030.0";"0.1702986"
"2040.0";"0.1709279"
"2050.0";"0.1550226"
"2060.0";"0.1721206"
"2070.0";"0.1745614"
"2080.0";"0.1684365"
"2090.0";"0.1694407"
"2100.0";"0.1689785"
"2110.0";"0.1642376"
"2120.0";"0.1594656"
"2130.0";"0.1537078"
"2140.0";"0.1566781"
"2150.0";"0.1563697"
"2160.0";"0.1452916"
"2170.0";"0.1500917"
"2180.0";"0.1399966"
"2190.0";"0.1502452"
"2200.0";"0.1341258"
"2210.0";"0.1361558"
"2220.0";"0.1619252"
"2230.0";"0.159826"
"2240.0";"0.1626582"
"2250.0";"0.1505429"
"2260.0";"0.142737"
"2270.0";"0.1331094"
"2280.0";"0.1315599"
"2290.0";"0.1373454"
"2300.0";"0.125754"
"2310.0";"0.1383502"
"2320.0";"0.1353713"
"2330.0";"0.1269132"
"2340.0";"0.1313684"
"2350.0";"0.1423715"
"2360.0";"0.132546"
"2370.0";"0.1428839"
"2380.0";"0.1254107"
"2390.0";"0.1361153"
"2400.0";"0.1385629"
"2410.0";"0.1477436"
"2420.0";"0.1475508"
"2430.0";"0.1550076"
"2440.0";"0.1467676"
"2450.0";"0.1427761"
"2460.0";"0.1649638"
"2470.0";"0.1498777"
"2480.0";"0.1493315"
"2490.0";"0.160851"
"2500.0";"0.1472714"
"2510.0";"0.1313006"
"2520.0";"0.1436498"
"2530.0";"0.123926"
"2540.0";"0.1289913"
"2550.0";"0.1330201"
"2560.0";"0.148086"
"2570.0";"0.1271416"
"2580.0";"0.1414083"
"2590.0";"0.1585103"
"2600.0";"0.1700675"
"2610.0";"0.1719875"
"2620.0";"0.1516518"
"2630.0";"0.1283971"
"2640.0";"0.1287572"
"2650.0";"0.1375086"
"2660.0";"0.1313573"
"2670.0";"0.131207"
"2680.0";"0.1402534"
"2690.0";"0.1418279"
"2700.0";"0.138385"
"2710.0";"0.1567259"
"2720.0";"0.130812"
"2730.0";"0.1416446"
"2740.0";"0.1450514"
"2750.0";"0.1343782"
"2760.0";"0.1555951"
"2770.0";"0.1347192"
"2780.0";"0.1492794"
"2790.0";"0.1572091"
"2800.0";"0.1593711"
"2810.0";"0.1511848"
"2820.0";"0.1391786"
"2830.0";"0.1360058"
"2840.0";"0.1391696"
"2850.0";"0.1469449"
"2860.0";"0.1440643"
"2870.0";"0.1391744"
"2880.0";"0.1529554"
"2890.0";"0.1512439"
"2900.0";"0.1714069"
"2910.0";"0.1755849"
"2920.0";"0.1474871"
"2930.0";"0.1553944"
"2940.0";"0.1808696"
"2950.0";"0.1824003"
"2960.0";"0.1788459"
"2970.0";"0.1701505"
"2980.0";"0.1619779"
"2990.0";"0.1375246"
"3000.0";"0.1619174"
"3010.0";"0.1534272"
"3020.0";"0.1749641"
"3030.0";"0.1287329"
"3040.0";"0.1615383"
"3050.0";"0.1726947"
"3060.0";"0.1629873"
"3070.0";"0.171318"
"3080.0";"0.161013"
"3090.0";"0.1646252"
"3100.0";"0.1281524"
"3110.0";"0.1381155"
"3120.0";"0.1341361"
"3130.0";"0.1836637"
"3140.0";"0.1716795"
"3150.0";"0.1580151"
"3160.0";"0.1412675"
"3170.0";"0.1612687"
"3180.0";"0.1395214"
"3190.0";"0.1506258"
"3200.0";"0.1403094"
"3210.0";"0.138539"
"3220.0";"0.1528236"
"3230.0";"0.1480799"
"3240.0";"0.16158"
"3250.0";"0.1714645"
"3260.0";"0.1588698"
"3270.0";"0.1477419"
"3280.0";"0.1624918"
"3290.0";"0.1522901"
"3300.0";"0.1499153"
"3310.0";"0.1488603"
"3320.0";"0.1485378"
"3330.0";"0.15507"
"3340.0";"0.1623007"
"3350.0";"0.1489855"
"3360.0";"0.1421381"
"3370.0";"0.1429078"
"3380.0";"0.1406282"
"3390.0";"0.1351549"
"3400.0";"0.1530501"
"3410.0";"0.1575332"
"3420.0";"0.146569"
"3430.0";"0.1422142"
"3440.0";"0.1391343"
"3450.0";"0.1297631"
"3460.0";"0.1395479"
"3470.0";"0.1347794"
"3480.0";"0.1333509"
"3490.0";"0.1497984"
"3500.0";"0.1251339"
"3510.0";"0.1381708"
"3520.0";"0.1537989"
"3530.0";"0.1413372"
"3540.0";"0.1403311"
"3550.0";"0.1388948"
"3560.0";"0.1490173"
"3570.0";"0.1421987"
"3580.0";"0.1405455"
"3590.0";"0.1470408"
"3600.0";"0.1514931"
"3610.0";"0.1245733"
"3620.0";"0.1058558"
"3630.0";"0.1195704"
"3640.0";"0.1487754"
"3650.0";"0.1418731"
"3660.0";"0.1398769"
"3670.0";"0.1390164"
"3680.0";"0.126879"
"3690.0";"0.1356515"
"3700.0";"0.1198015"
"3710.0";"0.1364355"
"3720.0";"0.14635"
"3730.0";"0.1410569"
"3740.0";"0.1246477"
"3750.0";"0.1252469"
"3760.0";"0.1103401"
"3770.0";"0.1284373"
"3780.0";"0.1379892"
"3790.0";"0.1257037"
"3800.0";"0.1334924"
"3810.0";"0.1503794"
