# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol10_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL10-inner_dimer_area"
"0.0";"2.492733"
"10.0";"2.657527"
"20.0";"2.487511"
"30.0";"2.584657"
"40.0";"2.538239"
"50.0";"2.387424"
"60.0";"2.394477"
"70.0";"2.434745"
"80.0";"2.348188"
"90.0";"2.265873"
"100.0";"2.319052"
"110.0";"2.436031"
"120.0";"2.3186"
"130.0";"2.320519"
"140.0";"2.269023"
"150.0";"2.314663"
"160.0";"2.38837"
"170.0";"2.266185"
"180.0";"2.320436"
"190.0";"2.277625"
"200.0";"2.387539"
"210.0";"2.397009"
"220.0";"2.352504"
"230.0";"2.340228"
"240.0";"2.257387"
"250.0";"2.25647"
"260.0";"2.32961"
"270.0";"2.174807"
"280.0";"2.210337"
"290.0";"2.327245"
"300.0";"2.318391"
"310.0";"2.226085"
"320.0";"2.050299"
"330.0";"1.878206"
"340.0";"1.706575"
"350.0";"1.808637"
"360.0";"1.808107"
"370.0";"1.842412"
"380.0";"2.112132"
"390.0";"1.886172"
"400.0";"1.837247"
"410.0";"1.968902"
"420.0";"1.936343"
"430.0";"1.90531"
"440.0";"1.867775"
"450.0";"1.921886"
"460.0";"1.998504"
"470.0";"1.996835"
"480.0";"1.943424"
"490.0";"1.895392"
"500.0";"1.901826"
"510.0";"1.942943"
"520.0";"2.027066"
"530.0";"1.92146"
"540.0";"1.936945"
"550.0";"1.951476"
"560.0";"1.877829"
"570.0";"1.936412"
"580.0";"1.898828"
"590.0";"1.973436"
"600.0";"1.984028"
"610.0";"1.925445"
"620.0";"1.9699"
"630.0";"1.964706"
"640.0";"1.922586"
"650.0";"1.975912"
"660.0";"2.041699"
"670.0";"2.034265"
"680.0";"1.92297"
"690.0";"1.982178"
"700.0";"2.037279"
"710.0";"1.991365"
"720.0";"1.960858"
"730.0";"2.036048"
"740.0";"1.986347"
"750.0";"1.974308"
"760.0";"1.941737"
"770.0";"1.954639"
"780.0";"1.950192"
"790.0";"1.956459"
"800.0";"2.001944"
"810.0";"1.915783"
"820.0";"1.934854"
"830.0";"1.959271"
"840.0";"2.082973"
"850.0";"1.953866"
"860.0";"1.994984"
"870.0";"2.135156"
"880.0";"2.164407"
"890.0";"2.164319"
"900.0";"2.063745"
"910.0";"2.071003"
"920.0";"2.051492"
"930.0";"1.962613"
"940.0";"1.946753"
"950.0";"2.022541"
"960.0";"2.060993"
"970.0";"1.987926"
"980.0";"2.086118"
"990.0";"1.977759"
"1000.0";"2.027744"
"1010.0";"2.139599"
"1020.0";"2.093781"
"1030.0";"2.074892"
"1040.0";"2.049752"
"1050.0";"1.927298"
"1060.0";"1.839376"
"1070.0";"1.937763"
"1080.0";"1.973476"
"1090.0";"1.961249"
"1100.0";"1.916394"
"1110.0";"1.924139"
"1120.0";"1.897087"
"1130.0";"2.130107"
"1140.0";"2.14486"
"1150.0";"2.110188"
"1160.0";"2.175835"
"1170.0";"1.963141"
"1180.0";"2.101964"
"1190.0";"2.020261"
"1200.0";"1.947941"
"1210.0";"1.955373"
"1220.0";"1.837802"
"1230.0";"1.853974"
"1240.0";"1.868418"
"1250.0";"1.812221"
"1260.0";"1.901588"
"1270.0";"2.105409"
"1280.0";"2.018924"
"1290.0";"2.040974"
"1300.0";"2.153397"
"1310.0";"2.054402"
"1320.0";"2.213007"
"1330.0";"2.252711"
"1340.0";"2.109323"
"1350.0";"2.073352"
"1360.0";"2.126526"
"1370.0";"2.07446"
"1380.0";"2.067535"
"1390.0";"2.086591"
"1400.0";"1.959796"
"1410.0";"1.967578"
"1420.0";"1.806551"
"1430.0";"1.843144"
"1440.0";"1.934201"
"1450.0";"2.015021"
"1460.0";"1.996814"
"1470.0";"1.936868"
"1480.0";"1.862663"
"1490.0";"2.000399"
"1500.0";"1.889982"
"1510.0";"1.874885"
"1520.0";"1.937453"
"1530.0";"2.067644"
"1540.0";"1.938877"
"1550.0";"1.868937"
"1560.0";"1.954382"
"1570.0";"2.045315"
"1580.0";"1.896029"
"1590.0";"2.016933"
"1600.0";"2.063097"
"1610.0";"2.079808"
"1620.0";"2.010522"
"1630.0";"2.00068"
"1640.0";"2.023278"
"1650.0";"2.043535"
"1660.0";"2.020951"
"1670.0";"2.031472"
"1680.0";"1.988633"
"1690.0";"1.922035"
"1700.0";"2.046452"
"1710.0";"1.997465"
"1720.0";"2.006636"
"1730.0";"2.025553"
"1740.0";"1.947963"
"1750.0";"1.900344"
"1760.0";"1.983527"
"1770.0";"1.961649"
"1780.0";"1.984517"
"1790.0";"1.986246"
"1800.0";"2.016462"
"1810.0";"2.021023"
"1820.0";"1.961311"
"1830.0";"1.976078"
"1840.0";"1.967448"
"1850.0";"1.913996"
"1860.0";"1.867873"
"1870.0";"1.934201"
"1880.0";"1.964032"
"1890.0";"1.908628"
"1900.0";"1.910463"
"1910.0";"1.95746"
"1920.0";"1.944559"
"1930.0";"1.968357"
"1940.0";"1.911054"
"1950.0";"2.053295"
"1960.0";"1.971279"
"1970.0";"1.928702"
"1980.0";"2.001753"
"1990.0";"2.00198"
"2000.0";"1.906952"
"2010.0";"1.883052"
"2020.0";"1.9537"
"2030.0";"1.966814"
"2040.0";"1.939692"
"2050.0";"1.941837"
"2060.0";"1.917742"
"2070.0";"1.963721"
"2080.0";"1.993104"
"2090.0";"2.00844"
"2100.0";"2.004714"
"2110.0";"2.129521"
"2120.0";"2.064206"
"2130.0";"1.987823"
"2140.0";"1.923252"
"2150.0";"1.898016"
"2160.0";"1.885623"
"2170.0";"1.881789"
"2180.0";"1.911851"
"2190.0";"2.041991"
"2200.0";"1.93888"
"2210.0";"1.967481"
"2220.0";"1.907233"
"2230.0";"1.906906"
"2240.0";"1.870318"
"2250.0";"1.879133"
"2260.0";"1.911275"
"2270.0";"1.870769"
"2280.0";"1.937011"
"2290.0";"1.964933"
"2300.0";"1.899716"
"2310.0";"1.864271"
"2320.0";"1.929744"
"2330.0";"1.886675"
"2340.0";"1.926052"
"2350.0";"1.868905"
"2360.0";"1.955241"
"2370.0";"1.961866"
"2380.0";"1.939071"
"2390.0";"1.980863"
"2400.0";"1.874187"
"2410.0";"1.908728"
"2420.0";"1.877404"
"2430.0";"1.888069"
"2440.0";"1.941733"
"2450.0";"1.988439"
"2460.0";"1.921623"
"2470.0";"1.92355"
"2480.0";"1.890075"
"2490.0";"1.922937"
"2500.0";"1.986356"
"2510.0";"1.949066"
"2520.0";"1.925"
"2530.0";"1.938074"
"2540.0";"1.949555"
"2550.0";"1.974424"
"2560.0";"1.979612"
"2570.0";"1.971839"
"2580.0";"1.951338"
"2590.0";"2.030895"
"2600.0";"2.133177"
"2610.0";"2.173609"
"2620.0";"2.034416"
"2630.0";"2.120258"
"2640.0";"2.109423"
"2650.0";"2.124703"
"2660.0";"2.137347"
"2670.0";"2.090405"
"2680.0";"2.174248"
"2690.0";"2.111398"
"2700.0";"1.976779"
"2710.0";"2.128873"
"2720.0";"1.996083"
"2730.0";"2.016966"
"2740.0";"2.10259"
"2750.0";"2.162292"
"2760.0";"2.192903"
"2770.0";"2.250148"
"2780.0";"2.296768"
"2790.0";"2.177621"
"2800.0";"2.200842"
"2810.0";"2.253511"
"2820.0";"2.184721"
"2830.0";"2.057205"
"2840.0";"2.389481"
"2850.0";"2.101973"
"2860.0";"2.250506"
"2870.0";"2.109358"
"2880.0";"1.945809"
"2890.0";"2.010103"
"2900.0";"1.955923"
"2910.0";"1.983166"
"2920.0";"1.886197"
"2930.0";"1.946543"
"2940.0";"1.973347"
"2950.0";"1.921875"
"2960.0";"1.952437"
"2970.0";"1.919001"
"2980.0";"2.003333"
"2990.0";"1.938899"
"3000.0";"1.937119"
"3010.0";"1.997838"
"3020.0";"1.94573"
"3030.0";"1.849851"
"3040.0";"1.947481"
"3050.0";"1.941722"
"3060.0";"1.943362"
"3070.0";"1.915101"
"3080.0";"1.958016"
"3090.0";"1.955067"
"3100.0";"1.999107"
"3110.0";"2.083611"
"3120.0";"2.092284"
"3130.0";"2.136452"
"3140.0";"2.124886"
"3150.0";"2.121758"
"3160.0";"2.357383"
"3170.0";"2.18292"
"3180.0";"2.212129"
"3190.0";"2.216586"
"3200.0";"2.175403"
"3210.0";"2.161473"
"3220.0";"2.132109"
"3230.0";"2.199355"
"3240.0";"2.222527"
"3250.0";"2.120548"
"3260.0";"2.131071"
"3270.0";"2.202265"
"3280.0";"2.227256"
"3290.0";"2.091515"
"3300.0";"2.187027"
"3310.0";"2.107237"
"3320.0";"1.989158"
"3330.0";"2.047214"
"3340.0";"2.028368"
"3350.0";"2.031358"
"3360.0";"2.245366"
"3370.0";"2.268688"
"3380.0";"2.20291"
"3390.0";"2.16031"
"3400.0";"2.228349"
"3410.0";"2.180011"
"3420.0";"2.106271"
"3430.0";"2.077701"
"3440.0";"2.241526"
"3450.0";"2.177144"
"3460.0";"2.223122"
"3470.0";"2.245455"
"3480.0";"2.163863"
"3490.0";"2.144392"
"3500.0";"2.125217"
"3510.0";"2.085404"
"3520.0";"2.191242"
"3530.0";"2.118629"
"3540.0";"2.124246"
"3550.0";"2.108688"
"3560.0";"2.152505"
"3570.0";"2.066811"
"3580.0";"2.107127"
"3590.0";"2.094624"
"3600.0";"2.155404"
"3610.0";"2.026067"
"3620.0";"2.07147"
"3630.0";"2.094571"
"3640.0";"2.12555"
"3650.0";"2.153766"
"3660.0";"2.163661"
"3670.0";"2.095741"
"3680.0";"2.163791"
"3690.0";"2.086761"
"3700.0";"2.070531"
"3710.0";"2.058637"
"3720.0";"2.00681"
"3730.0";"2.095419"
"3740.0";"2.114333"
"3750.0";"2.227767"
"3760.0";"2.123479"
"3770.0";"2.063778"
"3780.0";"2.041421"
"3790.0";"2.107171"
"3800.0";"2.175533"
"3810.0";"2.228429"
"3820.0";"2.07805"
"3830.0";"2.04794"
"3840.0";"2.021389"
"3850.0";"2.113884"
"3860.0";"2.113547"
"3870.0";"2.351889"
"3880.0";"2.240027"
"3890.0";"2.144084"
"3900.0";"2.228697"
"3910.0";"2.109232"
"3920.0";"2.119423"
"3930.0";"2.066616"
"3940.0";"2.218408"
"3950.0";"2.12814"
"3960.0";"2.25312"
"3970.0";"2.172645"
"3980.0";"2.2234"
"3990.0";"2.072935"
"4000.0";"1.957651"
"4010.0";"2.021232"
"4020.0";"1.996706"
"4030.0";"2.034964"
"4040.0";"2.030361"
"4050.0";"2.062351"
"4060.0";"1.945099"
"4070.0";"1.889009"
"4080.0";"1.6864"
"4090.0";"1.661517"
"4100.0";"1.755361"
"4110.0";"1.722485"
"4120.0";"2.006573"
"4130.0";"1.961472"
"4140.0";"1.8155"
"4150.0";"1.968546"
"4160.0";"1.918381"
"4170.0";"1.963159"
"4180.0";"1.994534"
"4190.0";"2.172294"
"4200.0";"2.324016"
"4210.0";"2.259807"
"4220.0";"2.066162"
"4230.0";"2.134723"
"4240.0";"2.182176"
"4250.0";"2.152006"
"4260.0";"2.088803"
"4270.0";"2.065807"
"4280.0";"2.317069"
"4290.0";"2.44229"
"4300.0";"2.303276"
"4310.0";"2.247967"
"4320.0";"2.35973"
"4330.0";"2.298607"
"4340.0";"2.30998"
"4350.0";"2.159225"
"4360.0";"2.186414"
"4370.0";"2.363609"
"4380.0";"2.223868"
