# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol2_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL2-dimer_area"
"0.0";"5.045567"
"10.0";"5.107913"
"20.0";"5.028314"
"30.0";"5.225097"
"40.0";"5.272501"
"50.0";"5.105161"
"60.0";"5.168348"
"70.0";"5.210451"
"80.0";"5.206996"
"90.0";"5.202202"
"100.0";"5.571379"
"110.0";"5.474631"
"120.0";"5.274077"
"130.0";"5.159804"
"140.0";"5.032851"
"150.0";"4.862789"
"160.0";"4.722228"
"170.0";"4.518363"
"180.0";"4.642242"
"190.0";"4.505764"
"200.0";"4.31505"
"210.0";"4.584475"
"220.0";"4.758784"
"230.0";"4.947519"
"240.0";"4.868293"
"250.0";"4.756859"
"260.0";"4.753569"
"270.0";"4.618267"
"280.0";"4.515978"
"290.0";"4.374851"
"300.0";"4.208092"
"310.0";"4.41397"
"320.0";"4.4936"
"330.0";"4.548059"
"340.0";"4.550421"
"350.0";"4.599657"
"360.0";"4.545488"
"370.0";"4.344008"
"380.0";"4.319609"
"390.0";"4.217498"
"400.0";"4.16284"
"410.0";"4.238586"
"420.0";"4.016616"
"430.0";"4.20247"
"440.0";"4.125779"
"450.0";"4.010715"
"460.0";"4.242867"
"470.0";"4.323725"
"480.0";"4.22738"
"490.0";"4.329449"
"500.0";"4.271821"
"510.0";"4.340601"
"520.0";"4.372835"
"530.0";"4.405354"
"540.0";"4.337638"
"550.0";"4.587272"
"560.0";"4.560736"
"570.0";"4.29862"
"580.0";"4.074011"
"590.0";"4.231381"
"600.0";"4.167154"
"610.0";"4.31185"
"620.0";"4.068167"
"630.0";"3.983292"
"640.0";"3.797169"
"650.0";"3.749992"
"660.0";"3.979549"
"670.0";"4.021248"
"680.0";"3.821472"
"690.0";"3.953818"
"700.0";"3.905158"
"710.0";"3.734204"
"720.0";"3.68843"
"730.0";"3.413407"
"740.0";"3.730387"
"750.0";"3.682686"
"760.0";"3.777372"
"770.0";"3.713791"
"780.0";"3.901852"
"790.0";"4.077348"
"800.0";"3.853492"
"810.0";"4.103936"
"820.0";"3.69381"
"830.0";"3.589691"
"840.0";"3.795984"
"850.0";"3.682288"
"860.0";"3.550851"
"870.0";"3.435524"
"880.0";"3.767438"
"890.0";"3.967493"
"900.0";"4.15084"
"910.0";"4.411264"
"920.0";"4.456374"
"930.0";"4.466707"
"940.0";"4.616555"
"950.0";"4.652964"
"960.0";"4.425982"
"970.0";"4.293468"
"980.0";"4.152731"
"990.0";"4.008179"
"1000.0";"4.081487"
"1010.0";"3.945027"
"1020.0";"4.183953"
"1030.0";"3.933095"
"1040.0";"4.192877"
"1050.0";"4.198646"
"1060.0";"4.222698"
"1070.0";"4.303291"
"1080.0";"4.309476"
"1090.0";"4.19489"
"1100.0";"4.041096"
"1110.0";"3.856773"
"1120.0";"3.767275"
"1130.0";"3.471785"
"1140.0";"3.586775"
"1150.0";"3.704798"
"1160.0";"3.751105"
"1170.0";"3.848379"
"1180.0";"3.780807"
"1190.0";"3.707318"
"1200.0";"3.813665"
"1210.0";"3.689472"
"1220.0";"3.671142"
"1230.0";"3.743883"
"1240.0";"3.402942"
"1250.0";"3.442049"
"1260.0";"3.238919"
"1270.0";"3.20427"
"1280.0";"3.338873"
"1290.0";"3.340387"
"1300.0";"3.247482"
"1310.0";"3.206783"
"1320.0";"3.319628"
"1330.0";"3.201854"
"1340.0";"3.260957"
"1350.0";"3.171357"
"1360.0";"3.207234"
"1370.0";"3.355739"
"1380.0";"3.362567"
"1390.0";"3.548584"
"1400.0";"3.810375"
"1410.0";"3.713963"
"1420.0";"3.692669"
"1430.0";"3.791777"
"1440.0";"4.010794"
"1450.0";"4.043048"
"1460.0";"3.995168"
"1470.0";"4.069925"
"1480.0";"4.153073"
"1490.0";"4.389472"
"1500.0";"4.297429"
"1510.0";"4.345532"
"1520.0";"4.150222"
"1530.0";"3.956841"
"1540.0";"3.935629"
"1550.0";"3.845527"
"1560.0";"3.532546"
"1570.0";"3.472354"
"1580.0";"3.502042"
"1590.0";"3.532203"
"1600.0";"3.381143"
"1610.0";"3.397612"
"1620.0";"3.363168"
"1630.0";"3.296546"
"1640.0";"3.049954"
"1650.0";"3.021757"
"1660.0";"2.897715"
"1670.0";"2.802719"
"1680.0";"2.788543"
"1690.0";"2.747927"
"1700.0";"2.771412"
"1710.0";"2.72892"
"1720.0";"2.813692"
"1730.0";"2.821922"
"1740.0";"2.983124"
"1750.0";"2.830472"
"1760.0";"2.779627"
"1770.0";"2.907933"
"1780.0";"2.690989"
"1790.0";"2.780321"
"1800.0";"2.771629"
"1810.0";"2.616902"
"1820.0";"2.681388"
"1830.0";"2.68662"
"1840.0";"2.678185"
"1850.0";"2.636089"
