# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_neg1_mol18_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL18"
"0.0";"5.241313"
"10.0";"5.103014"
"20.0";"5.028171"
"30.0";"5.104626"
"40.0";"5.144928"
"50.0";"5.120235"
"60.0";"5.095952"
"70.0";"4.838335"
"80.0";"4.97105"
"90.0";"4.846544"
"100.0";"4.942196"
"110.0";"5.093541"
"120.0";"5.100202"
"130.0";"5.088294"
"140.0";"4.910266"
"150.0";"5.20492"
"160.0";"5.429083"
"170.0";"5.43877"
"180.0";"5.420262"
"190.0";"5.405071"
"200.0";"5.176244"
"210.0";"5.366582"
"220.0";"5.534988"
"230.0";"5.449273"
"240.0";"5.172477"
"250.0";"5.241827"
"260.0";"5.099649"
"270.0";"5.406479"
"280.0";"5.251009"
"290.0";"5.159921"
"300.0";"5.239766"
"310.0";"5.003624"
"320.0";"4.863414"
"330.0";"4.581338"
"340.0";"4.509816"
"350.0";"4.572001"
"360.0";"4.544475"
"370.0";"4.397179"
"380.0";"4.402845"
"390.0";"4.503421"
"400.0";"4.784818"
"410.0";"4.824051"
"420.0";"4.865859"
"430.0";"4.793962"
"440.0";"4.405664"
"450.0";"4.372678"
"460.0";"4.559477"
"470.0";"4.623789"
"480.0";"4.474879"
"490.0";"4.219382"
"500.0";"4.288792"
"510.0";"4.135227"
"520.0";"4.512294"
"530.0";"4.674349"
"540.0";"4.632474"
"550.0";"4.741203"
"560.0";"4.706407"
"570.0";"4.533439"
"580.0";"4.783404"
"590.0";"4.828609"
"600.0";"5.104387"
"610.0";"4.79553"
"620.0";"4.845713"
"630.0";"5.008435"
"640.0";"5.169151"
"650.0";"5.072867"
"660.0";"5.068657"
"670.0";"5.112809"
"680.0";"5.259371"
"690.0";"5.209833"
"700.0";"5.49386"
"710.0";"5.116091"
"720.0";"5.05582"
"730.0";"5.025246"
"740.0";"5.049475"
"750.0";"5.150088"
"760.0";"5.12302"
"770.0";"5.257695"
"780.0";"5.155045"
"790.0";"5.263571"
"800.0";"4.987691"
"810.0";"4.974248"
"820.0";"5.075566"
"830.0";"5.001028"
"840.0";"5.111167"
"850.0";"5.166572"
"860.0";"5.284616"
"870.0";"5.272407"
"880.0";"5.227958"
"890.0";"5.253069"
"900.0";"5.323114"
"910.0";"5.181258"
"920.0";"5.203969"
"930.0";"5.167964"
"940.0";"5.226973"
"950.0";"5.193795"
"960.0";"5.311284"
"970.0";"5.294365"
"980.0";"5.170662"
"990.0";"5.034444"
"1000.0";"5.326662"
"1010.0";"5.053788"
"1020.0";"5.200556"
"1030.0";"5.072107"
"1040.0";"5.18288"
"1050.0";"4.93322"
"1060.0";"5.22944"
"1070.0";"5.214046"
"1080.0";"5.366891"
"1090.0";"5.35886"
"1100.0";"5.25584"
"1110.0";"5.231089"
"1120.0";"5.391281"
"1130.0";"4.944455"
"1140.0";"4.716914"
"1150.0";"4.848526"
"1160.0";"4.725529"
"1170.0";"4.679748"
"1180.0";"4.668962"
"1190.0";"4.837897"
"1200.0";"4.793467"
"1210.0";"4.723334"
"1220.0";"4.621359"
"1230.0";"4.987673"
"1240.0";"4.716206"
"1250.0";"4.470848"
"1260.0";"4.247827"
"1270.0";"4.465877"
"1280.0";"4.361767"
"1290.0";"4.501962"
"1300.0";"4.446777"
"1310.0";"4.293087"
"1320.0";"4.320607"
"1330.0";"4.25978"
"1340.0";"4.237227"
"1350.0";"4.109497"
"1360.0";"4.008739"
"1370.0";"4.021298"
"1380.0";"4.00138"
"1390.0";"4.06846"
"1400.0";"4.277337"
"1410.0";"3.982491"
"1420.0";"4.2326"
"1430.0";"4.024779"
"1440.0";"4.252481"
"1450.0";"4.459872"
"1460.0";"4.505224"
"1470.0";"4.556362"
"1480.0";"4.536012"
"1490.0";"4.591276"
"1500.0";"4.594034"
"1510.0";"4.393464"
"1520.0";"4.516534"
"1530.0";"4.547887"
"1540.0";"4.609312"
"1550.0";"4.858022"
"1560.0";"4.753652"
"1570.0";"4.632811"
"1580.0";"4.400729"
"1590.0";"4.365778"
"1600.0";"4.088688"
"1610.0";"4.108136"
"1620.0";"3.945079"
"1630.0";"3.885366"
"1640.0";"4.00896"
"1650.0";"3.923719"
"1660.0";"3.989147"
"1670.0";"3.828905"
"1680.0";"3.715279"
"1690.0";"3.860162"
