# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_pos2_mol17_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL17"
"0.0";"3.94776"
"10.0";"3.966402"
"20.0";"4.066861"
"30.0";"3.979616"
"40.0";"4.116664"
"50.0";"4.017114"
"60.0";"4.046045"
"70.0";"4.051889"
"80.0";"3.96261"
"90.0";"3.886188"
"100.0";"4.044334"
"110.0";"3.972944"
"120.0";"3.97718"
"130.0";"3.882905"
"140.0";"3.903886"
"150.0";"3.968098"
"160.0";"4.200586"
"170.0";"4.064282"
"180.0";"3.969612"
"190.0";"4.291112"
"200.0";"4.450302"
"210.0";"4.27644"
"220.0";"4.264214"
"230.0";"4.386588"
"240.0";"4.256147"
"250.0";"4.348637"
"260.0";"4.471552"
"270.0";"4.588265"
"280.0";"4.505471"
"290.0";"4.596748"
"300.0";"4.458355"
"310.0";"4.489485"
"320.0";"4.438889"
"330.0";"4.539911"
"340.0";"4.544579"
"350.0";"4.325567"
"360.0";"4.423388"
"370.0";"4.344924"
"380.0";"4.400756"
"390.0";"4.384184"
"400.0";"4.636381"
"410.0";"4.513865"
"420.0";"4.454386"
"430.0";"4.415361"
"440.0";"4.197323"
"450.0";"4.431028"
"460.0";"4.507877"
"470.0";"4.509164"
"480.0";"4.506231"
"490.0";"4.188699"
"500.0";"4.054252"
"510.0";"3.966512"
"520.0";"3.967477"
"530.0";"3.918322"
"540.0";"3.701688"
"550.0";"3.518894"
"560.0";"3.521246"
"570.0";"3.786889"
"580.0";"3.746708"
"590.0";"3.728138"
"600.0";"3.887048"
"610.0";"3.771137"
"620.0";"3.678815"
"630.0";"3.798851"
"640.0";"4.002248"
"650.0";"3.699448"
"660.0";"3.508546"
"670.0";"3.600375"
"680.0";"3.477129"
"690.0";"3.679795"
"700.0";"3.471739"
"710.0";"3.476558"
"720.0";"3.505986"
"730.0";"3.482593"
"740.0";"3.400416"
"750.0";"3.288101"
"760.0";"3.112589"
"770.0";"3.296067"
"780.0";"3.516402"
"790.0";"3.479519"
"800.0";"3.394905"
"810.0";"3.45154"
"820.0";"3.880131"
"830.0";"3.990708"
"840.0";"3.881024"
"850.0";"3.939905"
"860.0";"4.041971"
"870.0";"4.014338"
"880.0";"4.078979"
"890.0";"4.170182"
"900.0";"4.36852"
"910.0";"4.434596"
"920.0";"4.81768"
"930.0";"4.773325"
"940.0";"4.944713"
"950.0";"4.901391"
"960.0";"4.89895"
"970.0";"5.021677"
"980.0";"4.926337"
"990.0";"5.074899"
"1000.0";"5.166879"
"1010.0";"5.270066"
"1020.0";"5.255631"
"1030.0";"5.222622"
"1040.0";"5.323835"
"1050.0";"5.091215"
"1060.0";"5.209638"
"1070.0";"5.073487"
"1080.0";"5.044379"
"1090.0";"4.905186"
"1100.0";"4.990884"
"1110.0";"4.628869"
"1120.0";"4.761629"
"1130.0";"4.540655"
"1140.0";"4.326095"
"1150.0";"4.422534"
"1160.0";"4.296986"
"1170.0";"4.401875"
"1180.0";"4.234802"
"1190.0";"4.443923"
"1200.0";"4.287808"
"1210.0";"4.224592"
"1220.0";"3.936093"
"1230.0";"3.945471"
"1240.0";"4.205779"
"1250.0";"4.440103"
"1260.0";"4.354901"
"1270.0";"4.308718"
"1280.0";"4.345349"
"1290.0";"4.428474"
"1300.0";"4.639366"
"1310.0";"4.742023"
"1320.0";"4.722916"
"1330.0";"4.712598"
"1340.0";"4.655317"
"1350.0";"4.932327"
"1360.0";"5.095807"
"1370.0";"5.170294"
"1380.0";"5.119444"
"1390.0";"5.288916"
"1400.0";"5.105994"
"1410.0";"4.921254"
"1420.0";"4.970015"
"1430.0";"4.944005"
"1440.0";"4.993921"
"1450.0";"4.797495"
"1460.0";"4.839004"
"1470.0";"4.94822"
"1480.0";"5.019102"
"1490.0";"5.273187"
"1500.0";"5.359656"
"1510.0";"5.402868"
"1520.0";"5.194775"
"1530.0";"5.122625"
"1540.0";"5.338933"
"1550.0";"5.541703"
"1560.0";"5.474419"
"1570.0";"5.648123"
"1580.0";"5.449525"
"1590.0";"5.336824"
"1600.0";"5.264269"
"1610.0";"5.358701"
"1620.0";"5.334437"
"1630.0";"5.303926"
"1640.0";"5.318298"
"1650.0";"5.149015"
"1660.0";"5.258224"
"1670.0";"5.30368"
"1680.0";"5.370046"
"1690.0";"5.329598"
"1700.0";"5.453656"
"1710.0";"5.586369"
"1720.0";"5.68133"
"1730.0";"5.668166"
"1740.0";"5.674425"
"1750.0";"5.674597"
"1760.0";"5.621542"
"1770.0";"5.80747"
"1780.0";"5.673666"
"1790.0";"5.789432"
"1800.0";"5.838657"
"1810.0";"5.897512"
"1820.0";"5.586527"
"1830.0";"5.517545"
"1840.0";"5.617227"
"1850.0";"5.783212"
"1860.0";"5.709065"
"1870.0";"5.637065"
"1880.0";"5.889797"
"1890.0";"5.907815"
"1900.0";"5.856046"
"1910.0";"6.022895"
"1920.0";"5.990907"
"1930.0";"6.038953"
"1940.0";"6.008921"
"1950.0";"6.056729"
"1960.0";"5.847011"
"1970.0";"5.780524"
"1980.0";"5.591169"
"1990.0";"5.456501"
"2000.0";"5.414684"
"2010.0";"5.241818"
"2020.0";"5.498971"
"2030.0";"5.747655"
"2040.0";"5.60428"
"2050.0";"5.513128"
"2060.0";"5.771756"
"2070.0";"5.957301"
"2080.0";"5.793773"
"2090.0";"5.748566"
"2100.0";"5.67763"
"2110.0";"5.731612"
"2120.0";"5.888923"
"2130.0";"5.879499"
"2140.0";"5.696591"
"2150.0";"5.693696"
"2160.0";"5.75486"
"2170.0";"6.088492"
"2180.0";"6.040188"
"2190.0";"5.962713"
"2200.0";"5.953229"
"2210.0";"5.853409"
"2220.0";"5.779703"
"2230.0";"5.596282"
"2240.0";"5.587358"
"2250.0";"5.524611"
"2260.0";"5.599792"
"2270.0";"5.665814"
"2280.0";"5.631361"
"2290.0";"5.767879"
"2300.0";"6.03275"
"2310.0";"5.857931"
"2320.0";"5.860415"
"2330.0";"5.690765"
"2340.0";"5.670696"
"2350.0";"5.577925"
"2360.0";"5.652918"
"2370.0";"5.832006"
"2380.0";"6.000808"
"2390.0";"5.927511"
"2400.0";"5.700961"
"2410.0";"5.896869"
"2420.0";"5.881577"
"2430.0";"6.044044"
"2440.0";"6.015378"
"2450.0";"6.004731"
"2460.0";"5.885541"
"2470.0";"6.117011"
"2480.0";"6.141775"
"2490.0";"6.224214"
"2500.0";"5.99897"
"2510.0";"5.883504"
"2520.0";"5.83317"
"2530.0";"5.896042"
"2540.0";"5.837648"
"2550.0";"6.039521"
"2560.0";"6.197192"
"2570.0";"6.277351"
"2580.0";"6.537038"
"2590.0";"6.544719"
"2600.0";"6.548709"
"2610.0";"6.487428"
"2620.0";"6.555464"
"2630.0";"6.834664"
"2640.0";"6.79255"
"2650.0";"6.901072"
"2660.0";"6.824165"
"2670.0";"6.515805"
"2680.0";"6.464719"
"2690.0";"6.472113"
"2700.0";"6.465459"
"2710.0";"6.685555"
"2720.0";"6.585025"
"2730.0";"6.779119"
"2740.0";"6.803671"
"2750.0";"6.772185"
"2760.0";"6.51773"
"2770.0";"6.494717"
"2780.0";"6.395878"
"2790.0";"6.261002"
"2800.0";"6.621077"
"2810.0";"6.437395"
"2820.0";"6.405066"
"2830.0";"6.232578"
"2840.0";"6.33361"
"2850.0";"6.42916"
"2860.0";"6.405363"
"2870.0";"6.385039"
"2880.0";"6.411208"
"2890.0";"6.621747"
"2900.0";"6.537506"
"2910.0";"6.364775"
"2920.0";"6.415463"
"2930.0";"6.504822"
"2940.0";"6.514213"
"2950.0";"6.429209"
"2960.0";"6.427934"
"2970.0";"6.476624"
"2980.0";"6.451962"
"2990.0";"6.532396"
"3000.0";"6.512302"
"3010.0";"6.401858"
"3020.0";"6.426809"
"3030.0";"6.31639"
"3040.0";"6.393897"
"3050.0";"6.25939"
"3060.0";"6.128882"
"3070.0";"6.021945"
"3080.0";"6.179018"
"3090.0";"6.503257"
"3100.0";"6.378971"
"3110.0";"6.174256"
"3120.0";"6.207981"
"3130.0";"6.305293"
"3140.0";"6.479283"
"3150.0";"6.510859"
"3160.0";"6.482865"
