# This .csv file was created 12.10.2024 14:30
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_3
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-350.345184";"-88.636627"
"10.0";"-297.143768";"-109.457901"
"20.0";"-366.335876";"-112.759666"
"30.0";"-407.818115";"-105.06337"
"40.0";"-366.855896";"-107.024261"
"50.0";"-327.114746";"-122.265251"
"60.0";"-370.082581";"-115.151093"
"70.0";"-315.530457";"-126.155777"
"80.0";"-337.006378";"-88.956062"
"90.0";"-372.627502";"-78.958054"
"100.0";"-259.172913";"-90.54303"
"110.0";"-287.7229";"-95.239899"
"120.0";"-316.364471";"-52.113739"
"130.0";"-319.585815";"-106.129486"
"140.0";"-443.336517";"-61.388332"
"150.0";"-428.523438";"-92.144547"
"160.0";"-433.521271";"-106.958748"
"170.0";"-411.497406";"-94.357765"
"180.0";"-381.584656";"-54.649944"
"190.0";"-424.492157";"-98.835007"
"200.0";"-452.813507";"-62.468967"
"210.0";"-510.883942";"-71.001602"
"220.0";"-470.517731";"-40.701694"
"230.0";"-434.660553";"-78.984711"
"240.0";"-492.783203";"-77.885727"
"250.0";"-439.019989";"-81.777145"
"260.0";"-433.413147";"-60.702023"
"270.0";"-438.928101";"-89.380798"
"280.0";"-427.806793";"-91.97509"
"290.0";"-437.932373";"-75.03878"
"300.0";"-475.22879";"-60.204792"
"310.0";"-551.828186";"-26.967625"
"320.0";"-395.376617";"-79.083969"
"330.0";"-457.252747";"-55.358086"
"340.0";"-436.396942";"-44.043072"
"350.0";"-459.75119";"-87.307495"
"360.0";"-442.905365";"-92.46653"
"370.0";"-504.83725";"-108.62104"
"380.0";"-436.620941";"-144.493591"
"390.0";"-502.664246";"-103.049538"
"400.0";"-483.966736";"-83.659332"
"410.0";"-545.775452";"-79.94046"
"420.0";"-438.036255";"-109.086273"
"430.0";"-477.520691";"-111.585243"
"440.0";"-547.760315";"-84.905388"
"450.0";"-543.055969";"-62.979504"
"460.0";"-462.776978";"-96.063232"
"470.0";"-510.780182";"-96.671097"
"480.0";"-651.344116";"-46.963112"
"490.0";"-590.785583";"-48.08305"
"500.0";"-594.380859";"-87.423164"
"510.0";"-608.399902";"-77.957565"
"520.0";"-601.75354";"-62.958534"
"530.0";"-596.062378";"-91.524513"
