# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_264-288_MOL2_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_264-288-MOL2"
"0.0";"3.390984"
"10.0";"3.427378"
"20.0";"3.236516"
"30.0";"3.34641"
"40.0";"3.357859"
"50.0";"3.129912"
"60.0";"3.247139"
"70.0";"3.403756"
"80.0";"3.403066"
"90.0";"3.41743"
"100.0";"3.547527"
"110.0";"3.50185"
"120.0";"3.56945"
"130.0";"3.592805"
"140.0";"3.390436"
"150.0";"3.48059"
"160.0";"3.238943"
"170.0";"3.259627"
"180.0";"3.393192"
"190.0";"3.500715"
"200.0";"3.699829"
"210.0";"3.824355"
"220.0";"3.825722"
"230.0";"3.789094"
"240.0";"3.728055"
"250.0";"3.561926"
"260.0";"3.468075"
"270.0";"3.614102"
"280.0";"3.586241"
"290.0";"3.58518"
"300.0";"3.92088"
"310.0";"3.967672"
"320.0";"3.977053"
"330.0";"4.011782"
"340.0";"4.028957"
"350.0";"3.619077"
"360.0";"3.339966"
"370.0";"3.517231"
"380.0";"3.55474"
"390.0";"3.528074"
"400.0";"3.697385"
"410.0";"3.554415"
"420.0";"3.7013"
"430.0";"3.628443"
"440.0";"3.411684"
"450.0";"3.34662"
"460.0";"3.236886"
"470.0";"3.515574"
"480.0";"3.69249"
"490.0";"3.804838"
"500.0";"3.731933"
"510.0";"3.737144"
"520.0";"3.517584"
"530.0";"3.471803"
"540.0";"3.650791"
"550.0";"3.274669"
"560.0";"3.529157"
"570.0";"3.792838"
"580.0";"3.587208"
"590.0";"3.477513"
"600.0";"3.420697"
"610.0";"3.188112"
"620.0";"3.172077"
"630.0";"3.157552"
"640.0";"3.097654"
"650.0";"3.335346"
"660.0";"3.51379"
"670.0";"3.528445"
"680.0";"3.71627"
"690.0";"3.604164"
"700.0";"3.560961"
"710.0";"3.649285"
"720.0";"3.692062"
"730.0";"3.59986"
"740.0";"3.655742"
"750.0";"3.471135"
"760.0";"3.386775"
"770.0";"3.20527"
"780.0";"3.509012"
"790.0";"3.64107"
"800.0";"3.835474"
"810.0";"3.795952"
"820.0";"3.689283"
"830.0";"3.71139"
"840.0";"3.630007"
"850.0";"3.502505"
"860.0";"3.47119"
"870.0";"3.802923"
"880.0";"3.983643"
"890.0";"3.83659"
"900.0";"3.785767"
"910.0";"3.766153"
"920.0";"3.720449"
"930.0";"3.788304"
"940.0";"3.838023"
"950.0";"3.905768"
"960.0";"3.820141"
"970.0";"3.576603"
"980.0";"3.499318"
"990.0";"3.999562"
"1000.0";"3.972192"
"1010.0";"4.023489"
"1020.0";"3.738351"
"1030.0";"3.590545"
"1040.0";"3.736092"
"1050.0";"3.854035"
"1060.0";"3.593615"
"1070.0";"3.392923"
"1080.0";"3.421536"
"1090.0";"3.444231"
"1100.0";"3.423382"
"1110.0";"3.648725"
"1120.0";"3.551076"
"1130.0";"3.458596"
"1140.0";"3.632375"
"1150.0";"3.393217"
"1160.0";"3.451681"
"1170.0";"3.478139"
"1180.0";"3.573156"
"1190.0";"3.512825"
"1200.0";"3.535269"
"1210.0";"3.389248"
"1220.0";"3.294731"
"1230.0";"3.163649"
"1240.0";"3.13799"
"1250.0";"3.09849"
"1260.0";"2.98835"
"1270.0";"2.951085"
"1280.0";"2.901502"
"1290.0";"3.006957"
"1300.0";"3.066289"
"1310.0";"3.004839"
"1320.0";"2.948029"
"1330.0";"2.86337"
"1340.0";"2.866611"
"1350.0";"2.766925"
"1360.0";"2.771924"
"1370.0";"2.783714"
"1380.0";"2.577605"
"1390.0";"2.805571"
"1400.0";"2.880503"
"1410.0";"2.792935"
"1420.0";"2.839857"
"1430.0";"2.673327"
"1440.0";"2.441907"
"1450.0";"2.531068"
"1460.0";"2.325345"
"1470.0";"2.325234"
"1480.0";"2.486533"
"1490.0";"2.205354"
"1500.0";"2.364276"
"1510.0";"2.378309"
"1520.0";"2.662872"
"1530.0";"2.826642"
"1540.0";"2.833129"
"1550.0";"2.759813"
"1560.0";"2.738688"
"1570.0";"2.803905"
"1580.0";"2.608752"
"1590.0";"2.350358"
"1600.0";"2.537169"
"1610.0";"2.328648"
"1620.0";"2.389339"
"1630.0";"2.549584"
"1640.0";"2.588423"
"1650.0";"2.453538"
"1660.0";"2.416728"
"1670.0";"2.435656"
"1680.0";"2.576524"
"1690.0";"2.395245"
"1700.0";"2.651982"
"1710.0";"2.713301"
"1720.0";"2.620273"
"1730.0";"2.65338"
"1740.0";"2.868159"
"1750.0";"2.694868"
"1760.0";"2.513164"
"1770.0";"2.248987"
"1780.0";"2.693457"
"1790.0";"2.799306"
"1800.0";"2.667167"
"1810.0";"2.291368"
"1820.0";"2.264102"
"1830.0";"1.947827"
"1840.0";"2.385249"
"1850.0";"2.621666"
"1860.0";"2.461558"
"1870.0";"2.659353"
"1880.0";"2.882098"
"1890.0";"2.790246"
"1900.0";"2.644891"
"1910.0";"2.978403"
"1920.0";"3.029489"
"1930.0";"3.198301"
"1940.0";"3.180154"
"1950.0";"3.073705"
"1960.0";"3.027713"
"1970.0";"3.002889"
"1980.0";"2.834588"
"1990.0";"2.897141"
"2000.0";"3.145879"
"2010.0";"3.153702"
"2020.0";"3.092621"
"2030.0";"3.064251"
"2040.0";"3.160251"
"2050.0";"3.023392"
"2060.0";"3.075309"
"2070.0";"2.869694"
"2080.0";"2.702334"
"2090.0";"2.611446"
"2100.0";"2.817281"
"2110.0";"2.754267"
"2120.0";"3.082179"
"2130.0";"3.003496"
"2140.0";"2.85761"
"2150.0";"2.553631"
"2160.0";"2.54914"
"2170.0";"2.699195"
"2180.0";"2.501287"
"2190.0";"2.276244"
"2200.0";"2.164184"
"2210.0";"2.276639"
"2220.0";"2.34828"
"2230.0";"2.361532"
"2240.0";"2.412987"
"2250.0";"2.475138"
"2260.0";"2.512742"
"2270.0";"2.372916"
"2280.0";"2.459303"
"2290.0";"2.347407"
"2300.0";"2.429246"
"2310.0";"2.427578"
"2320.0";"2.154555"
"2330.0";"2.288859"
"2340.0";"2.334409"
"2350.0";"2.170223"
"2360.0";"2.089587"
"2370.0";"2.183009"
"2380.0";"2.233419"
"2390.0";"2.122139"
"2400.0";"2.135338"
"2410.0";"2.312607"
"2420.0";"2.412245"
"2430.0";"2.301659"
"2440.0";"2.291182"
"2450.0";"2.352812"
"2460.0";"2.268283"
"2470.0";"2.300386"
"2480.0";"2.322855"
"2490.0";"2.255569"
"2500.0";"2.276416"
"2510.0";"2.569134"
"2520.0";"2.55709"
"2530.0";"2.569338"
"2540.0";"2.500233"
"2550.0";"2.598205"
"2560.0";"2.30894"
"2570.0";"2.386085"
"2580.0";"2.227736"
"2590.0";"2.456411"
"2600.0";"2.486678"
"2610.0";"2.379051"
"2620.0";"2.831947"
"2630.0";"2.979156"
"2640.0";"2.847197"
"2650.0";"3.294544"
"2660.0";"3.087391"
"2670.0";"3.079208"
"2680.0";"3.00241"
"2690.0";"3.085247"
"2700.0";"3.254579"
"2710.0";"3.292"
"2720.0";"3.435652"
"2730.0";"3.550162"
"2740.0";"3.774758"
"2750.0";"3.693957"
"2760.0";"3.99752"
"2770.0";"4.04879"
"2780.0";"4.043207"
"2790.0";"4.034979"
"2800.0";"3.997614"
"2810.0";"3.871719"
"2820.0";"3.881219"
"2830.0";"3.53926"
"2840.0";"3.610364"
"2850.0";"3.593107"
"2860.0";"3.616658"
"2870.0";"3.671331"
"2880.0";"3.62816"
"2890.0";"3.75475"
"2900.0";"3.749879"
"2910.0";"3.484934"
"2920.0";"3.214551"
"2930.0";"3.174299"
"2940.0";"3.275287"
"2950.0";"3.301418"
"2960.0";"3.35447"
"2970.0";"3.748948"
"2980.0";"3.575938"
"2990.0";"3.491726"
"3000.0";"3.747701"
"3010.0";"3.401913"
"3020.0";"3.581356"
"3030.0";"3.705903"
"3040.0";"3.726062"
"3050.0";"3.610633"
"3060.0";"3.431221"
"3070.0";"3.498466"
"3080.0";"3.542411"
"3090.0";"3.303179"
"3100.0";"3.221679"
"3110.0";"3.085027"
"3120.0";"2.818591"
"3130.0";"2.763426"
"3140.0";"2.898736"
"3150.0";"2.812429"
"3160.0";"2.799647"
"3170.0";"2.572058"
"3180.0";"2.96682"
"3190.0";"2.898314"
"3200.0";"2.906147"
"3210.0";"2.979028"
"3220.0";"2.861154"
"3230.0";"2.963362"
"3240.0";"2.834623"
"3250.0";"2.802175"
"3260.0";"2.929034"
"3270.0";"2.998911"
"3280.0";"3.197706"
"3290.0";"2.855416"
"3300.0";"3.21901"
"3310.0";"2.990445"
"3320.0";"2.961306"
"3330.0";"3.030565"
"3340.0";"3.046985"
"3350.0";"3.024035"
"3360.0";"2.856512"
"3370.0";"3.065027"
"3380.0";"3.245844"
"3390.0";"3.0528"
"3400.0";"3.264453"
"3410.0";"3.132717"
"3420.0";"3.458354"
"3430.0";"3.465405"
"3440.0";"3.575433"
"3450.0";"3.363833"
"3460.0";"3.356629"
"3470.0";"3.472087"
"3480.0";"3.412403"
"3490.0";"3.546186"
"3500.0";"3.554665"
