# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol20_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL20-outer_dimer_area"
"0.0";"3.025389"
"10.0";"2.866538"
"20.0";"2.881644"
"30.0";"2.876105"
"40.0";"2.978693"
"50.0";"2.860765"
"60.0";"2.84046"
"70.0";"2.846639"
"80.0";"3.038855"
"90.0";"2.953928"
"100.0";"3.007828"
"110.0";"2.990054"
"120.0";"3.030624"
"130.0";"2.909137"
"140.0";"2.890223"
"150.0";"2.981817"
"160.0";"3.007974"
"170.0";"3.043486"
"180.0";"3.055348"
"190.0";"3.008976"
"200.0";"3.030075"
"210.0";"3.101699"
"220.0";"3.112392"
"230.0";"3.089437"
"240.0";"3.191442"
"250.0";"3.214603"
"260.0";"3.173891"
"270.0";"3.193465"
"280.0";"3.172437"
"290.0";"3.137646"
"300.0";"3.135449"
"310.0";"3.014547"
"320.0";"3.048448"
"330.0";"3.089674"
"340.0";"3.090579"
"350.0";"3.003272"
"360.0";"2.869309"
"370.0";"2.970238"
"380.0";"2.931994"
"390.0";"3.064482"
"400.0";"3.001826"
"410.0";"2.976479"
"420.0";"3.030236"
"430.0";"2.969924"
"440.0";"3.064168"
"450.0";"2.861717"
"460.0";"2.89976"
"470.0";"2.940907"
"480.0";"2.993829"
"490.0";"2.998534"
"500.0";"2.974718"
"510.0";"3.016735"
"520.0";"3.066442"
"530.0";"2.981383"
"540.0";"3.108261"
"550.0";"3.078085"
"560.0";"3.009963"
"570.0";"3.054153"
"580.0";"3.059304"
"590.0";"3.014749"
"600.0";"3.011249"
"610.0";"2.983025"
"620.0";"2.947551"
"630.0";"2.934522"
"640.0";"2.965067"
"650.0";"2.891022"
"660.0";"2.826807"
"670.0";"2.872772"
"680.0";"2.933933"
"690.0";"2.921105"
"700.0";"2.969295"
"710.0";"2.914508"
"720.0";"2.884275"
"730.0";"2.947183"
"740.0";"2.934743"
"750.0";"2.911846"
"760.0";"2.993587"
"770.0";"3.03332"
"780.0";"3.083488"
"790.0";"2.947337"
"800.0";"2.908683"
"810.0";"2.861175"
"820.0";"2.897347"
"830.0";"2.879169"
"840.0";"2.990773"
"850.0";"2.8002"
"860.0";"2.795362"
"870.0";"2.777679"
"880.0";"2.750943"
"890.0";"2.700121"
"900.0";"2.645299"
"910.0";"2.656917"
"920.0";"2.712254"
"930.0";"2.723021"
"940.0";"2.597961"
"950.0";"2.683283"
"960.0";"2.656543"
"970.0";"2.62059"
"980.0";"2.706643"
"990.0";"2.674817"
"1000.0";"2.675604"
"1010.0";"2.697949"
"1020.0";"2.729164"
"1030.0";"2.770213"
"1040.0";"2.818079"
"1050.0";"2.591255"
"1060.0";"2.719233"
"1070.0";"2.627439"
"1080.0";"2.701451"
"1090.0";"2.655734"
"1100.0";"2.677197"
"1110.0";"2.731088"
"1120.0";"2.693047"
"1130.0";"2.720222"
"1140.0";"2.668791"
"1150.0";"2.723466"
"1160.0";"2.819761"
"1170.0";"2.635779"
"1180.0";"2.612838"
"1190.0";"2.723259"
"1200.0";"2.676752"
"1210.0";"2.620203"
"1220.0";"2.641618"
"1230.0";"2.583227"
"1240.0";"2.591207"
"1250.0";"2.687804"
"1260.0";"2.631951"
"1270.0";"2.686736"
"1280.0";"2.660368"
"1290.0";"2.505203"
"1300.0";"2.662027"
"1310.0";"2.656815"
"1320.0";"2.605904"
"1330.0";"2.643589"
"1340.0";"2.635214"
"1350.0";"2.62236"
"1360.0";"2.591567"
"1370.0";"2.646233"
"1380.0";"2.636493"
"1390.0";"2.632659"
"1400.0";"2.625458"
"1410.0";"2.636142"
"1420.0";"2.589153"
"1430.0";"2.615332"
"1440.0";"2.64397"
"1450.0";"2.698626"
"1460.0";"2.66667"
"1470.0";"2.690881"
"1480.0";"2.636314"
"1490.0";"2.629723"
"1500.0";"2.626029"
"1510.0";"2.718155"
"1520.0";"2.66089"
"1530.0";"2.612653"
"1540.0";"2.629815"
"1550.0";"2.661721"
"1560.0";"2.667239"
"1570.0";"2.690995"
"1580.0";"2.578526"
"1590.0";"2.652894"
