# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mol11_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.48e-05"
"10.0";"0.0867294"
"20.0";"0.0902304"
"30.0";"0.0993482"
"40.0";"0.104376"
"50.0";"0.1134097"
"60.0";"0.1173623"
"70.0";"0.1139435"
"80.0";"0.1021789"
"90.0";"0.1122593"
"100.0";"0.1258815"
"110.0";"0.1100525"
"120.0";"0.1173209"
"130.0";"0.1333186"
"140.0";"0.1323489"
"150.0";"0.1281322"
"160.0";"0.1257759"
"170.0";"0.1297414"
"180.0";"0.1229259"
"190.0";"0.1145782"
"200.0";"0.1125405"
"210.0";"0.1176771"
"220.0";"0.1184777"
"230.0";"0.1210272"
"240.0";"0.1179129"
"250.0";"0.1180249"
"260.0";"0.135942"
"270.0";"0.1372793"
"280.0";"0.1328315"
"290.0";"0.1269557"
"300.0";"0.1307287"
"310.0";"0.1394759"
"320.0";"0.1362407"
"330.0";"0.1365965"
"340.0";"0.1426558"
"350.0";"0.1432762"
"360.0";"0.1519853"
"370.0";"0.1325895"
"380.0";"0.152685"
"390.0";"0.1486889"
"400.0";"0.1397699"
"410.0";"0.155913"
"420.0";"0.156421"
"430.0";"0.1438085"
"440.0";"0.138118"
"450.0";"0.1399121"
"460.0";"0.1428334"
"470.0";"0.1391196"
"480.0";"0.1454143"
"490.0";"0.1371931"
"500.0";"0.139208"
"510.0";"0.1483774"
"520.0";"0.1532794"
"530.0";"0.1404135"
"540.0";"0.1467996"
"550.0";"0.1418348"
"560.0";"0.1345084"
"570.0";"0.1570025"
"580.0";"0.1386926"
"590.0";"0.1357275"
"600.0";"0.1308306"
"610.0";"0.1471854"
"620.0";"0.1546141"
"630.0";"0.1418184"
"640.0";"0.1490609"
"650.0";"0.1506947"
"660.0";"0.1401629"
"670.0";"0.1506022"
"680.0";"0.15989"
"690.0";"0.1484831"
"700.0";"0.167278"
"710.0";"0.159784"
"720.0";"0.16378"
"730.0";"0.1632099"
"740.0";"0.1584071"
"750.0";"0.1677324"
"760.0";"0.1641019"
"770.0";"0.1750936"
"780.0";"0.1832583"
"790.0";"0.1882682"
"800.0";"0.184376"
"810.0";"0.1886793"
"820.0";"0.1924695"
"830.0";"0.1916213"
"840.0";"0.2037085"
"850.0";"0.2011263"
"860.0";"0.1980209"
"870.0";"0.1950583"
"880.0";"0.2043454"
"890.0";"0.2080141"
"900.0";"0.2022828"
"910.0";"0.1936088"
"920.0";"0.2010748"
"930.0";"0.1848154"
"940.0";"0.2069574"
"950.0";"0.216591"
"960.0";"0.2243048"
"970.0";"0.2183535"
"980.0";"0.2137763"
"990.0";"0.2159585"
"1000.0";"0.2178517"
"1010.0";"0.2223177"
"1020.0";"0.2308273"
"1030.0";"0.2116352"
"1040.0";"0.2072312"
"1050.0";"0.2041682"
"1060.0";"0.1966575"
"1070.0";"0.1865146"
"1080.0";"0.1849194"
"1090.0";"0.181957"
"1100.0";"0.1857902"
"1110.0";"0.1953746"
"1120.0";"0.1931161"
"1130.0";"0.1889824"
"1140.0";"0.1881867"
"1150.0";"0.1844868"
"1160.0";"0.1693103"
"1170.0";"0.1590184"
"1180.0";"0.1728978"
"1190.0";"0.1668673"
"1200.0";"0.1781889"
"1210.0";"0.1837941"
"1220.0";"0.1866531"
"1230.0";"0.1927458"
"1240.0";"0.1912141"
"1250.0";"0.1949908"
"1260.0";"0.2051619"
"1270.0";"0.1918744"
"1280.0";"0.1896621"
"1290.0";"0.1877037"
"1300.0";"0.1799071"
"1310.0";"0.1773516"
"1320.0";"0.1702572"
"1330.0";"0.1692362"
"1340.0";"0.1716609"
"1350.0";"0.1708276"
"1360.0";"0.1733067"
