# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAB/6fxb_clab_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"161.616"
"10.0";"161.501"
"20.0";"162.674"
"30.0";"161.258"
"40.0";"161.029"
"50.0";"161.154"
"60.0";"165.562"
"70.0";"163.406"
"80.0";"162.529"
"90.0";"161.206"
"100.0";"158.966"
"110.0";"162.835"
"120.0";"160.649"
"130.0";"162.037"
"140.0";"161.603"
"150.0";"162.556"
"160.0";"160.757"
"170.0";"160.681"
"180.0";"160.119"
"190.0";"159.812"
"200.0";"159.621"
"210.0";"161.852"
"220.0";"162.654"
"230.0";"160.755"
"240.0";"160.134"
"250.0";"160.673"
"260.0";"160.164"
"270.0";"160.245"
"280.0";"161.519"
"290.0";"161.456"
"300.0";"161.631"
"310.0";"159.377"
"320.0";"162.446"
"330.0";"161.079"
"340.0";"160.661"
"350.0";"158.323"
"360.0";"163.415"
"370.0";"161.303"
"380.0";"160.46"
"390.0";"159.218"
"400.0";"161.358"
"410.0";"160.752"
"420.0";"161.104"
"430.0";"161.803"
"440.0";"158.942"
"450.0";"159.584"
"460.0";"161.139"
"470.0";"159.772"
"480.0";"159.859"
"490.0";"158.438"
"500.0";"162.684"
"510.0";"161.408"
"520.0";"160.886"
"530.0";"159.481"
"540.0";"162.17"
"550.0";"161.083"
"560.0";"159.776"
"570.0";"159.893"
"580.0";"159.59"
"590.0";"162.46"
"600.0";"161.276"
"610.0";"160.482"
"620.0";"159.98"
"630.0";"159.773"
"640.0";"158.152"
"650.0";"159.718"
"660.0";"161.246"
"670.0";"162.397"
"680.0";"161.068"
"690.0";"158.002"
"700.0";"160.612"
"710.0";"160.064"
"720.0";"161.75"
"730.0";"160.813"
"740.0";"160.191"
"750.0";"159.919"
"760.0";"162.124"
"770.0";"162.096"
"780.0";"161.232"
"790.0";"158.674"
"800.0";"159.657"
"810.0";"159.961"
"820.0";"159.629"
"830.0";"157.562"
"840.0";"159.567"
"850.0";"159.504"
"860.0";"158.392"
"870.0";"158.731"
"880.0";"158.403"
"890.0";"158.459"
"900.0";"156.292"
"910.0";"158.792"
"920.0";"157.778"
"930.0";"162.577"
"940.0";"159.936"
"950.0";"159.74"
"960.0";"159.62"
"970.0";"158.87"
"980.0";"160.506"
"990.0";"160.552"
"1000.0";"156.123"
"1010.0";"159.865"
"1020.0";"156.075"
"1030.0";"163.434"
"1040.0";"159.638"
"1050.0";"160.003"
"1060.0";"161.423"
"1070.0";"162.954"
"1080.0";"163.158"
"1090.0";"160.402"
"1100.0";"161.159"
"1110.0";"159.249"
"1120.0";"160.061"
"1130.0";"162.545"
"1140.0";"158.701"
"1150.0";"160.679"
"1160.0";"163.122"
"1170.0";"163.021"
"1180.0";"160.061"
"1190.0";"160.541"
"1200.0";"158.563"
"1210.0";"161.077"
"1220.0";"160.73"
"1230.0";"161.319"
"1240.0";"159.299"
"1250.0";"160.315"
"1260.0";"161.041"
"1270.0";"161.956"
"1280.0";"162.155"
"1290.0";"159.015"
"1300.0";"161.187"
"1310.0";"159.273"
"1320.0";"162.899"
"1330.0";"160.402"
"1340.0";"161.684"
"1350.0";"163.663"
"1360.0";"159.872"
"1370.0";"159.535"
"1380.0";"163.978"
"1390.0";"160.392"
"1400.0";"162.297"
"1410.0";"160.49"
"1420.0";"160.894"
