# This .csv file was created 12.10.2024 14:28
# extracted out of file contacts_major_allergenic_epitope_r_149-162_MOL15.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Number of Contacts < 0.6 nm"
"Time (ps)";"r_149-162-MOL15"
"0.0";"94.0"
"10.0";"60.0"
"20.0";"93.0"
"30.0";"63.0"
"40.0";"57.0"
"50.0";"75.0"
"60.0";"110.0"
"70.0";"47.0"
"80.0";"79.0"
"90.0";"76.0"
"100.0";"59.0"
"110.0";"65.0"
"120.0";"76.0"
"130.0";"101.0"
"140.0";"111.0"
"150.0";"123.0"
"160.0";"82.0"
"170.0";"67.0"
"180.0";"117.0"
"190.0";"139.0"
"200.0";"127.0"
"210.0";"50.0"
"220.0";"76.0"
"230.0";"100.0"
"240.0";"73.0"
"250.0";"59.0"
"260.0";"67.0"
"270.0";"44.0"
"280.0";"23.0"
"290.0";"70.0"
"300.0";"107.0"
"310.0";"177.0"
"320.0";"221.0"
"330.0";"258.0"
"340.0";"242.0"
"350.0";"183.0"
"360.0";"236.0"
"370.0";"248.0"
"380.0";"355.0"
"390.0";"313.0"
"400.0";"301.0"
"410.0";"309.0"
"420.0";"222.0"
"430.0";"167.0"
"440.0";"223.0"
"450.0";"190.0"
"460.0";"200.0"
"470.0";"167.0"
"480.0";"246.0"
"490.0";"231.0"
"500.0";"184.0"
"510.0";"200.0"
"520.0";"177.0"
"530.0";"241.0"
"540.0";"191.0"
"550.0";"228.0"
"560.0";"205.0"
"570.0";"135.0"
"580.0";"187.0"
"590.0";"164.0"
"600.0";"191.0"
"610.0";"281.0"
"620.0";"255.0"
"630.0";"421.0"
"640.0";"402.0"
"650.0";"286.0"
"660.0";"225.0"
"670.0";"271.0"
"680.0";"221.0"
"690.0";"195.0"
"700.0";"252.0"
"710.0";"237.0"
"720.0";"258.0"
"730.0";"191.0"
"740.0";"301.0"
"750.0";"282.0"
"760.0";"359.0"
"770.0";"303.0"
"780.0";"251.0"
"790.0";"316.0"
"800.0";"249.0"
"810.0";"363.0"
"820.0";"462.0"
"830.0";"451.0"
"840.0";"291.0"
"850.0";"334.0"
"860.0";"295.0"
"870.0";"275.0"
"880.0";"164.0"
"890.0";"298.0"
"900.0";"280.0"
"910.0";"268.0"
"920.0";"219.0"
"930.0";"278.0"
"940.0";"346.0"
"950.0";"313.0"
"960.0";"280.0"
"970.0";"278.0"
"980.0";"229.0"
"990.0";"333.0"
"1000.0";"334.0"
"1010.0";"338.0"
"1020.0";"266.0"
"1030.0";"296.0"
"1040.0";"194.0"
"1050.0";"266.0"
"1060.0";"195.0"
"1070.0";"156.0"
"1080.0";"144.0"
