# This .csv file was created 12.10.2024 14:27
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL"
"0.0";"0.1813864"
"10.0";"0.2439362"
"20.0";"0.3368693"
"30.0";"0.333282"
"40.0";"0.3630936"
"50.0";"0.3528369"
"60.0";"0.3497154"
"70.0";"0.3481007"
"80.0";"0.2001876"
"90.0";"0.1997272"
"100.0";"0.245467"
"110.0";"0.2337369"
"120.0";"0.1842743"
"130.0";"0.2854472"
"140.0";"0.2218312"
"150.0";"0.2163928"
"160.0";"0.2725179"
"170.0";"0.2902431"
"180.0";"0.2873347"
"190.0";"0.203426"
"200.0";"0.2069058"
"210.0";"0.2596382"
"220.0";"0.2282217"
"230.0";"0.2087439"
"240.0";"0.3227706"
"250.0";"0.3357168"
"260.0";"0.3318401"
"270.0";"0.420464"
"280.0";"0.4307146"
"290.0";"0.3650644"
"300.0";"0.2801234"
"310.0";"0.2807239"
"320.0";"0.2524857"
"330.0";"0.2029337"
"340.0";"0.1875554"
"350.0";"0.1925983"
"360.0";"0.1809892"
"370.0";"0.204514"
"380.0";"0.1819285"
"390.0";"0.1873336"
"400.0";"0.1897418"
"410.0";"0.1918824"
"420.0";"0.2444607"
"430.0";"0.2285366"
"440.0";"0.2556052"
"450.0";"0.2566009"
"460.0";"0.2374363"
"470.0";"0.244798"
"480.0";"0.2151723"
"490.0";"0.2538072"
"500.0";"0.228799"
"510.0";"0.2023193"
"520.0";"0.2121084"
"530.0";"0.2374995"
"540.0";"0.2598826"
"550.0";"0.2680634"
"560.0";"0.234107"
"570.0";"0.2769801"
"580.0";"0.2032092"
"590.0";"0.2311405"
"600.0";"0.1923798"
"610.0";"0.2335424"
"620.0";"0.2235041"
"630.0";"0.2413068"
"640.0";"0.2639654"
"650.0";"0.2491631"
"660.0";"0.2771661"
"670.0";"0.2161625"
"680.0";"0.2389266"
"690.0";"0.1812212"
"700.0";"0.2509236"
"710.0";"0.2654391"
"720.0";"0.2373456"
"730.0";"0.2952713"
"740.0";"0.2349488"
"750.0";"0.2374995"
"760.0";"0.2275128"
"770.0";"0.2217134"
"780.0";"0.1998325"
"790.0";"0.2250001"
"800.0";"0.2068914"
"810.0";"0.2624558"
"820.0";"0.2269401"
"830.0";"0.1960203"
"840.0";"0.2518296"
"850.0";"0.2742293"
"860.0";"0.264064"
"870.0";"0.2685442"
"880.0";"0.2965644"
"890.0";"0.2654243"
"900.0";"0.2899789"
"910.0";"0.265377"
"920.0";"0.2462476"
"930.0";"0.2617653"
"940.0";"0.2052343"
"950.0";"0.2063349"
"960.0";"0.1965552"
"970.0";"0.1874674"
"980.0";"0.2231457"
"990.0";"0.2305494"
"1000.0";"0.2153505"
"1010.0";"0.1826523"
"1020.0";"0.2483665"
"1030.0";"0.2420458"
"1040.0";"0.2263975"
"1050.0";"0.1849406"
"1060.0";"0.1712804"
"1070.0";"0.2884041"
"1080.0";"0.2692467"
"1090.0";"0.2713728"
"1100.0";"0.2894183"
"1110.0";"0.3185686"
"1120.0";"0.3656498"
"1130.0";"0.3365828"
"1140.0";"0.2517876"
"1150.0";"0.3660302"
"1160.0";"0.323472"
"1170.0";"0.2654621"
"1180.0";"0.263496"
"1190.0";"0.2075838"
"1200.0";"0.2714204"
"1210.0";"0.2726808"
"1220.0";"0.2682498"
"1230.0";"0.2405097"
"1240.0";"0.262065"
"1250.0";"0.2765516"
"1260.0";"0.2897757"
"1270.0";"0.2985448"
"1280.0";"0.2554115"
"1290.0";"0.3372256"
"1300.0";"0.2998234"
"1310.0";"0.2297219"
"1320.0";"0.2338251"
"1330.0";"0.2350171"
"1340.0";"0.2710941"
"1350.0";"0.2555742"
"1360.0";"0.2039263"
"1370.0";"0.2309309"
"1380.0";"0.2098617"
"1390.0";"0.2832297"
"1400.0";"0.2982703"
"1410.0";"0.2576586"
"1420.0";"0.2554405"
"1430.0";"0.2859599"
"1440.0";"0.247655"
"1450.0";"0.2661321"
"1460.0";"0.2583894"
"1470.0";"0.2656483"
"1480.0";"0.23956"
"1490.0";"0.2464651"
"1500.0";"0.2591026"
"1510.0";"0.2102782"
"1520.0";"0.1935486"
"1530.0";"0.1963339"
"1540.0";"0.2309027"
