# This .csv file was created 12.10.2024 22:36
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.48479";"1.22049";"1.19352";"1.22273"
"10.0";"1.48886";"1.22731";"1.19701";"1.2224"
"20.0";"1.48059";"1.219";"1.1926";"1.21492"
"30.0";"1.48948";"1.2283";"1.19241";"1.2274"
"40.0";"1.48813";"1.22605";"1.19149";"1.22729"
"50.0";"1.49177";"1.22866";"1.20192";"1.22333"
"60.0";"1.48675";"1.21788";"1.19252";"1.23106"
"70.0";"1.49086";"1.22442";"1.19565";"1.23147"
"80.0";"1.48905";"1.22509";"1.19161";"1.23034"
"90.0";"1.4898";"1.22578";"1.19367";"1.22947"
"100.0";"1.49255";"1.22992";"1.19631";"1.22944"
"110.0";"1.49057";"1.22585";"1.19253";"1.23239"
"120.0";"1.48871";"1.2245";"1.18758";"1.23401"
"130.0";"1.48889";"1.22624";"1.18973";"1.23063"
"140.0";"1.48787";"1.22589";"1.18737";"1.23079"
"150.0";"1.49287";"1.23518";"1.18601";"1.23493"
"160.0";"1.485";"1.22477";"1.18725";"1.22507"
"170.0";"1.48489";"1.22107";"1.18886";"1.22695"
"180.0";"1.49006";"1.23295";"1.19219";"1.22436"
"190.0";"1.48423";"1.22031";"1.18841";"1.22653"
"200.0";"1.49093";"1.22605";"1.19709";"1.22863"
"210.0";"1.4924";"1.22854";"1.19531";"1.23144"
"220.0";"1.49261";"1.22528";"1.19935";"1.23127"
"230.0";"1.48844";"1.22164";"1.19571";"1.22832"
"240.0";"1.48643";"1.22182";"1.20114";"1.21793"
"250.0";"1.48848";"1.22356";"1.19303";"1.22912"
"260.0";"1.49139";"1.22909";"1.19632";"1.22746"
"270.0";"1.49763";"1.23031";"1.20563";"1.23231"
"280.0";"1.49684";"1.22959";"1.19672";"1.23977"
"290.0";"1.49182";"1.22464";"1.19538";"1.23385"
"300.0";"1.49201";"1.22888";"1.1876";"1.23761"
"310.0";"1.48768";"1.22501";"1.19002";"1.22864"
"320.0";"1.49594";"1.2312";"1.19383";"1.2388"
"330.0";"1.49369";"1.23013";"1.19686";"1.23147"
"340.0";"1.492";"1.23018";"1.18748";"1.23639"
"350.0";"1.49071";"1.22902";"1.1952";"1.22696"
"360.0";"1.48962";"1.22964";"1.18541";"1.23318"
"370.0";"1.4864";"1.22337";"1.1933";"1.224"
"380.0";"1.4898";"1.2286";"1.18954";"1.23066"
"390.0";"1.48724";"1.22308";"1.19111";"1.22846"
"400.0";"1.48834";"1.22042";"1.19395";"1.23101"
"410.0";"1.49";"1.22113";"1.19436";"1.23392"
"420.0";"1.48654";"1.22289";"1.18122";"1.23647"
"430.0";"1.48394";"1.21688";"1.18843";"1.22923"
