# This .csv file was created 12.10.2024 22:36
# extracted out of file prod_center_rottrans_p2_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"7e-07"
"10.0";"0.0486833"
"20.0";"0.0491516"
"30.0";"0.0555793"
"40.0";"0.0570793"
"50.0";"0.0520622"
"60.0";"0.0524733"
"70.0";"0.0604342"
"80.0";"0.0643557"
"90.0";"0.0600227"
"100.0";"0.0534846"
"110.0";"0.0543645"
"120.0";"0.0539423"
"130.0";"0.0516884"
"140.0";"0.0608736"
"150.0";"0.0608467"
"160.0";"0.0558803"
"170.0";"0.0599823"
"180.0";"0.0540612"
"190.0";"0.0585924"
"200.0";"0.0598177"
"210.0";"0.0604957"
"220.0";"0.0599658"
"230.0";"0.0598461"
"240.0";"0.0580708"
"250.0";"0.0615697"
"260.0";"0.054783"
"270.0";"0.0571046"
"280.0";"0.0681394"
"290.0";"0.0738641"
"300.0";"0.0676145"
"310.0";"0.0636433"
"320.0";"0.0649274"
"330.0";"0.0564388"
"340.0";"0.0540373"
"350.0";"0.0580267"
"360.0";"0.0620826"
"370.0";"0.0549463"
"380.0";"0.0685547"
"390.0";"0.0675811"
"400.0";"0.060836"
"410.0";"0.0618571"
"420.0";"0.0579756"
"430.0";"0.0563811"
"440.0";"0.0585477"
"450.0";"0.0581456"
"460.0";"0.0569236"
"470.0";"0.0607554"
"480.0";"0.0523298"
"490.0";"0.061119"
"500.0";"0.063504"
"510.0";"0.0599987"
"520.0";"0.0624483"
"530.0";"0.0572297"
"540.0";"0.0608509"
"550.0";"0.0623491"
"560.0";"0.060601"
"570.0";"0.0611302"
"580.0";"0.0600753"
"590.0";"0.0580327"
"600.0";"0.0598795"
"610.0";"0.0674707"
"620.0";"0.0613502"
"630.0";"0.0601806"
"640.0";"0.0583514"
"650.0";"0.0604276"
"660.0";"0.0599646"
"670.0";"0.0613305"
"680.0";"0.0580612"
"690.0";"0.0623732"
"700.0";"0.0625966"
"710.0";"0.0583886"
