# This .csv file was created 12.10.2024 22:36
# extracted out of file prod_mol6_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0849928"
"20.0";"0.0901098"
"30.0";"0.0945739"
"40.0";"0.1075245"
"50.0";"0.1151959"
"60.0";"0.1214628"
"70.0";"0.1496288"
"80.0";"0.1602256"
"90.0";"0.1496525"
"100.0";"0.1389582"
"110.0";"0.1553165"
"120.0";"0.1526606"
"130.0";"0.1651609"
"140.0";"0.1768886"
"150.0";"0.1838756"
"160.0";"0.1793997"
"170.0";"0.1712072"
"180.0";"0.1575332"
"190.0";"0.1869615"
"200.0";"0.1708415"
"210.0";"0.1750456"
"220.0";"0.1869284"
"230.0";"0.1701968"
"240.0";"0.1655579"
"250.0";"0.181022"
"260.0";"0.1809754"
"270.0";"0.1785627"
"280.0";"0.1961671"
"290.0";"0.1942756"
"300.0";"0.2105935"
"310.0";"0.1941565"
"320.0";"0.2045496"
"330.0";"0.1913002"
"340.0";"0.2002498"
"350.0";"0.203085"
"360.0";"0.2146807"
"370.0";"0.213792"
"380.0";"0.2073321"
"390.0";"0.2074065"
"400.0";"0.2087878"
"410.0";"0.2335159"
"420.0";"0.2385291"
"430.0";"0.2353823"
"440.0";"0.2347593"
"450.0";"0.2187646"
"460.0";"0.2215854"
"470.0";"0.2306924"
"480.0";"0.2300063"
"490.0";"0.2372268"
"500.0";"0.2466777"
"510.0";"0.2438871"
"520.0";"0.2474053"
"530.0";"0.2402821"
"540.0";"0.2727189"
"550.0";"0.2709263"
"560.0";"0.2760193"
"570.0";"0.2778648"
"580.0";"0.2703416"
"590.0";"0.2928062"
"600.0";"0.2918448"
"610.0";"0.3013541"
"620.0";"0.2869785"
"630.0";"0.2819927"
"640.0";"0.2792348"
"650.0";"0.26247"
"660.0";"0.2671583"
"670.0";"0.2705959"
"680.0";"0.2702438"
"690.0";"0.271327"
"700.0";"0.2724984"
"710.0";"0.2656367"
"720.0";"0.2907797"
"730.0";"0.2974448"
"740.0";"0.2896412"
"750.0";"0.274856"
"760.0";"0.2643642"
"770.0";"0.2628713"
"780.0";"0.2650203"
"790.0";"0.2707841"
"800.0";"0.2646999"
"810.0";"0.2723095"
"820.0";"0.2773376"
"830.0";"0.2489749"
"840.0";"0.2487612"
"850.0";"0.2487595"
"860.0";"0.2577873"
"870.0";"0.2495081"
"880.0";"0.2541275"
"890.0";"0.2727755"
"900.0";"0.2676347"
"910.0";"0.2604854"
"920.0";"0.2524192"
"930.0";"0.2575394"
"940.0";"0.266887"
"950.0";"0.2772765"
"960.0";"0.280849"
"970.0";"0.2939171"
"980.0";"0.286667"
"990.0";"0.263868"
"1000.0";"0.2565772"
"1010.0";"0.2518969"
"1020.0";"0.2505204"
"1030.0";"0.2355576"
"1040.0";"0.2409356"
"1050.0";"0.2223402"
"1060.0";"0.2129327"
"1070.0";"0.2265981"
"1080.0";"0.2224492"
"1090.0";"0.2232544"
"1100.0";"0.2204314"
"1110.0";"0.2293021"
"1120.0";"0.222282"
"1130.0";"0.2166483"
"1140.0";"0.2322147"
"1150.0";"0.2299628"
"1160.0";"0.2251129"
"1170.0";"0.2130052"
"1180.0";"0.2117148"
"1190.0";"0.2031959"
"1200.0";"0.2056083"
"1210.0";"0.2171708"
"1220.0";"0.2209501"
"1230.0";"0.2243414"
"1240.0";"0.2315631"
"1250.0";"0.2266233"
"1260.0";"0.2290017"
"1270.0";"0.2404038"
