# This .csv file was created 12.10.2024 14:27
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_1
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"158.87"
"10.0";"160.574"
"20.0";"160.112"
"30.0";"158.626"
"40.0";"154.684"
"50.0";"161.616"
"60.0";"157.914"
"70.0";"159.407"
"80.0";"160.469"
"90.0";"157.591"
"100.0";"159.968"
"110.0";"157.821"
"120.0";"157.148"
"130.0";"158.449"
"140.0";"158.312"
"150.0";"158.593"
"160.0";"156.675"
"170.0";"157.815"
"180.0";"160.405"
"190.0";"156.063"
"200.0";"158.424"
"210.0";"158.521"
"220.0";"158.803"
"230.0";"160.638"
"240.0";"157.329"
"250.0";"157.002"
"260.0";"156.962"
"270.0";"159.642"
"280.0";"158.258"
"290.0";"159.453"
"300.0";"160.09"
"310.0";"158.422"
"320.0";"159.998"
"330.0";"158.333"
"340.0";"160.041"
"350.0";"158.102"
"360.0";"160.713"
"370.0";"159.632"
"380.0";"158.507"
"390.0";"155.364"
"400.0";"157.838"
"410.0";"157.55"
"420.0";"156.493"
"430.0";"155.611"
"440.0";"157.373"
"450.0";"157.808"
"460.0";"156.139"
"470.0";"157.312"
"480.0";"156.301"
"490.0";"159.023"
"500.0";"158.623"
"510.0";"158.468"
"520.0";"158.506"
"530.0";"159.679"
"540.0";"158.569"
"550.0";"157.479"
"560.0";"156.226"
"570.0";"159.642"
"580.0";"158.249"
"590.0";"157.874"
"600.0";"158.947"
"610.0";"156.218"
"620.0";"156.381"
"630.0";"156.214"
"640.0";"158.393"
"650.0";"156.199"
"660.0";"156.474"
"670.0";"155.424"
"680.0";"157.741"
"690.0";"159.208"
"700.0";"156.524"
"710.0";"161.815"
"720.0";"159.705"
"730.0";"160.183"
"740.0";"158.12"
"750.0";"159.599"
"760.0";"155.729"
"770.0";"158.313"
"780.0";"158.002"
"790.0";"158.248"
"800.0";"159.616"
"810.0";"156.934"
"820.0";"159.725"
"830.0";"160.904"
"840.0";"156.7"
"850.0";"158.718"
"860.0";"157.495"
"870.0";"157.828"
"880.0";"158.386"
"890.0";"156.046"
"900.0";"156.555"
"910.0";"157.052"
"920.0";"158.43"
"930.0";"157.879"
"940.0";"156.415"
"950.0";"160.171"
"960.0";"159.913"
"970.0";"157.721"
"980.0";"160.763"
"990.0";"157.841"
"1000.0";"158.662"
"1010.0";"157.784"
"1020.0";"157.331"
"1030.0";"159.326"
"1040.0";"157.899"
"1050.0";"156.45"
"1060.0";"156.28"
"1070.0";"158.88"
"1080.0";"156.674"
"1090.0";"159.561"
"1100.0";"159.001"
"1110.0";"156.473"
"1120.0";"158.805"
"1130.0";"156.957"
"1140.0";"158.753"
"1150.0";"158.755"
"1160.0";"157.505"
"1170.0";"159.342"
"1180.0";"157.951"
"1190.0";"158.442"
"1200.0";"159.794"
"1210.0";"158.831"
"1220.0";"158.538"
"1230.0";"159.248"
"1240.0";"160.973"
"1250.0";"158.853"
"1260.0";"160.337"
"1270.0";"160.026"
"1280.0";"158.251"
"1290.0";"162.037"
"1300.0";"157.268"
"1310.0";"158.316"
"1320.0";"158.228"
"1330.0";"157.014"
"1340.0";"158.285"
"1350.0";"156.839"
"1360.0";"157.914"
"1370.0";"157.951"
"1380.0";"156.861"
"1390.0";"156.761"
"1400.0";"158.819"
"1410.0";"159.339"
"1420.0";"158.519"
"1430.0";"160.316"
"1440.0";"159.522"
"1450.0";"157.649"
"1460.0";"158.648"
"1470.0";"158.318"
"1480.0";"155.952"
"1490.0";"157.499"
"1500.0";"157.92"
"1510.0";"159.331"
"1520.0";"158.716"
"1530.0";"155.16"
"1540.0";"158.104"
"1550.0";"158.771"
"1560.0";"159.089"
"1570.0";"157.5"
"1580.0";"160.145"
"1590.0";"159.454"
"1600.0";"161.793"
"1610.0";"161.666"
"1620.0";"160.018"
"1630.0";"157.924"
"1640.0";"157.773"
"1650.0";"158.923"
"1660.0";"158.393"
"1670.0";"159.078"
"1680.0";"160.094"
"1690.0";"157.438"
"1700.0";"156.548"
"1710.0";"158.159"
"1720.0";"155.801"
"1730.0";"159.376"
"1740.0";"155.936"
"1750.0";"154.775"
"1760.0";"157.735"
"1770.0";"156.318"
"1780.0";"157.962"
"1790.0";"155.588"
"1800.0";"157.748"
"1810.0";"158.427"
"1820.0";"156.274"
"1830.0";"155.074"
"1840.0";"158.395"
"1850.0";"156.919"
"1860.0";"157.553"
"1870.0";"156.481"
"1880.0";"158.299"
"1890.0";"155.723"
"1900.0";"156.112"
"1910.0";"155.924"
"1920.0";"158.414"
"1930.0";"156.707"
"1940.0";"159.196"
"1950.0";"155.752"
"1960.0";"158.927"
"1970.0";"157.079"
"1980.0";"157.365"
"1990.0";"156.185"
"2000.0";"156.0"
"2010.0";"156.832"
"2020.0";"157.251"
"2030.0";"155.382"
"2040.0";"157.649"
"2050.0";"158.184"
"2060.0";"160.183"
"2070.0";"158.248"
"2080.0";"154.631"
"2090.0";"159.558"
"2100.0";"159.097"
"2110.0";"160.235"
"2120.0";"159.041"
"2130.0";"160.913"
"2140.0";"159.601"
"2150.0";"162.774"
"2160.0";"159.754"
"2170.0";"160.231"
"2180.0";"158.646"
"2190.0";"160.049"
"2200.0";"158.716"
"2210.0";"158.497"
"2220.0";"157.813"
"2230.0";"160.064"
"2240.0";"158.169"
"2250.0";"157.785"
"2260.0";"159.358"
"2270.0";"160.036"
"2280.0";"159.276"
"2290.0";"159.944"
"2300.0";"160.394"
"2310.0";"160.001"
"2320.0";"158.554"
"2330.0";"160.95"
"2340.0";"160.841"
"2350.0";"158.373"
"2360.0";"160.111"
"2370.0";"159.205"
"2380.0";"157.915"
"2390.0";"158.831"
"2400.0";"160.65"
"2410.0";"158.966"
"2420.0";"158.627"
"2430.0";"159.495"
"2440.0";"160.402"
"2450.0";"159.409"
"2460.0";"162.406"
"2470.0";"161.384"
"2480.0";"161.487"
"2490.0";"156.361"
"2500.0";"159.453"
"2510.0";"158.495"
"2520.0";"161.564"
"2530.0";"160.283"
"2540.0";"156.217"
"2550.0";"159.824"
"2560.0";"159.517"
"2570.0";"157.012"
"2580.0";"160.818"
"2590.0";"159.458"
"2600.0";"159.242"
"2610.0";"155.821"
"2620.0";"156.53"
"2630.0";"158.683"
"2640.0";"159.886"
"2650.0";"157.992"
"2660.0";"158.285"
"2670.0";"158.911"
"2680.0";"158.953"
"2690.0";"159.447"
"2700.0";"161.509"
"2710.0";"161.567"
"2720.0";"159.575"
"2730.0";"160.156"
"2740.0";"158.808"
"2750.0";"160.319"
"2760.0";"160.329"
"2770.0";"159.795"
"2780.0";"157.362"
"2790.0";"158.773"
"2800.0";"156.353"
"2810.0";"156.833"
"2820.0";"159.861"
"2830.0";"159.156"
"2840.0";"159.98"
"2850.0";"155.609"
"2860.0";"152.348"
"2870.0";"159.403"
"2880.0";"160.808"
"2890.0";"158.842"
"2900.0";"160.738"
"2910.0";"159.027"
"2920.0";"158.757"
"2930.0";"159.325"
"2940.0";"159.851"
"2950.0";"157.666"
"2960.0";"157.588"
"2970.0";"158.737"
"2980.0";"158.181"
"2990.0";"157.427"
"3000.0";"160.182"
"3010.0";"161.728"
"3020.0";"158.831"
"3030.0";"159.561"
"3040.0";"163.092"
"3050.0";"162.956"
"3060.0";"156.468"
"3070.0";"156.912"
"3080.0";"158.054"
"3090.0";"158.069"
"3100.0";"157.703"
"3110.0";"157.5"
"3120.0";"156.803"
"3130.0";"156.328"
"3140.0";"160.259"
"3150.0";"157.921"
"3160.0";"157.932"
"3170.0";"159.421"
"3180.0";"157.471"
"3190.0";"159.664"
"3200.0";"158.176"
"3210.0";"155.974"
"3220.0";"158.418"
"3230.0";"158.451"
