# This .csv file was created 12.10.2024 14:28
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-475.752808";"-66.858963"
"10.0";"-413.206329";"-101.267693"
"20.0";"-466.653412";"-72.033363"
"30.0";"-482.432892";"-100.508255"
"40.0";"-383.487885";"-107.62812"
"50.0";"-476.773743";"-127.322464"
"60.0";"-453.788269";"-130.711746"
"70.0";"-449.871552";"-127.017487"
"80.0";"-583.018616";"-116.695145"
"90.0";"-520.450684";"-139.040787"
"100.0";"-561.164795";"-109.590736"
"110.0";"-548.434265";"-106.954865"
"120.0";"-487.558563";"-119.639931"
"130.0";"-447.479584";"-123.66938"
"140.0";"-494.462952";"-155.450027"
"150.0";"-447.913849";"-150.01683"
"160.0";"-502.411743";"-138.762131"
"170.0";"-438.225586";"-168.536758"
"180.0";"-390.082764";"-161.50679"
"190.0";"-421.054016";"-182.426956"
"200.0";"-426.233246";"-211.881241"
"210.0";"-436.718475";"-189.624176"
"220.0";"-364.943237";"-178.240585"
"230.0";"-407.121643";"-201.456909"
"240.0";"-372.042938";"-181.986725"
"250.0";"-388.690674";"-191.154297"
"260.0";"-468.407471";"-206.003189"
"270.0";"-491.803711";"-167.228485"
"280.0";"-447.864136";"-176.108688"
"290.0";"-506.773499";"-188.933472"
"300.0";"-513.539856";"-200.442261"
"310.0";"-644.18634";"-185.340942"
"320.0";"-583.798889";"-224.947098"
"330.0";"-414.086792";"-200.483871"
"340.0";"-374.52594";"-196.322342"
"350.0";"-457.118713";"-215.72197"
"360.0";"-403.719269";"-229.380188"
"370.0";"-475.859863";"-226.205521"
"380.0";"-544.379944";"-182.746994"
"390.0";"-416.349335";"-208.352249"
"400.0";"-485.016602";"-207.036331"
"410.0";"-390.127258";"-212.257736"
"420.0";"-389.602844";"-225.428177"
"430.0";"-423.229828";"-231.632523"
"440.0";"-242.125351";"-225.759628"
"450.0";"-411.922882";"-232.937195"
"460.0";"-292.664307";"-222.679047"
"470.0";"-403.888458";"-243.051193"
"480.0";"-283.547119";"-209.352112"
"490.0";"-344.367218";"-206.575302"
"500.0";"-460.914459";"-200.309479"
"510.0";"-480.418335";"-192.312256"
"520.0";"-467.130219";"-197.615509"
"530.0";"-477.063477";"-193.738953"
"540.0";"-414.529175";"-195.030945"
"550.0";"-495.143311";"-163.923447"
"560.0";"-504.224213";"-217.41864"
"570.0";"-486.741516";"-222.281265"
"580.0";"-605.742615";"-176.996552"
"590.0";"-547.902039";"-210.070435"
"600.0";"-576.123779";"-207.919128"
"610.0";"-507.235352";"-234.275024"
"620.0";"-570.884705";"-208.369125"
"630.0";"-537.434998";"-219.550629"
"640.0";"-549.870483";"-227.12764"
"650.0";"-598.315857";"-206.625931"
"660.0";"-529.881531";"-220.200455"
"670.0";"-618.376404";"-167.595688"
