# This .csv file was created 12.10.2024 14:28
# extracted out of file mindist_major_allergenic_epitope_r_203-222_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_203-222-MOL"
"0.0";"0.9894205"
"10.0";"0.8646385"
"20.0";"0.9667621"
"30.0";"0.9299584"
"40.0";"1.019278"
"50.0";"1.057977"
"60.0";"0.9314527"
"70.0";"0.9696597"
"80.0";"0.9468528"
"90.0";"0.8949017"
"100.0";"0.7554617"
"110.0";"0.7898569"
"120.0";"0.6973622"
"130.0";"0.6119322"
"140.0";"0.7050744"
"150.0";"0.6981961"
"160.0";"0.6409917"
"170.0";"0.6696633"
"180.0";"0.5563668"
"190.0";"0.476555"
"200.0";"0.4615192"
"210.0";"0.4847898"
"220.0";"0.4501704"
"230.0";"0.6281893"
"240.0";"0.5725471"
"250.0";"0.5737966"
"260.0";"0.3838657"
"270.0";"0.5920436"
"280.0";"0.48941"
"290.0";"0.3813924"
"300.0";"0.4898788"
"310.0";"0.4394451"
"320.0";"0.5377569"
"330.0";"0.7526248"
"340.0";"0.6397533"
"350.0";"0.5629444"
"360.0";"0.3787638"
"370.0";"0.4107175"
"380.0";"0.7245102"
"390.0";"0.6440378"
"400.0";"0.6333091"
"410.0";"0.5995103"
"420.0";"0.5001361"
"430.0";"0.4622781"
"440.0";"0.4953355"
"450.0";"0.4986808"
"460.0";"0.522533"
"470.0";"0.5047338"
"480.0";"0.4758347"
"490.0";"0.5880901"
"500.0";"0.7230064"
"510.0";"0.6894315"
"520.0";"0.6455208"
"530.0";"0.5331359"
"540.0";"0.5558661"
"550.0";"0.4343114"
"560.0";"0.4810296"
"570.0";"0.4146323"
"580.0";"0.4022184"
"590.0";"0.3805241"
"600.0";"0.2442905"
"610.0";"0.3465905"
"620.0";"0.355296"
"630.0";"0.4009267"
"640.0";"0.4652191"
"650.0";"0.3973789"
"660.0";"0.5055797"
"670.0";"0.5287783"
"680.0";"0.4893358"
"690.0";"0.3398022"
"700.0";"0.4818233"
"710.0";"0.2761319"
"720.0";"0.3188941"
"730.0";"0.2518834"
"740.0";"0.3975648"
"750.0";"0.3106592"
"760.0";"0.3402487"
"770.0";"0.3249542"
"780.0";"0.3134104"
"790.0";"0.2764868"
"800.0";"0.3842717"
"810.0";"0.3151773"
"820.0";"0.2776585"
"830.0";"0.2898156"
"840.0";"0.2524378"
"850.0";"0.2207019"
"860.0";"0.2787265"
"870.0";"0.2001456"
"880.0";"0.2350719"
"890.0";"0.2123322"
"900.0";"0.221118"
"910.0";"0.2853369"
"920.0";"0.2942545"
"930.0";"0.2653492"
"940.0";"0.2473598"
"950.0";"0.2610305"
"960.0";"0.2418101"
"970.0";"0.241781"
"980.0";"0.2425628"
"990.0";"0.2244678"
"1000.0";"0.2035508"
"1010.0";"0.2628211"
"1020.0";"0.2459873"
"1030.0";"0.2204173"
"1040.0";"0.258577"
"1050.0";"0.2229143"
"1060.0";"0.2516547"
"1070.0";"0.2378525"
"1080.0";"0.2350534"
"1090.0";"0.2924938"
"1100.0";"0.2303656"
"1110.0";"0.244199"
"1120.0";"0.2305426"
"1130.0";"0.3141543"
"1140.0";"0.3103003"
"1150.0";"0.3068437"
"1160.0";"0.7036057"
"1170.0";"0.8387584"
"1180.0";"0.6857418"
"1190.0";"0.7512107"
"1200.0";"0.8289831"
"1210.0";"0.7877429"
"1220.0";"0.7139341"
"1230.0";"0.7046401"
"1240.0";"0.8205256"
"1250.0";"0.80836"
"1260.0";"0.9165269"
"1270.0";"1.048989"
"1280.0";"1.073443"
"1290.0";"0.8906164"
"1300.0";"1.019299"
"1310.0";"0.9860373"
"1320.0";"0.8780906"
"1330.0";"0.7679876"
"1340.0";"0.6277221"
"1350.0";"0.7045398"
"1360.0";"0.8245917"
"1370.0";"0.8675281"
"1380.0";"0.7932445"
"1390.0";"0.8277468"
"1400.0";"0.7709719"
"1410.0";"0.8910136"
"1420.0";"0.8271453"
"1430.0";"0.835661"
"1440.0";"1.0058"
"1450.0";"1.064716"
"1460.0";"0.9579833"
"1470.0";"0.9385749"
"1480.0";"0.833166"
"1490.0";"0.9543613"
"1500.0";"0.8139959"
"1510.0";"0.767584"
"1520.0";"0.8639503"
"1530.0";"0.9044691"
"1540.0";"0.6586278"
"1550.0";"0.7185581"
"1560.0";"0.6941156"
"1570.0";"0.7235325"
"1580.0";"0.7628055"
"1590.0";"0.6666051"
"1600.0";"0.7649664"
"1610.0";"0.7571868"
"1620.0";"0.7616941"
"1630.0";"1.056578"
"1640.0";"0.9595305"
"1650.0";"1.143647"
"1660.0";"0.9389625"
"1670.0";"1.098087"
"1680.0";"1.194351"
"1690.0";"1.173142"
"1700.0";"1.084515"
"1710.0";"1.047207"
"1720.0";"0.9271948"
"1730.0";"0.848241"
"1740.0";"0.9437339"
"1750.0";"0.9777929"
"1760.0";"0.9685792"
"1770.0";"1.042804"
"1780.0";"0.834805"
"1790.0";"0.7589714"
"1800.0";"0.7866171"
"1810.0";"0.538074"
"1820.0";"0.5322746"
"1830.0";"0.5784753"
"1840.0";"0.6621009"
"1850.0";"0.6780191"
"1860.0";"0.795446"
"1870.0";"0.7233976"
"1880.0";"0.8607767"
"1890.0";"0.8467147"
"1900.0";"1.009991"
"1910.0";"1.123928"
"1920.0";"1.002034"
"1930.0";"0.9939331"
"1940.0";"0.8460153"
"1950.0";"0.9364968"
"1960.0";"0.824481"
"1970.0";"0.879168"
"1980.0";"0.9979491"
"1990.0";"1.034846"
"2000.0";"0.9639089"
"2010.0";"1.10277"
"2020.0";"1.115029"
"2030.0";"1.102394"
"2040.0";"1.164378"
"2050.0";"1.152231"
"2060.0";"1.11349"
"2070.0";"1.15268"
"2080.0";"1.177804"
"2090.0";"1.159467"
"2100.0";"1.117859"
"2110.0";"1.135032"
"2120.0";"1.098441"
"2130.0";"1.153297"
"2140.0";"1.084718"
"2150.0";"1.054716"
"2160.0";"1.126081"
"2170.0";"1.175778"
"2180.0";"1.139365"
"2190.0";"1.112581"
"2200.0";"1.121477"
"2210.0";"1.071714"
"2220.0";"1.117696"
"2230.0";"1.168949"
"2240.0";"1.045362"
"2250.0";"0.9923135"
"2260.0";"1.077959"
"2270.0";"1.004197"
"2280.0";"1.235598"
"2290.0";"1.28118"
"2300.0";"1.297766"
"2310.0";"1.249413"
"2320.0";"1.276916"
"2330.0";"1.299041"
"2340.0";"1.285566"
"2350.0";"1.306913"
"2360.0";"1.269535"
"2370.0";"1.230248"
"2380.0";"1.219561"
"2390.0";"1.277774"
"2400.0";"1.183659"
"2410.0";"1.274985"
"2420.0";"1.267342"
"2430.0";"1.252583"
"2440.0";"1.198484"
"2450.0";"1.316026"
"2460.0";"1.295714"
"2470.0";"1.212914"
"2480.0";"1.254389"
"2490.0";"1.25129"
"2500.0";"1.243251"
"2510.0";"1.295004"
"2520.0";"1.152172"
"2530.0";"1.151988"
"2540.0";"1.096107"
"2550.0";"1.122254"
"2560.0";"1.087717"
"2570.0";"1.064264"
"2580.0";"0.9051992"
"2590.0";"1.039029"
"2600.0";"1.067425"
"2610.0";"1.098458"
"2620.0";"1.092764"
"2630.0";"0.9792446"
"2640.0";"1.024112"
"2650.0";"1.088695"
"2660.0";"1.047974"
"2670.0";"1.01578"
"2680.0";"1.004347"
"2690.0";"0.9650018"
"2700.0";"1.071323"
"2710.0";"1.026278"
"2720.0";"1.002639"
"2730.0";"0.9419263"
"2740.0";"0.9179989"
"2750.0";"0.9820524"
"2760.0";"1.007419"
"2770.0";"1.004919"
"2780.0";"1.06131"
"2790.0";"1.139918"
"2800.0";"1.137486"
"2810.0";"1.105186"
"2820.0";"0.9969649"
"2830.0";"1.025038"
"2840.0";"0.8876517"
"2850.0";"0.8626502"
"2860.0";"1.018252"
"2870.0";"1.047571"
"2880.0";"0.9495671"
"2890.0";"0.9648882"
"2900.0";"0.9280694"
"2910.0";"1.024858"
"2920.0";"1.05438"
"2930.0";"0.9375687"
"2940.0";"1.141379"
"2950.0";"1.057204"
"2960.0";"0.9971387"
"2970.0";"1.086522"
"2980.0";"0.9276065"
"2990.0";"0.9522154"
"3000.0";"1.066743"
"3010.0";"0.8856329"
"3020.0";"1.218698"
"3030.0";"1.113841"
"3040.0";"1.155219"
"3050.0";"1.285191"
"3060.0";"1.187541"
"3070.0";"1.318715"
"3080.0";"1.319206"
"3090.0";"0.9346545"
"3100.0";"0.680918"
"3110.0";"0.7837587"
"3120.0";"0.9423664"
"3130.0";"0.8750787"
"3140.0";"0.7875391"
"3150.0";"1.031419"
"3160.0";"0.9228842"
"3170.0";"0.986744"
"3180.0";"0.7872157"
"3190.0";"0.8052856"
"3200.0";"0.640013"
"3210.0";"0.5938697"
"3220.0";"0.5309386"
"3230.0";"0.6319885"
"3240.0";"0.6680038"
"3250.0";"0.7530718"
"3260.0";"0.7014741"
"3270.0";"0.7102641"
"3280.0";"0.8387428"
"3290.0";"0.7537382"
"3300.0";"0.6392943"
"3310.0";"0.5844612"
"3320.0";"0.7068331"
"3330.0";"0.9661909"
"3340.0";"0.8930264"
"3350.0";"1.030629"
"3360.0";"1.1782"
"3370.0";"1.250973"
"3380.0";"1.178257"
"3390.0";"1.290489"
"3400.0";"1.227277"
"3410.0";"1.18327"
"3420.0";"1.061824"
"3430.0";"1.208749"
"3440.0";"1.323037"
"3450.0";"1.303751"
"3460.0";"1.345224"
"3470.0";"1.27983"
"3480.0";"1.270749"
"3490.0";"1.382487"
"3500.0";"1.320268"
"3510.0";"1.273492"
"3520.0";"1.276758"
"3530.0";"1.396883"
"3540.0";"1.317917"
"3550.0";"1.343574"
"3560.0";"1.402456"
"3570.0";"1.331375"
"3580.0";"1.283963"
"3590.0";"1.321784"
"3600.0";"1.35876"
"3610.0";"1.277778"
"3620.0";"1.31898"
"3630.0";"1.342662"
"3640.0";"1.350906"
"3650.0";"1.352661"
"3660.0";"1.305164"
"3670.0";"1.26339"
"3680.0";"1.272312"
"3690.0";"1.236264"
"3700.0";"1.364524"
"3710.0";"1.382707"
"3720.0";"1.288805"
"3730.0";"1.275174"
"3740.0";"1.229466"
"3750.0";"1.331912"
"3760.0";"1.370815"
"3770.0";"1.308276"
"3780.0";"1.370419"
"3790.0";"1.350904"
"3800.0";"1.329298"
"3810.0";"1.272454"
"3820.0";"1.326835"
"3830.0";"1.306064"
"3840.0";"1.278793"
"3850.0";"1.344852"
"3860.0";"1.328067"
"3870.0";"1.262351"
"3880.0";"1.277903"
"3890.0";"1.160949"
"3900.0";"1.327432"
"3910.0";"1.333819"
"3920.0";"1.336055"
"3930.0";"1.388366"
"3940.0";"1.337282"
"3950.0";"1.262118"
"3960.0";"1.227957"
"3970.0";"1.266466"
"3980.0";"1.324317"
"3990.0";"1.319966"
"4000.0";"1.33947"
"4010.0";"1.313339"
"4020.0";"1.343444"
"4030.0";"1.298674"
"4040.0";"1.280195"
"4050.0";"1.296427"
"4060.0";"1.261424"
"4070.0";"1.246032"
"4080.0";"1.349403"
"4090.0";"1.304323"
"4100.0";"1.234353"
"4110.0";"1.296085"
"4120.0";"1.260922"
"4130.0";"1.28296"
"4140.0";"1.30297"
"4150.0";"1.373536"
"4160.0";"1.354843"
"4170.0";"1.378645"
"4180.0";"1.336071"
"4190.0";"1.413746"
"4200.0";"1.352693"
"4210.0";"1.335677"
"4220.0";"1.38216"
"4230.0";"1.426934"
"4240.0";"1.32826"
"4250.0";"1.391378"
"4260.0";"1.478469"
"4270.0";"1.34869"
"4280.0";"1.413035"
"4290.0";"1.45471"
"4300.0";"1.390837"
"4310.0";"1.287726"
"4320.0";"1.330768"
"4330.0";"1.31779"
"4340.0";"1.312614"
"4350.0";"1.248885"
"4360.0";"1.421048"
"4370.0";"1.265541"
"4380.0";"1.30824"
"4390.0";"1.294454"
"4400.0";"1.267141"
"4410.0";"1.272289"
"4420.0";"1.388645"
"4430.0";"1.323274"
"4440.0";"1.295451"
"4450.0";"1.309828"
"4460.0";"1.407318"
"4470.0";"1.33292"
"4480.0";"1.266531"
"4490.0";"1.362449"
"4500.0";"1.226316"
"4510.0";"1.284927"
"4520.0";"1.316589"
"4530.0";"1.307519"
"4540.0";"1.295667"
"4550.0";"1.340211"
"4560.0";"1.245942"
"4570.0";"1.382465"
"4580.0";"1.355249"
"4590.0";"1.321327"
"4600.0";"1.28801"
"4610.0";"1.310699"
"4620.0";"1.423156"
"4630.0";"1.298989"
"4640.0";"1.264729"
"4650.0";"1.32425"
"4660.0";"1.401561"
"4670.0";"1.369528"
"4680.0";"1.313854"
"4690.0";"1.235627"
"4700.0";"1.328489"
"4710.0";"1.367151"
"4720.0";"1.261425"
"4730.0";"1.285677"
"4740.0";"1.238891"
"4750.0";"1.390966"
"4760.0";"1.301853"
"4770.0";"1.269766"
"4780.0";"1.306892"
"4790.0";"1.214294"
"4800.0";"1.36005"
"4810.0";"1.332298"
"4820.0";"1.239912"
"4830.0";"1.322214"
"4840.0";"1.284802"
"4850.0";"1.367516"
