# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9e-07"
"10.0";"0.0601183"
"20.0";"0.0721031"
"30.0";"0.0655984"
"40.0";"0.0773746"
"50.0";"0.0680201"
"60.0";"0.0683076"
"70.0";"0.0687883"
"80.0";"0.070902"
"90.0";"0.0711224"
"100.0";"0.0739433"
"110.0";"0.077989"
"120.0";"0.0865971"
"130.0";"0.0851226"
"140.0";"0.0945811"
"150.0";"0.0873481"
"160.0";"0.0894389"
"170.0";"0.0993533"
"180.0";"0.106882"
"190.0";"0.0933897"
"200.0";"0.0956994"
"210.0";"0.0768714"
"220.0";"0.0832248"
"230.0";"0.0769521"
"240.0";"0.0885463"
"250.0";"0.0902267"
"260.0";"0.0904408"
"270.0";"0.0919032"
"280.0";"0.0951375"
"290.0";"0.086495"
"300.0";"0.0951667"
"310.0";"0.0918147"
"320.0";"0.1072532"
"330.0";"0.0945506"
"340.0";"0.0928599"
"350.0";"0.1037209"
"360.0";"0.1113693"
"370.0";"0.0993961"
"380.0";"0.1114825"
"390.0";"0.1217763"
"400.0";"0.1278275"
"410.0";"0.1153327"
"420.0";"0.133429"
"430.0";"0.141294"
"440.0";"0.1319048"
"450.0";"0.1182052"
"460.0";"0.1036622"
"470.0";"0.1175983"
"480.0";"0.1294789"
"490.0";"0.1205281"
"500.0";"0.1046962"
"510.0";"0.1090573"
"520.0";"0.1028058"
"530.0";"0.1087799"
"540.0";"0.1045114"
"550.0";"0.1013845"
"560.0";"0.0912145"
"570.0";"0.1088854"
"580.0";"0.1022799"
"590.0";"0.1111632"
"600.0";"0.1165333"
"610.0";"0.1259856"
"620.0";"0.1140421"
"630.0";"0.1104329"
"640.0";"0.1188153"
"650.0";"0.1135091"
"660.0";"0.1277229"
"670.0";"0.1159967"
"680.0";"0.1186704"
"690.0";"0.1180719"
"700.0";"0.1287043"
"710.0";"0.1278715"
"720.0";"0.1045128"
"730.0";"0.1251387"
"740.0";"0.1368569"
"750.0";"0.1224609"
"760.0";"0.1233233"
"770.0";"0.1402011"
"780.0";"0.1202292"
"790.0";"0.1188644"
"800.0";"0.1431079"
"810.0";"0.1376684"
"820.0";"0.1427933"
"830.0";"0.1411358"
"840.0";"0.129689"
"850.0";"0.1282592"
"860.0";"0.1445172"
"870.0";"0.1323289"
"880.0";"0.1260779"
"890.0";"0.1319962"
"900.0";"0.1146938"
"910.0";"0.1155053"
"920.0";"0.1111174"
"930.0";"0.1377505"
"940.0";"0.136309"
"950.0";"0.1477256"
"960.0";"0.1293684"
"970.0";"0.1362235"
"980.0";"0.1387654"
"990.0";"0.1520645"
"1000.0";"0.1590408"
"1010.0";"0.127716"
"1020.0";"0.1267774"
"1030.0";"0.156945"
"1040.0";"0.1582398"
"1050.0";"0.1608157"
"1060.0";"0.1490881"
"1070.0";"0.136168"
"1080.0";"0.1563722"
"1090.0";"0.1623248"
"1100.0";"0.1575213"
"1110.0";"0.1594744"
"1120.0";"0.1629246"
"1130.0";"0.1394247"
"1140.0";"0.1562884"
"1150.0";"0.161101"
"1160.0";"0.1568504"
"1170.0";"0.1311467"
"1180.0";"0.1154937"
"1190.0";"0.1246061"
"1200.0";"0.1501674"
"1210.0";"0.1532228"
"1220.0";"0.1449094"
"1230.0";"0.1518765"
"1240.0";"0.1483388"
"1250.0";"0.1388871"
"1260.0";"0.11244"
"1270.0";"0.115198"
"1280.0";"0.1350363"
"1290.0";"0.1514593"
"1300.0";"0.1168866"
"1310.0";"0.124403"
"1320.0";"0.1319776"
"1330.0";"0.1167936"
"1340.0";"0.1436627"
"1350.0";"0.1227281"
"1360.0";"0.1377661"
"1370.0";"0.1471091"
"1380.0";"0.1461986"
"1390.0";"0.1490203"
"1400.0";"0.1384175"
"1410.0";"0.1312917"
"1420.0";"0.1458142"
"1430.0";"0.1509179"
"1440.0";"0.169272"
"1450.0";"0.1464524"
"1460.0";"0.1585793"
"1470.0";"0.1708951"
"1480.0";"0.1522619"
"1490.0";"0.1296547"
"1500.0";"0.1310738"
"1510.0";"0.1272551"
"1520.0";"0.1339191"
"1530.0";"0.1382595"
"1540.0";"0.1480022"
"1550.0";"0.149496"
"1560.0";"0.1606458"
"1570.0";"0.1517408"
"1580.0";"0.1495417"
"1590.0";"0.1385996"
"1600.0";"0.1427654"
"1610.0";"0.1472843"
"1620.0";"0.1602123"
