# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol18_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL18-outer_dimer_area"
"0.0";"5.125945"
"10.0";"5.468397"
"20.0";"5.395776"
"30.0";"5.485272"
"40.0";"5.414509"
"50.0";"5.472985"
"60.0";"5.479823"
"70.0";"5.615946"
"80.0";"5.712276"
"90.0";"5.542904"
"100.0";"5.658868"
"110.0";"5.731878"
"120.0";"5.581707"
"130.0";"5.591966"
"140.0";"5.69099"
"150.0";"5.82053"
"160.0";"5.723762"
"170.0";"5.895288"
"180.0";"5.864376"
"190.0";"5.667718"
"200.0";"5.782513"
"210.0";"5.814168"
"220.0";"5.711127"
"230.0";"5.804276"
"240.0";"5.686796"
"250.0";"5.518167"
"260.0";"5.488791"
"270.0";"5.533484"
"280.0";"5.578181"
"290.0";"5.542548"
"300.0";"5.581514"
"310.0";"5.581709"
"320.0";"5.508182"
"330.0";"5.29512"
"340.0";"5.303482"
"350.0";"5.161914"
"360.0";"5.244174"
"370.0";"5.161185"
"380.0";"5.463547"
"390.0";"5.563299"
"400.0";"5.496616"
"410.0";"5.344234"
"420.0";"5.267402"
"430.0";"5.07589"
"440.0";"5.142348"
"450.0";"5.354774"
"460.0";"5.220692"
"470.0";"5.175154"
"480.0";"5.186296"
"490.0";"5.436429"
"500.0";"5.62136"
"510.0";"5.589486"
"520.0";"5.627175"
"530.0";"5.541664"
"540.0";"5.76773"
"550.0";"5.842314"
"560.0";"5.921512"
"570.0";"5.794981"
"580.0";"5.856849"
"590.0";"5.876499"
"600.0";"5.942515"
"610.0";"5.673009"
"620.0";"5.72927"
"630.0";"5.815703"
"640.0";"5.781514"
"650.0";"5.985482"
"660.0";"5.861404"
"670.0";"5.808215"
"680.0";"5.63818"
"690.0";"5.921255"
"700.0";"5.580659"
"710.0";"5.684897"
"720.0";"5.716932"
"730.0";"5.762452"
"740.0";"5.671154"
"750.0";"5.570617"
"760.0";"5.618051"
"770.0";"5.684731"
"780.0";"5.62329"
"790.0";"5.441733"
"800.0";"5.372495"
"810.0";"5.514764"
"820.0";"5.425736"
"830.0";"5.507707"
"840.0";"5.475602"
"850.0";"5.354654"
"860.0";"5.305795"
"870.0";"5.172479"
"880.0";"5.295997"
"890.0";"5.247725"
"900.0";"5.295354"
"910.0";"5.341551"
"920.0";"5.307176"
"930.0";"5.260986"
"940.0";"5.427859"
"950.0";"5.510583"
"960.0";"5.639268"
"970.0";"5.774256"
"980.0";"5.682856"
"990.0";"5.877773"
"1000.0";"5.836695"
"1010.0";"5.913325"
"1020.0";"5.940759"
"1030.0";"5.792591"
"1040.0";"5.856433"
"1050.0";"5.754567"
"1060.0";"5.632598"
"1070.0";"5.532354"
"1080.0";"5.654561"
"1090.0";"5.7675"
"1100.0";"5.800956"
"1110.0";"5.677599"
"1120.0";"5.892972"
"1130.0";"5.959065"
"1140.0";"5.983596"
"1150.0";"6.126951"
"1160.0";"6.26966"
"1170.0";"6.195918"
"1180.0";"6.331084"
"1190.0";"6.168877"
"1200.0";"6.214617"
"1210.0";"6.170444"
"1220.0";"6.273906"
"1230.0";"6.378871"
"1240.0";"6.315232"
"1250.0";"6.057947"
"1260.0";"5.948204"
"1270.0";"6.040709"
"1280.0";"6.005396"
"1290.0";"5.846285"
"1300.0";"5.961925"
"1310.0";"5.950118"
"1320.0";"5.903407"
"1330.0";"5.764403"
"1340.0";"5.672358"
"1350.0";"5.434749"
"1360.0";"5.480675"
"1370.0";"5.676405"
"1380.0";"5.712496"
"1390.0";"5.873238"
"1400.0";"5.86767"
"1410.0";"5.902489"
"1420.0";"6.030696"
"1430.0";"5.998909"
"1440.0";"6.104191"
"1450.0";"6.057908"
"1460.0";"6.025578"
"1470.0";"5.998271"
"1480.0";"6.087084"
"1490.0";"6.232668"
"1500.0";"6.046444"
"1510.0";"6.071639"
"1520.0";"6.064687"
"1530.0";"5.959067"
"1540.0";"5.929517"
"1550.0";"5.898909"
"1560.0";"5.879976"
"1570.0";"5.929503"
"1580.0";"5.996754"
"1590.0";"5.970259"
"1600.0";"6.080925"
"1610.0";"6.274673"
"1620.0";"6.228601"
"1630.0";"6.462499"
"1640.0";"6.353462"
"1650.0";"6.110274"
"1660.0";"6.126597"
"1670.0";"6.128403"
"1680.0";"6.002666"
"1690.0";"6.026594"
"1700.0";"5.804996"
"1710.0";"5.591518"
"1720.0";"5.461061"
"1730.0";"5.407083"
