# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_neg1_mol4_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL4"
"0.0";"3.769785"
"10.0";"3.831643"
"20.0";"3.842165"
"30.0";"3.790071"
"40.0";"3.575844"
"50.0";"3.443568"
"60.0";"3.501129"
"70.0";"3.480135"
"80.0";"3.689727"
"90.0";"3.670905"
"100.0";"3.763429"
"110.0";"3.438199"
"120.0";"3.779069"
"130.0";"3.741477"
"140.0";"4.012554"
"150.0";"3.960341"
"160.0";"3.906508"
"170.0";"3.917993"
"180.0";"4.183659"
"190.0";"4.04129"
"200.0";"4.317126"
"210.0";"4.196232"
"220.0";"3.826094"
"230.0";"3.812237"
"240.0";"3.620645"
"250.0";"3.523064"
"260.0";"3.789547"
"270.0";"3.652023"
"280.0";"3.67634"
"290.0";"3.731141"
"300.0";"3.59764"
"310.0";"3.852786"
"320.0";"3.867625"
"330.0";"4.086915"
"340.0";"4.135937"
"350.0";"4.103701"
"360.0";"4.189686"
"370.0";"4.399061"
"380.0";"4.398462"
"390.0";"4.457706"
"400.0";"4.609112"
"410.0";"4.871"
"420.0";"4.87533"
"430.0";"4.76408"
"440.0";"4.817705"
"450.0";"4.977766"
"460.0";"4.783749"
"470.0";"4.615763"
"480.0";"4.492967"
"490.0";"4.554391"
"500.0";"4.581195"
"510.0";"4.606549"
"520.0";"4.348043"
"530.0";"4.516213"
"540.0";"4.673684"
"550.0";"4.850337"
"560.0";"4.903851"
"570.0";"4.729693"
"580.0";"4.628417"
"590.0";"4.685534"
"600.0";"4.720256"
"610.0";"4.633669"
"620.0";"4.748334"
"630.0";"4.83377"
"640.0";"4.865447"
"650.0";"4.85464"
"660.0";"4.746706"
"670.0";"4.664838"
"680.0";"4.636597"
"690.0";"4.68857"
"700.0";"4.378763"
"710.0";"4.434101"
"720.0";"4.410851"
"730.0";"4.58288"
"740.0";"4.482594"
