# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_pos2_mol10_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL10"
"0.0";"7.06452"
"10.0";"6.90083"
"20.0";"6.911328"
"30.0";"7.079216"
"40.0";"7.296497"
"50.0";"7.292481"
"60.0";"7.195727"
"70.0";"7.135219"
"80.0";"7.082095"
"90.0";"7.08889"
"100.0";"7.225111"
"110.0";"7.239287"
"120.0";"7.304523"
"130.0";"7.283746"
"140.0";"7.179624"
"150.0";"6.996885"
"160.0";"6.957982"
"170.0";"6.884547"
"180.0";"6.922387"
"190.0";"6.897701"
"200.0";"7.15772"
"210.0";"7.219085"
"220.0";"7.375"
"230.0";"7.277925"
"240.0";"7.442457"
"250.0";"7.437269"
"260.0";"7.329391"
"270.0";"7.373911"
"280.0";"7.173162"
"290.0";"7.263231"
"300.0";"7.410965"
"310.0";"7.369087"
"320.0";"7.06484"
"330.0";"6.973893"
"340.0";"7.020718"
"350.0";"7.073082"
"360.0";"6.978074"
"370.0";"7.085646"
"380.0";"6.915584"
"390.0";"7.023286"
"400.0";"7.108487"
"410.0";"7.139781"
"420.0";"7.005285"
"430.0";"7.022628"
"440.0";"7.113593"
"450.0";"7.092237"
"460.0";"7.097847"
"470.0";"7.058455"
"480.0";"7.183105"
"490.0";"7.275296"
"500.0";"7.268552"
"510.0";"7.301376"
"520.0";"7.317197"
"530.0";"7.232692"
"540.0";"7.122509"
"550.0";"7.06042"
"560.0";"7.090996"
"570.0";"7.05511"
"580.0";"7.009594"
"590.0";"7.103914"
"600.0";"7.135473"
"610.0";"7.135703"
"620.0";"7.135327"
"630.0";"7.208485"
"640.0";"7.059999"
"650.0";"7.029134"
"660.0";"7.129356"
"670.0";"6.87607"
"680.0";"6.874413"
"690.0";"6.979892"
"700.0";"6.882617"
"710.0";"6.991388"
"720.0";"7.091546"
"730.0";"7.117544"
"740.0";"7.178884"
"750.0";"7.241719"
"760.0";"7.342011"
"770.0";"7.133899"
"780.0";"7.384501"
"790.0";"7.404021"
"800.0";"7.460599"
"810.0";"7.390343"
"820.0";"7.424872"
"830.0";"7.379684"
"840.0";"7.158471"
"850.0";"6.878859"
"860.0";"6.886067"
"870.0";"6.684591"
"880.0";"6.77473"
"890.0";"6.769881"
"900.0";"6.75203"
"910.0";"6.810977"
"920.0";"6.569543"
"930.0";"6.555171"
"940.0";"6.454402"
"950.0";"6.573144"
"960.0";"6.564227"
"970.0";"6.596511"
"980.0";"6.808171"
"990.0";"6.873904"
"1000.0";"6.843103"
"1010.0";"6.830047"
"1020.0";"6.801455"
"1030.0";"6.932395"
"1040.0";"7.060156"
"1050.0";"6.890083"
"1060.0";"6.814295"
"1070.0";"6.932308"
"1080.0";"6.833561"
"1090.0";"6.95299"
"1100.0";"6.891006"
"1110.0";"6.762677"
"1120.0";"6.754256"
"1130.0";"6.56758"
"1140.0";"6.568865"
"1150.0";"6.679274"
"1160.0";"6.680505"
"1170.0";"6.693228"
"1180.0";"6.687431"
"1190.0";"6.782954"
"1200.0";"6.660927"
"1210.0";"6.485703"
"1220.0";"6.309098"
"1230.0";"6.114407"
"1240.0";"6.302961"
"1250.0";"6.502065"
"1260.0";"6.652258"
"1270.0";"6.691024"
"1280.0";"6.51406"
"1290.0";"6.505372"
"1300.0";"6.661445"
"1310.0";"6.815632"
"1320.0";"6.835795"
"1330.0";"6.679566"
"1340.0";"6.564079"
"1350.0";"6.717435"
"1360.0";"6.462717"
"1370.0";"6.361175"
"1380.0";"6.408789"
"1390.0";"6.496461"
"1400.0";"6.324078"
"1410.0";"6.337094"
"1420.0";"6.15107"
"1430.0";"5.860061"
"1440.0";"6.059345"
"1450.0";"6.092061"
"1460.0";"6.129179"
"1470.0";"6.313457"
"1480.0";"6.287459"
"1490.0";"6.130335"
"1500.0";"6.22911"
"1510.0";"6.262023"
"1520.0";"6.057375"
"1530.0";"5.885013"
"1540.0";"5.946783"
"1550.0";"5.825671"
"1560.0";"5.809358"
"1570.0";"5.880085"
"1580.0";"5.74972"
"1590.0";"5.412555"
"1600.0";"5.205947"
"1610.0";"5.306914"
"1620.0";"5.354107"
"1630.0";"5.327933"
"1640.0";"5.370967"
"1650.0";"5.092846"
"1660.0";"5.032367"
"1670.0";"5.531707"
"1680.0";"5.261082"
"1690.0";"5.267864"
"1700.0";"5.391394"
"1710.0";"5.397008"
"1720.0";"5.471045"
"1730.0";"5.436712"
"1740.0";"5.520264"
"1750.0";"5.408723"
"1760.0";"5.356283"
"1770.0";"5.456933"
"1780.0";"5.259078"
"1790.0";"4.938361"
"1800.0";"5.052892"
"1810.0";"5.125083"
"1820.0";"5.215733"
"1830.0";"5.215025"
"1840.0";"5.068691"
"1850.0";"4.851981"
"1860.0";"5.015933"
"1870.0";"5.110993"
"1880.0";"5.241782"
"1890.0";"5.169088"
"1900.0";"5.305847"
"1910.0";"5.195081"
"1920.0";"5.174734"
"1930.0";"5.284406"
"1940.0";"5.247078"
"1950.0";"5.199348"
"1960.0";"5.111087"
"1970.0";"5.418834"
"1980.0";"5.544286"
"1990.0";"5.899932"
"2000.0";"5.689168"
"2010.0";"5.508313"
"2020.0";"5.463594"
"2030.0";"5.494411"
"2040.0";"5.785884"
"2050.0";"5.532238"
"2060.0";"5.700952"
"2070.0";"5.775012"
"2080.0";"5.688104"
"2090.0";"5.602298"
"2100.0";"5.516287"
"2110.0";"5.435428"
"2120.0";"5.295037"
"2130.0";"5.258423"
"2140.0";"4.930894"
"2150.0";"4.936688"
"2160.0";"5.01424"
"2170.0";"5.107993"
"2180.0";"5.138156"
"2190.0";"5.464602"
"2200.0";"5.421974"
"2210.0";"5.411816"
"2220.0";"5.390537"
"2230.0";"5.453729"
"2240.0";"5.460894"
"2250.0";"5.368828"
"2260.0";"5.457932"
"2270.0";"5.406882"
"2280.0";"5.409351"
"2290.0";"5.333739"
"2300.0";"5.134807"
"2310.0";"5.109678"
"2320.0";"5.010619"
"2330.0";"4.910276"
"2340.0";"5.292825"
"2350.0";"5.347894"
"2360.0";"5.556245"
"2370.0";"5.578635"
"2380.0";"5.799495"
"2390.0";"5.889751"
"2400.0";"5.871303"
"2410.0";"5.771232"
"2420.0";"5.848845"
"2430.0";"5.805844"
"2440.0";"5.55811"
"2450.0";"5.581654"
"2460.0";"5.418401"
"2470.0";"5.189727"
"2480.0";"5.199927"
"2490.0";"4.995645"
"2500.0";"5.116258"
"2510.0";"5.061887"
"2520.0";"5.098964"
"2530.0";"5.277075"
"2540.0";"5.18982"
"2550.0";"5.187633"
"2560.0";"5.293251"
"2570.0";"5.040303"
"2580.0";"5.065526"
"2590.0";"5.274389"
"2600.0";"5.259697"
"2610.0";"5.233284"
"2620.0";"5.168291"
"2630.0";"5.324364"
"2640.0";"5.404661"
"2650.0";"5.486706"
"2660.0";"5.751769"
"2670.0";"5.641015"
"2680.0";"5.54717"
"2690.0";"5.598895"
"2700.0";"5.691661"
"2710.0";"5.930832"
"2720.0";"5.951231"
"2730.0";"6.201846"
"2740.0";"6.102572"
"2750.0";"6.152851"
"2760.0";"6.098287"
"2770.0";"5.94985"
"2780.0";"5.967445"
"2790.0";"6.167395"
"2800.0";"6.107806"
"2810.0";"5.984581"
"2820.0";"6.035161"
"2830.0";"6.024852"
"2840.0";"6.112677"
"2850.0";"6.31419"
"2860.0";"6.353841"
"2870.0";"6.431102"
"2880.0";"6.433815"
"2890.0";"6.445188"
"2900.0";"6.308166"
"2910.0";"6.623655"
"2920.0";"6.62144"
"2930.0";"6.375619"
"2940.0";"6.537313"
"2950.0";"6.521585"
"2960.0";"6.649451"
"2970.0";"6.667639"
"2980.0";"6.656024"
"2990.0";"6.653399"
"3000.0";"6.652555"
"3010.0";"6.508011"
"3020.0";"6.802423"
"3030.0";"6.936245"
"3040.0";"6.853518"
"3050.0";"6.805092"
"3060.0";"6.6315"
"3070.0";"6.619343"
"3080.0";"6.430293"
"3090.0";"6.459284"
"3100.0";"6.311268"
"3110.0";"6.389699"
"3120.0";"6.649262"
"3130.0";"6.46544"
"3140.0";"6.416193"
"3150.0";"6.436631"
"3160.0";"6.473073"
"3170.0";"6.439015"
"3180.0";"6.414727"
"3190.0";"6.4908"
"3200.0";"6.265262"
"3210.0";"6.062175"
"3220.0";"5.885607"
"3230.0";"5.811914"
"3240.0";"5.630101"
"3250.0";"5.929607"
"3260.0";"5.648989"
"3270.0";"5.758349"
"3280.0";"5.852656"
"3290.0";"5.811778"
"3300.0";"5.732515"
"3310.0";"5.833551"
"3320.0";"5.608173"
"3330.0";"5.711026"
"3340.0";"5.633226"
"3350.0";"5.604557"
"3360.0";"5.382148"
"3370.0";"5.317041"
"3380.0";"5.282786"
"3390.0";"5.096531"
"3400.0";"5.156562"
"3410.0";"5.132454"
"3420.0";"4.97281"
"3430.0";"4.8475"
"3440.0";"4.690934"
"3450.0";"4.685382"
"3460.0";"4.868294"
"3470.0";"4.782398"
"3480.0";"4.83015"
"3490.0";"4.781355"
"3500.0";"4.787072"
"3510.0";"4.721418"
"3520.0";"4.748211"
"3530.0";"4.691421"
"3540.0";"4.57566"
"3550.0";"4.517024"
"3560.0";"4.359576"
"3570.0";"4.24249"
"3580.0";"4.265817"
"3590.0";"4.330109"
"3600.0";"4.138827"
"3610.0";"4.256526"
"3620.0";"4.148551"
"3630.0";"3.989444"
"3640.0";"4.304464"
"3650.0";"4.330844"
"3660.0";"4.366513"
"3670.0";"4.404741"
"3680.0";"4.303253"
"3690.0";"4.507518"
"3700.0";"4.54751"
"3710.0";"4.389257"
"3720.0";"4.295663"
"3730.0";"4.430678"
"3740.0";"4.509199"
"3750.0";"4.539421"
"3760.0";"4.528443"
"3770.0";"4.457869"
"3780.0";"4.519023"
"3790.0";"4.4433"
"3800.0";"4.415796"
"3810.0";"4.480883"
"3820.0";"4.906451"
"3830.0";"5.11728"
"3840.0";"4.965881"
"3850.0";"4.963805"
"3860.0";"4.782376"
"3870.0";"4.940486"
"3880.0";"4.92839"
"3890.0";"5.11255"
"3900.0";"4.887459"
"3910.0";"5.01842"
"3920.0";"4.882293"
"3930.0";"4.733756"
"3940.0";"4.972178"
"3950.0";"4.652763"
"3960.0";"4.803158"
"3970.0";"4.790348"
"3980.0";"4.882005"
"3990.0";"4.916234"
"4000.0";"4.895944"
"4010.0";"4.934453"
"4020.0";"5.013535"
"4030.0";"4.860951"
"4040.0";"4.806275"
"4050.0";"4.712053"
"4060.0";"4.78543"
"4070.0";"4.835464"
"4080.0";"4.604446"
"4090.0";"4.624928"
"4100.0";"4.399556"
"4110.0";"4.238764"
"4120.0";"4.059951"
"4130.0";"4.187383"
"4140.0";"4.243363"
"4150.0";"4.421061"
"4160.0";"4.211425"
"4170.0";"4.01642"
"4180.0";"3.956704"
"4190.0";"3.892049"
"4200.0";"3.918445"
"4210.0";"3.976713"
"4220.0";"4.013874"
"4230.0";"4.00132"
"4240.0";"3.675223"
"4250.0";"3.729064"
"4260.0";"3.493968"
"4270.0";"3.468885"
"4280.0";"3.678999"
"4290.0";"3.789785"
"4300.0";"3.472968"
"4310.0";"3.536282"
"4320.0";"3.633589"
"4330.0";"3.352323"
"4340.0";"3.598147"
"4350.0";"3.881578"
"4360.0";"3.681053"
"4370.0";"4.015836"
"4380.0";"3.932605"
"4390.0";"3.986092"
"4400.0";"4.157627"
"4410.0";"4.333158"
"4420.0";"4.285449"
"4430.0";"4.41318"
"4440.0";"3.981708"
"4450.0";"3.904726"
"4460.0";"3.934106"
"4470.0";"4.100481"
"4480.0";"4.07431"
"4490.0";"4.06007"
"4500.0";"4.008726"
"4510.0";"4.284538"
"4520.0";"4.448373"
"4530.0";"4.36143"
"4540.0";"4.093559"
"4550.0";"4.056028"
"4560.0";"4.220013"
"4570.0";"4.39569"
"4580.0";"4.722352"
"4590.0";"4.681981"
"4600.0";"4.985035"
"4610.0";"4.736042"
"4620.0";"4.887409"
"4630.0";"4.723785"
"4640.0";"4.514128"
"4650.0";"4.465702"
"4660.0";"4.384263"
"4670.0";"4.528956"
"4680.0";"4.666141"
"4690.0";"4.82282"
"4700.0";"4.91169"
"4710.0";"4.690604"
"4720.0";"4.758741"
"4730.0";"4.704506"
"4740.0";"4.59994"
"4750.0";"4.718139"
"4760.0";"4.777235"
"4770.0";"4.702371"
"4780.0";"4.557741"
"4790.0";"4.828297"
"4800.0";"4.815053"
"4810.0";"4.823984"
"4820.0";"4.90681"
"4830.0";"5.226846"
"4840.0";"5.162021"
"4850.0";"5.407575"
"4860.0";"5.458234"
"4870.0";"5.410904"
"4880.0";"5.114432"
"4890.0";"4.961126"
"4900.0";"5.331957"
"4910.0";"5.350348"
"4920.0";"5.374004"
"4930.0";"5.300383"
"4940.0";"5.436464"
"4950.0";"5.229249"
"4960.0";"5.306206"
"4970.0";"5.19479"
"4980.0";"5.376577"
"4990.0";"5.114202"
"5000.0";"5.345952"
"5010.0";"5.260511"
"5020.0";"5.217825"
"5030.0";"5.225394"
"5040.0";"5.24206"
"5050.0";"5.209074"
"5060.0";"5.306583"
"5070.0";"5.342249"
"5080.0";"5.086707"
"5090.0";"5.203745"
"5100.0";"5.244074"
"5110.0";"5.379496"
"5120.0";"5.300648"
"5130.0";"5.436171"
"5140.0";"5.53927"
"5150.0";"5.402833"
"5160.0";"5.430455"
"5170.0";"5.248658"
"5180.0";"5.172614"
"5190.0";"5.130124"
"5200.0";"5.304743"
"5210.0";"5.45368"
"5220.0";"5.706828"
"5230.0";"5.671985"
"5240.0";"5.6799"
"5250.0";"5.452036"
"5260.0";"5.675735"
"5270.0";"5.69253"
"5280.0";"5.730985"
"5290.0";"5.846583"
"5300.0";"5.565981"
"5310.0";"5.616245"
"5320.0";"5.473235"
"5330.0";"5.674245"
"5340.0";"5.496513"
"5350.0";"5.515222"
"5360.0";"5.574742"
"5370.0";"5.591439"
"5380.0";"5.6565"
"5390.0";"5.352618"
"5400.0";"5.279102"
"5410.0";"5.334086"
"5420.0";"5.44255"
"5430.0";"5.381834"
"5440.0";"5.237324"
"5450.0";"5.164722"
"5460.0";"5.111162"
"5470.0";"5.117276"
"5480.0";"5.042551"
"5490.0";"5.176844"
"5500.0";"5.070673"
"5510.0";"5.020784"
"5520.0";"5.178085"
"5530.0";"5.242008"
"5540.0";"5.352012"
"5550.0";"5.135443"
"5560.0";"5.106384"
"5570.0";"4.745689"
"5580.0";"5.003322"
"5590.0";"5.202499"
"5600.0";"5.262143"
"5610.0";"5.317303"
"5620.0";"5.263915"
"5630.0";"5.283967"
"5640.0";"5.386344"
"5650.0";"5.195223"
