Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.14978018977817237;-0.021049057405693343
10.0;-0.14006453671558655;-0.02688803334338683
20.0;-0.12454846041381942;-0.036197244382290314
30.0;-0.13125024292754614;-0.03336330020397045
40.0;-0.1547248296701549;-0.027055644899646937
50.0;-0.15110787139407805;-0.02311670193163045
60.0;-0.1406171402391853;-0.021245269559041737
70.0;-0.1588568416111104;-0.0189572184274534
80.0;-0.1256155742124561;-0.033695027657603946
90.0;-0.126415338968713;-0.028547272334212687
100.0;-0.14605114848107165;-0.029283808273847745
110.0;-0.13781162496081079;-0.028945381431030176
120.0;-0.1038838742586907;-0.03570502628350591
130.0;-0.14153975955455939;-0.029895103749895634
140.0;-0.11267827338310332;-0.035310760563557295
150.0;-0.13972117296983538;-0.03531860301199824
160.0;-0.1635847271182977;-0.03255297021483128
170.0;-0.1705979390109022;-0.024462963501343027
180.0;-0.1592038472005975;-0.02886436885277029
190.0;-0.13439320937421145;-0.026494552422407263
200.0;-0.12963578139859253;-0.03511268116401446
210.0;-0.13317337204198348;-0.02965264107463303
220.0;-0.13934937867640104;-0.02514213620573345
230.0;-0.1210747149369181;-0.021741786761192684
240.0;-0.1315375739551265;-0.03280288789226306
250.0;-0.11644479518467783;-0.030791073536559965
260.0;-0.12399985242499063;-0.03290576685052714
270.0;-0.10393737750150644;-0.03007853287241128
280.0;-0.11030185310319973;-0.03480158313383273
290.0;-0.16357752581591029;-0.03717439029831719
300.0;-0.16194816581491406;-0.0390815490017629
310.0;-0.1582430683912855;-0.030309037262587053
320.0;-0.11814404552910121;-0.04881292735590354
330.0;-0.1066385093978974;-0.04290741828607837
340.0;-0.10879284084190988;-0.03884195214514109
350.0;-0.12922074837659264;-0.03744628872355061
360.0;-0.11310474038358646;-0.03815583279305591
370.0;-0.10531370143994707;-0.03834791449360164
380.0;-0.09600686797128154;-0.041122771141749795
390.0;-0.08533955299758988;-0.04346645065525206
400.0;-0.1023262929751569;-0.04126195958482943
410.0;-0.1099735661021674;-0.03413273715621615
420.0;-0.11041433552519378;-0.042015235009127495
430.0;-0.08658671052134849;-0.031606840889929155
440.0;-0.0796472811033499;-0.03727629784334825
450.0;-0.09004696804151871;-0.022528060067461553
460.0;-0.08536836765116337;-0.03085322625662886
470.0;-0.09088861881971516;-0.027286918316672452
480.0;-0.0953577664671811;-0.027288887178401673
490.0;-0.09017030116572067;-0.028908147954898315
500.0;-0.0938937328006261;-0.029381104673180336
510.0;-0.08904877486007845;-0.034558553000207756
520.0;-0.08356674500917638;-0.029887498595453015
530.0;-0.07760145543131988;-0.029239975014054592
540.0;-0.09213542258400803;-0.0263389352218886
550.0;-0.11146793145925457;-0.023037178458622864
560.0;-0.110166525076055;-0.02376275325363865
570.0;-0.1015908362084563;-0.025542690116855817
580.0;-0.08989378037205771;-0.029244501392052646
590.0;-0.08370910781960586;-0.0322957784866094
600.0;-0.10023888969106468;-0.016375747540633694
610.0;-0.07264317782842114;-0.028491540111457953
620.0;-0.1168851697851698;-0.02788431707931708
630.0;-0.11510518686592244;-0.025279190481039732
640.0;-0.0574354192066779;-0.0313849931298744
650.0;-0.07744144705468965;-0.030301248650954994
660.0;-0.06128322563274098;-0.03148284680216904
670.0;-0.05604298142562312;-0.03336070804889665
680.0;-0.06694894047371505;-0.03274574708732664
690.0;-0.05290125543501993;-0.03025208667336232
700.0;-0.05270216996538396;-0.03090514038727088
710.0;-0.053766097918681935;-0.033470601616375946
720.0;-0.024284463828768074;-0.036663519935460284
730.0;-0.0534093363831713;-0.03066320614729116
740.0;-0.06438803602274588;-0.03233665254504419
750.0;-0.029998324313464515;-0.03647456083074875
760.0;-0.025540861621255455;-0.039613386271262985
770.0;-0.026092605735988088;-0.04042728127286951
780.0;-0.028104890617831706;-0.03521688055002168
790.0;-0.027475037228076628;-0.03507762196551571
800.0;-0.025064918850655198;-0.03327215820996299
810.0;-0.03976715726552552;-0.03168488531088684
820.0;-0.03867815069621296;-0.033612503642606456
830.0;-0.029854693653438347;-0.03946423590073715
840.0;-0.020407374043871294;-0.03798715753208167
850.0;-0.03228549589054985;-0.035621167628812414
860.0;-0.02544040972449777;-0.04254751877851436
870.0;-0.039665863638929134;-0.036868672511429265
880.0;-0.03407457009711729;-0.03761482338517629
890.0;-0.04295117358148327;-0.04365188315918555
900.0;-0.03910649116571892;-0.03804171564023152
910.0;-0.03381963808513087;-0.04258755450140009
920.0;-0.037856779519142854;-0.03891523733790066
930.0;-0.04870281928864392;-0.04823946745332454
940.0;-0.0425146134564728;-0.04575343810392443
950.0;-0.04174578108856206;-0.04119127581412553
960.0;-0.031446392475597565;-0.040996829925960085
970.0;-0.04907954925088479;-0.03572737390480701
980.0;-0.058035347409645145;-0.03430316555984257
990.0;-0.05591144867091787;-0.03205942500747033
1000.0;-0.035454824469603276;-0.03224192338185393
1010.0;-0.02909544640209938;-0.03638286021586773
1020.0;-0.06451052401334424;-0.02573114999685277
1030.0;-0.03333048348501121;-0.032925301628574474
1040.0;-0.024845434946953005;-0.032983239903131574
1050.0;-0.034243617396999895;-0.03204612946933114
1060.0;-0.02971469622539854;-0.032377029442525275
1070.0;-0.035483320480404555;-0.0335615281289507
1080.0;-0.026927247016449156;-0.03182268322997121
1090.0;-0.024984820416236238;-0.03298382675300461
1100.0;-0.025122501957021287;-0.036531036463725665
1110.0;-0.024145136715921757;-0.0348377185471533
1120.0;-0.026185674447298184;-0.03299973686861056
1130.0;-0.03293633940622881;-0.03142904882160118
1140.0;-0.031033873511895523;-0.03186159991802617
1150.0;-0.033832140757086224;-0.03818334935096959
1160.0;-0.041583217805426904;-0.04158074964313097
1170.0;-0.039938980866897976;-0.0335588603736109
1180.0;-0.03930243359768378;-0.03931232817220544
1190.0;-0.0319812767775251;-0.03589818917968112
1200.0;-0.0753817137571792;-0.034420036122516574
1210.0;-0.06519629049696157;-0.03171357665684922
1220.0;-0.06530116303037496;-0.02724368952960356
1230.0;-0.05428675633503932;-0.03694129322182
1240.0;-0.07874858501160441;-0.03203694317586284
1250.0;-0.07991677936752699;-0.032499949758588435
1260.0;-0.07963212180685163;-0.030921062122244374
1270.0;-0.07100908720864697;-0.03140896728579838
1280.0;-0.05944244802728765;-0.034350339510673504
1290.0;-0.061642508430313624;-0.029599370578839275
1300.0;-0.058451463279604446;-0.027741933030856463
1310.0;-0.06935137874971083;-0.025038916021900625
1320.0;-0.06680766463100113;-0.029425404851209626
1330.0;-0.06821947744514748;-0.028925386722070075
1340.0;-0.054506875685512025;-0.033135874713331334
1350.0;-0.06543564177124783;-0.03146083594786246
1360.0;-0.06461042568429252;-0.03544038252533312
1370.0;-0.06003992958868322;-0.028029012967152007
1380.0;-0.06667908168394596;-0.032418227458372605
1390.0;-0.0710439684706731;-0.03169676270575204
1400.0;-0.07157876776235325;-0.028921668494912428
1410.0;-0.050433348724056026;-0.03578396233624802
1420.0;-0.0690674890646631;-0.025159822629810407
1430.0;-0.06631399767683949;-0.029532605494338088
1440.0;-0.0555906115169447;-0.027102868465568912
1450.0;-0.06744068829259911;-0.03012270468385118
1460.0;-0.06281286215783861;-0.024594544461936926
1470.0;-0.05590908405697962;-0.023534542155167502
1480.0;-0.06172682479627474;-0.020060293299702495
1490.0;-0.07069510458132217;-0.025611115811875418
1500.0;-0.08599349031887021;-0.03374781679340533
1510.0;-0.11629596471835446;-0.03208744133731528
1520.0;-0.09663008892077851;-0.0319917062795495
1530.0;-0.08034789982910814;-0.02979150776722731
