# This .csv file was created 12.10.2024 14:29
# extracted out of file mindist_major_allergenic_epitope_r_264-288_MOL7_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_264-288-MOL7"
"0.0";"2.211569"
"10.0";"2.178463"
"20.0";"2.098896"
"30.0";"2.281375"
"40.0";"2.319643"
"50.0";"2.262044"
"60.0";"2.247915"
"70.0";"2.253171"
"80.0";"2.178915"
"90.0";"2.368815"
"100.0";"2.42479"
"110.0";"2.253557"
"120.0";"2.138935"
"130.0";"2.20417"
"140.0";"2.227022"
"150.0";"2.223933"
"160.0";"2.238928"
"170.0";"2.236415"
"180.0";"2.244689"
"190.0";"2.146287"
"200.0";"1.936115"
"210.0";"2.03284"
"220.0";"1.821504"
"230.0";"1.966905"
"240.0";"1.983306"
"250.0";"2.067863"
"260.0";"2.213215"
"270.0";"2.00605"
"280.0";"2.219698"
"290.0";"2.226171"
"300.0";"2.109812"
"310.0";"1.86992"
"320.0";"2.056416"
"330.0";"1.970525"
"340.0";"2.091738"
"350.0";"2.154596"
"360.0";"1.790757"
"370.0";"1.92299"
"380.0";"2.020127"
"390.0";"1.649099"
"400.0";"1.542642"
"410.0";"1.636106"
"420.0";"1.850641"
"430.0";"1.924616"
"440.0";"1.896089"
"450.0";"1.833165"
"460.0";"1.727196"
"470.0";"2.067366"
"480.0";"2.014594"
"490.0";"2.051908"
"500.0";"2.116126"
"510.0";"2.243533"
"520.0";"1.958618"
"530.0";"1.688964"
"540.0";"1.49046"
"550.0";"1.419434"
"560.0";"1.614389"
"570.0";"1.574208"
"580.0";"1.621009"
"590.0";"1.460671"
"600.0";"1.560575"
"610.0";"1.468543"
"620.0";"1.614429"
"630.0";"1.570392"
"640.0";"1.697712"
"650.0";"1.792982"
"660.0";"1.75931"
"670.0";"1.693242"
"680.0";"1.480152"
"690.0";"1.37079"
"700.0";"1.499141"
"710.0";"1.578325"
"720.0";"1.571194"
"730.0";"1.703974"
"740.0";"1.636804"
"750.0";"1.8111"
"760.0";"1.757053"
"770.0";"1.893275"
"780.0";"1.855588"
"790.0";"1.873149"
"800.0";"1.788365"
"810.0";"1.775009"
"820.0";"2.062117"
"830.0";"1.78283"
"840.0";"2.212588"
"850.0";"2.110002"
"860.0";"2.188935"
"870.0";"2.326451"
"880.0";"2.483194"
"890.0";"2.561266"
"900.0";"2.812326"
"910.0";"2.829651"
"920.0";"2.512618"
"930.0";"2.563527"
"940.0";"2.509678"
"950.0";"2.206667"
"960.0";"2.155772"
"970.0";"2.276098"
"980.0";"2.449907"
"990.0";"2.293607"
"1000.0";"2.254049"
"1010.0";"2.554962"
"1020.0";"2.282214"
