# This .csv file was created 12.10.2024 14:28
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL11.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL11"
"0.0";"3.056665"
"10.0";"2.955723"
"20.0";"3.080783"
"30.0";"3.047722"
"40.0";"2.984485"
"50.0";"2.922328"
"60.0";"2.815573"
"70.0";"2.744207"
"80.0";"2.66793"
"90.0";"2.660531"
"100.0";"2.700574"
"110.0";"2.632907"
"120.0";"2.714957"
"130.0";"2.736366"
"140.0";"2.675419"
"150.0";"2.725005"
"160.0";"2.759509"
"170.0";"2.748558"
"180.0";"2.72108"
"190.0";"2.640193"
"200.0";"2.69815"
"210.0";"2.645733"
"220.0";"2.804183"
"230.0";"2.698316"
"240.0";"2.882664"
"250.0";"2.734369"
"260.0";"2.843167"
"270.0";"2.932725"
"280.0";"2.710833"
"290.0";"2.708167"
"300.0";"2.759302"
"310.0";"2.818938"
"320.0";"2.898146"
"330.0";"2.858517"
"340.0";"2.840338"
"350.0";"2.805826"
"360.0";"2.750866"
"370.0";"2.803617"
"380.0";"2.79266"
"390.0";"2.846634"
"400.0";"2.805723"
"410.0";"2.872401"
"420.0";"2.822149"
"430.0";"2.911439"
"440.0";"2.836584"
"450.0";"2.807983"
"460.0";"2.751167"
"470.0";"2.848496"
"480.0";"2.828912"
"490.0";"2.756741"
"500.0";"2.821365"
"510.0";"2.913848"
"520.0";"2.74429"
"530.0";"2.840705"
"540.0";"2.804105"
"550.0";"2.90505"
"560.0";"2.938739"
"570.0";"2.923587"
"580.0";"2.747867"
"590.0";"2.926657"
"600.0";"2.83797"
"610.0";"2.718041"
"620.0";"2.857266"
"630.0";"2.807494"
"640.0";"2.795677"
"650.0";"2.76399"
"660.0";"2.741876"
"670.0";"2.668232"
"680.0";"2.663749"
"690.0";"2.747397"
"700.0";"2.705114"
"710.0";"2.712357"
"720.0";"2.663043"
"730.0";"2.662694"
"740.0";"2.663291"
"750.0";"2.69071"
"760.0";"2.68197"
"770.0";"2.661453"
"780.0";"2.734915"
"790.0";"2.749739"
"800.0";"2.876704"
"810.0";"2.807594"
"820.0";"2.800098"
"830.0";"2.725452"
"840.0";"2.84833"
"850.0";"2.676532"
"860.0";"2.652822"
"870.0";"2.788906"
"880.0";"2.701953"
"890.0";"2.695846"
"900.0";"2.72581"
"910.0";"2.698264"
"920.0";"2.679299"
"930.0";"2.795037"
"940.0";"2.824453"
"950.0";"2.628144"
"960.0";"2.794479"
"970.0";"2.827952"
"980.0";"2.78035"
"990.0";"2.816545"
"1000.0";"2.76044"
"1010.0";"2.710159"
"1020.0";"2.828592"
"1030.0";"2.754202"
"1040.0";"2.73385"
"1050.0";"2.823442"
"1060.0";"2.855185"
"1070.0";"2.807022"
"1080.0";"2.716813"
"1090.0";"2.774774"
"1100.0";"2.805961"
"1110.0";"2.840808"
"1120.0";"2.844725"
"1130.0";"2.759575"
"1140.0";"2.730228"
"1150.0";"2.804761"
"1160.0";"2.785352"
"1170.0";"2.729807"
"1180.0";"2.803006"
"1190.0";"2.84273"
"1200.0";"2.920577"
"1210.0";"2.837375"
"1220.0";"2.793118"
"1230.0";"2.765385"
"1240.0";"2.676521"
"1250.0";"2.685777"
"1260.0";"2.868742"
"1270.0";"2.77825"
"1280.0";"2.687808"
"1290.0";"2.75702"
"1300.0";"2.741449"
"1310.0";"2.681844"
"1320.0";"2.787791"
"1330.0";"2.775643"
"1340.0";"2.832167"
"1350.0";"2.793728"
"1360.0";"2.770984"
"1370.0";"2.744843"
"1380.0";"2.748678"
"1390.0";"2.741586"
"1400.0";"2.746208"
"1410.0";"2.681389"
"1420.0";"2.765491"
"1430.0";"2.752739"
"1440.0";"2.702526"
"1450.0";"2.758635"
"1460.0";"2.778278"
"1470.0";"2.646737"
"1480.0";"2.723342"
"1490.0";"2.735778"
"1500.0";"2.843054"
"1510.0";"2.73448"
"1520.0";"2.767344"
"1530.0";"2.741016"
"1540.0";"2.845844"
"1550.0";"2.805252"
"1560.0";"2.734746"
"1570.0";"2.829261"
"1580.0";"2.617323"
"1590.0";"2.867591"
"1600.0";"2.712999"
"1610.0";"2.781322"
"1620.0";"2.81339"
"1630.0";"2.914516"
"1640.0";"2.829452"
"1650.0";"2.818338"
"1660.0";"2.780438"
"1670.0";"2.790432"
"1680.0";"2.854191"
"1690.0";"2.745885"
"1700.0";"2.733361"
"1710.0";"2.790871"
"1720.0";"2.655052"
"1730.0";"2.75208"
"1740.0";"2.697445"
"1750.0";"2.769253"
"1760.0";"2.762365"
"1770.0";"2.615074"
"1780.0";"2.674853"
"1790.0";"2.768363"
"1800.0";"2.679777"
