# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_3
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"2.14068";"1.95791";"1.95911";"1.22211"
"10.0";"2.14579";"1.96582";"1.96492";"1.21797"
"20.0";"2.13813";"1.95821";"1.95288";"1.22264"
"30.0";"2.14009";"1.96163";"1.95624";"1.21865"
"40.0";"2.13794";"1.95673";"1.95435";"1.222"
"50.0";"2.14337";"1.96418";"1.96072";"1.21887"
"60.0";"2.13401";"1.95458";"1.94807";"1.22173"
"70.0";"2.13594";"1.95654";"1.95361";"1.21649"
"80.0";"2.13705";"1.9576";"1.95329";"1.21918"
"90.0";"2.14045";"1.9582";"1.9556";"1.22645"
"100.0";"2.13983";"1.95745";"1.9576";"1.22226"
"110.0";"2.13376";"1.95259";"1.95038";"1.22038"
"120.0";"2.13662";"1.95464";"1.95286";"1.22313"
"130.0";"2.13521";"1.95532";"1.94987";"1.22187"
"140.0";"2.14333";"1.95992";"1.95886";"1.22853"
"150.0";"2.13615";"1.95456";"1.95122";"1.22422"
"160.0";"2.13698";"1.95567";"1.95142";"1.22502"
"170.0";"2.1366";"1.95377";"1.95187";"1.226"
"180.0";"2.14498";"1.96366";"1.96186";"1.22352"
"190.0";"2.14514";"1.96304";"1.96067";"1.22699"
"200.0";"2.1509";"1.97247";"1.96995";"1.21711"
"210.0";"2.14156";"1.96054";"1.95901";"1.22111"
"220.0";"2.15083";"1.96809";"1.96714";"1.22848"
"230.0";"2.15543";"1.97743";"1.96934";"1.22605"
"240.0";"2.15732";"1.97623";"1.97609";"1.2238"
"250.0";"2.13883";"1.95401";"1.95599";"1.22686"
"260.0";"2.15141";"1.97089";"1.96875";"1.22343"
"270.0";"2.14033";"1.95925";"1.95753";"1.22126"
"280.0";"2.14628";"1.96362";"1.96283";"1.22658"
"290.0";"2.13856";"1.95471";"1.95457";"1.22706"
"300.0";"2.14472";"1.96088";"1.96302";"1.22523"
"310.0";"2.14598";"1.96418";"1.96508";"1.22101"
"320.0";"2.1543";"1.9741";"1.97318";"1.22129"
"330.0";"2.13995";"1.95667";"1.95752";"1.22408"
"340.0";"2.14079";"1.95702";"1.95605";"1.2288"
"350.0";"2.13909";"1.95864";"1.95428";"1.22308"
"360.0";"2.13857";"1.95573";"1.95244";"1.22886"
"370.0";"2.14113";"1.96055";"1.9575";"1.222"
"380.0";"2.13361";"1.94981";"1.95067";"1.22382"
"390.0";"2.14325";"1.96116";"1.95934";"1.22552"
"400.0";"2.14267";"1.96213";"1.95834";"1.22351"
"410.0";"2.14659";"1.96571";"1.96507";"1.22075"
"420.0";"2.1419";"1.95886";"1.95791";"1.22677"
"430.0";"2.13605";"1.95433";"1.95274";"1.22182"
"440.0";"2.14214";"1.95944";"1.95847";"1.22576"
"450.0";"2.14973";"1.96895";"1.9675";"1.22264"
"460.0";"2.14661";"1.96608";"1.96227";"1.2247"
"470.0";"2.14632";"1.96487";"1.96318";"1.22416"
"480.0";"2.14479";"1.96451";"1.96182";"1.22156"
"490.0";"2.13846";"1.95772";"1.95102";"1.22755"
"500.0";"2.15203";"1.97474";"1.96568";"1.22432"
"510.0";"2.15457";"1.97632";"1.97064";"1.22272"
"520.0";"2.15355";"1.97442";"1.96986";"1.22347"
"530.0";"2.13592";"1.95413";"1.95203";"1.22281"
"540.0";"2.14217";"1.96343";"1.95437";"1.22604"
"550.0";"2.13746";"1.95782";"1.94937";"1.22652"
"560.0";"2.1573";"1.97885";"1.97522";"1.22089"
"570.0";"2.16401";"1.9887";"1.98347";"1.21524"
"580.0";"2.1505";"1.97429";"1.96788";"1.2161"
"590.0";"2.15079";"1.97187";"1.96791";"1.22101"
"600.0";"2.15243";"1.97591";"1.97193";"1.21375"
"610.0";"2.15183";"1.97079";"1.97416";"1.21632"
"620.0";"2.14529";"1.96332";"1.96481";"1.22042"
"630.0";"2.1458";"1.96471";"1.96455";"1.2204"
"640.0";"2.14654";"1.96595";"1.9644";"1.22123"
"650.0";"2.15626";"1.97478";"1.97551";"1.22333"
"660.0";"2.15947";"1.98174";"1.97858";"1.21843"
"670.0";"2.15878";"1.97958";"1.97856";"1.21954"
"680.0";"2.1461";"1.96407";"1.96436";"1.22278"
"690.0";"2.15511";"1.97211";"1.97565";"1.22335"
"700.0";"2.15211";"1.97037";"1.97195";"1.22153"
"710.0";"2.15415";"1.97344";"1.97547";"1.21812"
"720.0";"2.14104";"1.95943";"1.9602";"1.21916"
"730.0";"2.15879";"1.97617";"1.97803";"1.22593"
"740.0";"2.14962";"1.9695";"1.97005";"1.21726"
"750.0";"2.15226";"1.96929";"1.97066";"1.2259"
"760.0";"2.15293";"1.97643";"1.96939";"1.2188"
"770.0";"2.14957";"1.96692";"1.96952";"1.22211"
"780.0";"2.15075";"1.96719";"1.97283";"1.22046"
"790.0";"2.14454";"1.96267";"1.96501";"1.21852"
"800.0";"2.14509";"1.96513";"1.96439";"1.21749"
"810.0";"2.15766";"1.97678";"1.9818";"1.21483"
"820.0";"2.13923";"1.9592";"1.9594";"1.21444"
"830.0";"2.14418";"1.96217";"1.96385";"1.21991"
"840.0";"2.15746";"1.97705";"1.98064";"1.21557"
"850.0";"2.14589";"1.96797";"1.96251";"1.21873"
"860.0";"2.1483";"1.97009";"1.96776";"1.21535"
"870.0";"2.15574";"1.97474";"1.97663";"1.21973"
"880.0";"2.14969";"1.96865";"1.97057";"1.21803"
"890.0";"2.14872";"1.96894";"1.97047";"1.21432"
"900.0";"2.15282";"1.97374";"1.97376";"1.21568"
"910.0";"2.14378";"1.96291";"1.96411";"1.21689"
"920.0";"2.13514";"1.955";"1.95323";"1.21675"
"930.0";"2.15047";"1.97077";"1.97004";"1.21822"
"940.0";"2.14753";"1.96685";"1.96607";"1.22058"
"950.0";"2.14226";"1.9601";"1.96003";"1.22265"
"960.0";"2.15249";"1.97297";"1.97241";"1.21796"
"970.0";"2.14693";"1.96819";"1.9683";"1.2127"
"980.0";"2.1394";"1.95963";"1.95914";"1.2148"
"990.0";"2.15577";"1.9719";"1.97737";"1.22322"
"1000.0";"2.1377";"1.95398";"1.95428";"1.22567"
"1010.0";"2.14149";"1.95745";"1.95865";"1.2264"
"1020.0";"2.14228";"1.95869";"1.96176";"1.22218"
"1030.0";"2.14565";"1.96542";"1.96568";"1.21692"
"1040.0";"2.14323";"1.96217";"1.96321";"1.21762"
"1050.0";"2.14541";"1.96575";"1.96691";"1.21353"
"1060.0";"2.1476";"1.96561";"1.97004";"1.21642"
"1070.0";"2.14241";"1.9609";"1.96352";"1.21624"
"1080.0";"2.14201";"1.95911";"1.96225";"1.21979"
"1090.0";"2.14618";"1.9651";"1.966";"1.21876"
"1100.0";"2.14208";"1.95877";"1.96327";"1.21894"
"1110.0";"2.14841";"1.96908";"1.96749";"1.2178"
"1120.0";"2.15128";"1.97051";"1.97196";"1.21841"
"1130.0";"2.14207";"1.95822";"1.96188";"1.22203"
"1140.0";"2.14001";"1.95709";"1.95955";"1.22035"
"1150.0";"2.14275";"1.96194";"1.96214";"1.218"
"1160.0";"2.14871";"1.96844";"1.97076";"1.21461"
"1170.0";"2.14712";"1.97119";"1.96401";"1.21546"
"1180.0";"2.14099";"1.9592";"1.95816";"1.22262"
"1190.0";"2.14248";"1.96296";"1.96212";"1.21545"
"1200.0";"2.14466";"1.96414";"1.96312";"1.21961"
"1210.0";"2.15968";"1.9808";"1.97892";"1.22014"
"1220.0";"2.15665";"1.9752";"1.97753";"1.22076"
"1230.0";"2.14893";"1.96536";"1.96872";"1.22366"
"1240.0";"2.15261";"1.97162";"1.97282";"1.21988"
"1250.0";"2.15076";"1.97186";"1.9707";"1.21642"
"1260.0";"2.15497";"1.97256";"1.97696";"1.22001"
"1270.0";"2.14581";"1.96395";"1.967";"1.21771"
"1280.0";"2.14803";"1.96741";"1.96836";"1.21773"
"1290.0";"2.14172";"1.95648";"1.96186";"1.2236"
"1300.0";"2.15029";"1.97107";"1.96985";"1.21741"
"1310.0";"2.14481";"1.96339";"1.96412";"1.21974"
"1320.0";"2.14297";"1.96375";"1.95868";"1.22144"
"1330.0";"2.14533";"1.9669";"1.96391";"1.21623"
"1340.0";"2.14229";"1.95974";"1.96414";"1.2167"
"1350.0";"2.14078";"1.9554";"1.9619";"1.22198"
"1360.0";"2.13846";"1.95549";"1.95811";"1.21978"
"1370.0";"2.13708";"1.95156";"1.9597";"1.21871"
"1380.0";"2.1479";"1.96286";"1.96823";"1.22483"
"1390.0";"2.13855";"1.95667";"1.96013";"1.21496"
"1400.0";"2.14788";"1.96775";"1.96838";"1.21666"
"1410.0";"2.15461";"1.97392";"1.97937";"1.21262"
"1420.0";"2.14768";"1.96864";"1.96809";"1.21497"
"1430.0";"2.14348";"1.9601";"1.96497";"1.219"
"1440.0";"2.14968";"1.97156";"1.97027";"1.21378"
"1450.0";"2.14721";"1.96508";"1.96742";"1.22013"
"1460.0";"2.14384";"1.96321";"1.96209";"1.2199"
"1470.0";"2.14692";"1.96411";"1.96675";"1.22178"
"1480.0";"2.15154";"1.97066";"1.976";"1.21249"
"1490.0";"2.14463";"1.9638";"1.96491";"1.21718"
"1500.0";"2.14064";"1.95864";"1.96007";"1.21922"
"1510.0";"2.13374";"1.95243";"1.95208";"1.21782"
"1520.0";"2.14555";"1.96378";"1.96536";"1.21971"
"1530.0";"2.14377";"1.96316";"1.96239";"1.21926"
"1540.0";"2.1484";"1.96942";"1.96777";"1.21675"
"1550.0";"2.15869";"1.97816";"1.98099";"1.21756"
"1560.0";"2.15717";"1.97928";"1.97771";"1.21568"
"1570.0";"2.14451";"1.96174";"1.96464";"1.22047"
"1580.0";"2.14524";"1.96543";"1.96454";"1.21727"
"1590.0";"2.1505";"1.97062";"1.97238";"1.21478"
"1600.0";"2.16196";"1.98195";"1.98525";"1.21604"
"1610.0";"2.14753";"1.96715";"1.9651";"1.22168"
"1620.0";"2.1427";"1.9601";"1.96053";"1.22338"
"1630.0";"2.14324";"1.95985";"1.96212";"1.22312"
"1640.0";"2.14576";"1.96314";"1.96622";"1.22012"
"1650.0";"2.15047";"1.96662";"1.97292";"1.22024"
"1660.0";"2.15322";"1.97334";"1.97551";"1.21491"
"1670.0";"2.14821";"1.96591";"1.96866";"1.22032"
