# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol17_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLAD/6fxb_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL17-inner_dimer_area"
"0.0";"2.785151"
"10.0";"2.790195"
"20.0";"2.80057"
"30.0";"2.858474"
"40.0";"2.801991"
"50.0";"2.863679"
"60.0";"2.749146"
"70.0";"2.811918"
"80.0";"2.821526"
"90.0";"2.920607"
"100.0";"2.830121"
"110.0";"2.854816"
"120.0";"2.818728"
"130.0";"2.717462"
"140.0";"2.751728"
"150.0";"2.724282"
"160.0";"2.807144"
"170.0";"2.728218"
"180.0";"2.720678"
"190.0";"2.846536"
"200.0";"2.75635"
"210.0";"2.755255"
"220.0";"2.687369"
"230.0";"2.715679"
"240.0";"2.69056"
"250.0";"2.649806"
"260.0";"2.739115"
"270.0";"2.70255"
"280.0";"2.674309"
"290.0";"2.734694"
"300.0";"2.843325"
"310.0";"2.862858"
"320.0";"2.810337"
"330.0";"2.86675"
"340.0";"2.851593"
"350.0";"2.781787"
"360.0";"2.767266"
"370.0";"2.797359"
"380.0";"2.698774"
"390.0";"2.713097"
"400.0";"2.790329"
"410.0";"2.587648"
"420.0";"2.65828"
"430.0";"2.643191"
"440.0";"2.64256"
"450.0";"2.737621"
"460.0";"2.789526"
"470.0";"2.730144"
"480.0";"2.722196"
"490.0";"2.687165"
"500.0";"2.817458"
"510.0";"2.716645"
"520.0";"2.742923"
"530.0";"2.814086"
"540.0";"2.672769"
"550.0";"2.748168"
"560.0";"2.878029"
"570.0";"2.867054"
"580.0";"2.816626"
"590.0";"2.821923"
"600.0";"2.774104"
"610.0";"2.833371"
"620.0";"2.797604"
"630.0";"2.787348"
"640.0";"2.634598"
"650.0";"2.827333"
"660.0";"2.772313"
"670.0";"2.674675"
"680.0";"2.791764"
"690.0";"2.788371"
"700.0";"2.774216"
"710.0";"2.763602"
