# This .csv file was created 12.10.2024 22:36
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/NOLIGAND/6fxb_noligand_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.48844";"1.22713";"1.19869";"1.21991"
"10.0";"1.48884";"1.22277";"1.21309";"1.211"
"20.0";"1.48886";"1.22624";"1.20755";"1.21307"
"30.0";"1.48983";"1.23422";"1.20461";"1.21029"
"40.0";"1.49241";"1.23126";"1.20374";"1.22048"
"50.0";"1.48675";"1.22663";"1.20477";"1.21027"
"60.0";"1.48233";"1.22423";"1.19742";"1.20916"
"70.0";"1.49134";"1.2298";"1.20684";"1.21629"
"80.0";"1.49565";"1.23527";"1.20522";"1.22291"
"90.0";"1.48494";"1.22539";"1.20457";"1.20727"
"100.0";"1.49825";"1.23374";"1.21468";"1.22145"
"110.0";"1.48588";"1.2307";"1.20483";"1.20392"
"120.0";"1.49305";"1.23555";"1.2139";"1.20758"
"130.0";"1.49286";"1.23352";"1.20844";"1.21464"
"140.0";"1.49006";"1.23005";"1.21198";"1.20774"
"150.0";"1.48668";"1.23142";"1.20392";"1.20608"
"160.0";"1.49518";"1.23667";"1.21317";"1.21243"
"170.0";"1.49192";"1.23235";"1.2066";"1.21536"
"180.0";"1.49211";"1.23332";"1.21439";"1.20706"
"190.0";"1.49227";"1.23731";"1.20683";"1.21093"
"200.0";"1.48966";"1.22851";"1.21383";"1.20647"
"210.0";"1.49461";"1.23483";"1.21031";"1.21575"
"220.0";"1.48968";"1.23617";"1.19891";"1.21358"
"230.0";"1.48922";"1.22989";"1.20586";"1.21195"
"240.0";"1.48537";"1.23153";"1.19588";"1.21073"
"250.0";"1.49199";"1.23301";"1.20645";"1.21501"
"260.0";"1.48909";"1.23139";"1.21023";"1.20574"
"270.0";"1.49994";"1.23645";"1.21343";"1.2241"
"280.0";"1.49548";"1.23586";"1.21036";"1.21679"
"290.0";"1.4896";"1.23037";"1.20452";"1.21371"
"300.0";"1.49096";"1.23174";"1.20676";"1.21345"
"310.0";"1.48815";"1.22536";"1.2049";"1.21485"
"320.0";"1.4868";"1.23045";"1.19601";"1.21519"
"330.0";"1.4847";"1.22277";"1.20215";"1.21175"
"340.0";"1.49119";"1.2308";"1.19886";"1.22277"
"350.0";"1.49097";"1.23173";"1.20371";"1.21651"
"360.0";"1.49291";"1.2337";"1.20572";"1.21728"
"370.0";"1.49353";"1.23179";"1.20672";"1.21976"
"380.0";"1.48719";"1.23172";"1.19682";"1.21405"
"390.0";"1.48904";"1.23115";"1.19719";"1.21879"
"400.0";"1.48796";"1.22534";"1.20248";"1.21681"
"410.0";"1.48705";"1.23193";"1.19265";"1.21759"
"420.0";"1.48745";"1.22382";"1.20195";"1.21762"
"430.0";"1.49269";"1.23268";"1.20821";"1.21531"
"440.0";"1.48613";"1.21908";"1.21136";"1.20979"
"450.0";"1.48899";"1.22237";"1.20644";"1.21839"
"460.0";"1.49139";"1.22639";"1.20419";"1.22246"
"470.0";"1.49253";"1.23338";"1.20816";"1.21425"
"480.0";"1.49395";"1.22946";"1.20401";"1.22579"
"490.0";"1.49438";"1.23142";"1.21117";"1.21779"
"500.0";"1.48634";"1.22274";"1.20073";"1.2172"
"510.0";"1.48872";"1.22427";"1.20157";"1.22064"
"520.0";"1.48843";"1.22613";"1.20263";"1.21701"
"530.0";"1.48753";"1.22847";"1.1945";"1.22045"
"540.0";"1.48759";"1.22406";"1.20568";"1.21401"
"550.0";"1.49084";"1.23062";"1.20483";"1.21621"
"560.0";"1.48962";"1.23183";"1.19629";"1.22043"
"570.0";"1.48338";"1.22075";"1.19816";"1.2145"
"580.0";"1.49236";"1.23062";"1.20605";"1.21871"
"590.0";"1.48501";"1.22374";"1.20161";"1.21206"
"600.0";"1.48913";"1.22957";"1.20079";"1.21707"
"610.0";"1.48731";"1.23004";"1.19322";"1.2196"
"620.0";"1.4921";"1.23314";"1.19208";"1.22924"
