# This .csv file was created 12.10.2024 22:36
# extracted out of file prod_center_rottrans_p2_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/NOLIGAND/6fxb_noligand_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"1.7e-06"
"10.0";"0.080681"
"20.0";"0.0858186"
"30.0";"0.087268"
"40.0";"0.0869309"
"50.0";"0.091829"
"60.0";"0.0961084"
"70.0";"0.0917533"
"80.0";"0.0913928"
"90.0";"0.0929893"
"100.0";"0.098312"
"110.0";"0.0971868"
"120.0";"0.0993797"
"130.0";"0.1060463"
"140.0";"0.1115537"
"150.0";"0.1038737"
"160.0";"0.1150904"
"170.0";"0.1121131"
"180.0";"0.1054843"
"190.0";"0.104432"
"200.0";"0.1087355"
"210.0";"0.1091929"
"220.0";"0.1089299"
"230.0";"0.1092419"
"240.0";"0.11407"
"250.0";"0.1137349"
"260.0";"0.1098899"
"270.0";"0.1037295"
"280.0";"0.1030632"
"290.0";"0.111486"
"300.0";"0.1073959"
"310.0";"0.1145148"
"320.0";"0.1128836"
"330.0";"0.1164814"
"340.0";"0.1274163"
"350.0";"0.1164247"
"360.0";"0.119311"
"370.0";"0.1036017"
"380.0";"0.11079"
"390.0";"0.1107359"
"400.0";"0.1088339"
"410.0";"0.1175958"
"420.0";"0.1114181"
"430.0";"0.1136896"
"440.0";"0.104355"
"450.0";"0.1038409"
"460.0";"0.1122828"
"470.0";"0.1100129"
"480.0";"0.117455"
"490.0";"0.1170636"
"500.0";"0.1158363"
"510.0";"0.1140505"
"520.0";"0.1159166"
"530.0";"0.1111906"
"540.0";"0.1107685"
"550.0";"0.1161628"
"560.0";"0.1168907"
"570.0";"0.1176926"
"580.0";"0.1202953"
"590.0";"0.1197605"
"600.0";"0.126848"
"610.0";"0.1248557"
"620.0";"0.1271106"
"630.0";"0.1296338"
"640.0";"0.1364706"
"650.0";"0.1251303"
"660.0";"0.1263868"
"670.0";"0.1274231"
"680.0";"0.1265331"
"690.0";"0.1330104"
"700.0";"0.1196951"
"710.0";"0.1253545"
"720.0";"0.1230607"
"730.0";"0.1316324"
"740.0";"0.1330148"
"750.0";"0.1314116"
"760.0";"0.1316199"
"770.0";"0.1370471"
"780.0";"0.1288885"
"790.0";"0.1329976"
"800.0";"0.1250203"
"810.0";"0.1306037"
"820.0";"0.1343559"
"830.0";"0.1258638"
"840.0";"0.1317264"
"850.0";"0.1393235"
"860.0";"0.1370751"
"870.0";"0.1321422"
"880.0";"0.1280646"
"890.0";"0.1321568"
"900.0";"0.1345481"
"910.0";"0.1233564"
"920.0";"0.1257393"
"930.0";"0.1281855"
"940.0";"0.1254625"
"950.0";"0.1425738"
"960.0";"0.1438093"
"970.0";"0.1324654"
"980.0";"0.1353913"
"990.0";"0.1306655"
"1000.0";"0.1366305"
"1010.0";"0.1279938"
"1020.0";"0.128884"
"1030.0";"0.1336453"
"1040.0";"0.1348133"
"1050.0";"0.1319551"
"1060.0";"0.1385954"
"1070.0";"0.1326307"
"1080.0";"0.1313376"
"1090.0";"0.129394"
"1100.0";"0.1339662"
"1110.0";"0.1414255"
"1120.0";"0.1421333"
"1130.0";"0.1342594"
"1140.0";"0.1385788"
"1150.0";"0.1454711"
"1160.0";"0.1335278"
"1170.0";"0.142635"
"1180.0";"0.143571"
"1190.0";"0.1431181"
"1200.0";"0.1398331"
"1210.0";"0.1328532"
"1220.0";"0.1321876"
"1230.0";"0.1321681"
"1240.0";"0.137155"
"1250.0";"0.134002"
"1260.0";"0.1378659"
"1270.0";"0.1369788"
"1280.0";"0.1409896"
"1290.0";"0.1421435"
"1300.0";"0.1372536"
"1310.0";"0.1338966"
"1320.0";"0.1332063"
"1330.0";"0.1344166"
"1340.0";"0.1329259"
"1350.0";"0.1377212"
"1360.0";"0.1432567"
"1370.0";"0.1407742"
"1380.0";"0.1405609"
"1390.0";"0.14067"
"1400.0";"0.1309902"
"1410.0";"0.1396072"
"1420.0";"0.1334966"
"1430.0";"0.13808"
"1440.0";"0.1381999"
"1450.0";"0.1298955"
"1460.0";"0.1341844"
"1470.0";"0.1349583"
"1480.0";"0.1326617"
"1490.0";"0.1312876"
"1500.0";"0.1396261"
"1510.0";"0.1327672"
"1520.0";"0.1293807"
"1530.0";"0.1310796"
"1540.0";"0.1465134"
"1550.0";"0.1367297"
"1560.0";"0.1371313"
"1570.0";"0.1420158"
"1580.0";"0.1394434"
"1590.0";"0.140217"
"1600.0";"0.1375991"
"1610.0";"0.1363239"
"1620.0";"0.1410552"
"1630.0";"0.142277"
"1640.0";"0.1384094"
"1650.0";"0.1363113"
"1660.0";"0.1429805"
"1670.0";"0.147498"
"1680.0";"0.1500436"
"1690.0";"0.1470385"
"1700.0";"0.1545353"
"1710.0";"0.1396739"
"1720.0";"0.1435711"
"1730.0";"0.1468005"
"1740.0";"0.1417906"
"1750.0";"0.1458779"
"1760.0";"0.1500915"
"1770.0";"0.1584824"
"1780.0";"0.1524608"
"1790.0";"0.149836"
"1800.0";"0.1515228"
"1810.0";"0.1493364"
"1820.0";"0.1410106"
"1830.0";"0.147525"
"1840.0";"0.1469284"
"1850.0";"0.1522603"
"1860.0";"0.1446949"
"1870.0";"0.1374232"
"1880.0";"0.1426274"
"1890.0";"0.1472546"
"1900.0";"0.149387"
"1910.0";"0.1459311"
"1920.0";"0.1392066"
"1930.0";"0.1446238"
"1940.0";"0.1443974"
"1950.0";"0.1515058"
"1960.0";"0.150796"
"1970.0";"0.1461844"
"1980.0";"0.1555114"
"1990.0";"0.1499319"
"2000.0";"0.1440391"
"2010.0";"0.1423662"
"2020.0";"0.1437939"
"2030.0";"0.1460799"
"2040.0";"0.1426879"
"2050.0";"0.1386765"
"2060.0";"0.1391496"
"2070.0";"0.1423443"
"2080.0";"0.1519109"
"2090.0";"0.1615369"
"2100.0";"0.156787"
"2110.0";"0.1559423"
"2120.0";"0.1536456"
"2130.0";"0.1543724"
"2140.0";"0.1513144"
