# Dateiname: ./2blg_cla_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.329191
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,2.64,0.00,0.05,0.00
ΔANGLE,-0.00,3.71,0.00,0.07,0.00
ΔDIHED,-0.00,1.94,0.00,0.04,0.00
ΔVDWAALS,-22.75,0.03,5.31,0.00,0.10
ΔEEL,75.41,10.00,16.58,0.18,0.30
ΔEGB,-61.20,2.00,15.88,0.04,0.29
ΔESURF,-2.92,0.21,0.63,0.00,0.01
ΔGGAS,52.66,10.00,16.90,0.18,0.31
ΔGSOLV,-64.12,2.01,15.76,0.04,0.29
ΔTOTAL,-11.46,10.20,3.75,0.19,0.07
