# Dateiname: ./2blg_clab_3_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.328970
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,3.75,0.00,0.07,0.00
ΔANGLE,0.00,4.56,0.00,0.08,0.00
ΔDIHED,0.00,2.59,0.00,0.05,0.00
ΔVDWAALS,-28.96,1.06,5.87,0.02,0.11
ΔEEL,448.73,8.15,50.12,0.15,0.91
ΔEGB,-432.25,15.68,47.06,0.29,0.86
ΔESURF,-3.48,0.04,0.73,0.00,0.01
ΔGGAS,419.77,8.22,46.77,0.15,0.85
ΔGSOLV,-435.74,15.68,47.50,0.29,0.87
ΔTOTAL,-15.96,17.71,6.61,0.32,0.12
