# Dateiname: ./2blg_clad_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.330287
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,3.63,0.00,0.07,0.00
ΔANGLE,0.00,4.53,0.00,0.08,0.00
ΔDIHED,-0.00,2.33,0.00,0.04,0.00
ΔVDWAALS,-18.12,1.42,4.74,0.03,0.09
ΔEEL,191.16,21.19,92.19,0.39,1.68
ΔEGB,-173.61,25.70,85.11,0.47,1.55
ΔESURF,-2.49,0.00,0.66,0.00,0.01
ΔGGAS,173.04,21.24,90.07,0.39,1.64
ΔGSOLV,-176.10,25.70,85.45,0.47,1.56
ΔTOTAL,-3.06,33.34,6.70,0.61,0.12
