# Dateiname: ./6fxb_cad_2_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.332178
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,2.64,0.00,0.05,0.00
ΔANGLE,-0.00,3.33,0.00,0.06,0.00
ΔDIHED,-0.00,2.27,0.00,0.04,0.00
ΔVDWAALS,-18.00,0.51,4.69,0.01,0.09
ΔEEL,177.36,4.29,48.17,0.08,0.88
ΔEGB,-176.42,2.04,44.37,0.04,0.81
ΔESURF,-3.21,0.06,0.66,0.00,0.01
ΔGGAS,159.36,4.32,47.98,0.08,0.88
ΔGSOLV,-179.63,2.04,44.12,0.04,0.81
ΔTOTAL,-20.27,4.77,7.96,0.09,0.15
