# Dateiname: ./6fxb_cla_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.331825
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,0.00,2.77,0.00,0.05,0.00
ΔANGLE,0.00,3.56,0.00,0.06,0.00
ΔDIHED,-0.00,2.06,0.00,0.04,0.00
ΔVDWAALS,-10.15,0.47,6.73,0.01,0.12
ΔEEL,140.26,0.07,35.91,0.00,0.66
ΔEGB,-141.60,5.14,31.58,0.09,0.58
ΔESURF,-2.23,0.20,0.69,0.00,0.01
ΔGGAS,130.11,0.48,34.99,0.01,0.64
ΔGSOLV,-143.82,5.15,31.37,0.09,0.57
ΔTOTAL,-13.71,5.17,6.61,0.09,0.12
