# Dateiname: ./6fxb_clab_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.331267
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,3.67,0.00,0.07,0.00
ΔANGLE,0.00,4.61,0.00,0.08,0.00
ΔDIHED,0.00,2.79,0.00,0.05,0.00
ΔVDWAALS,-14.39,1.70,5.91,0.03,0.11
ΔEEL,83.09,14.21,40.56,0.26,0.74
ΔEGB,-72.60,2.51,38.54,0.05,0.70
ΔESURF,-2.67,0.00,0.97,0.00,0.02
ΔGGAS,68.70,14.31,41.62,0.26,0.76
ΔGSOLV,-75.27,2.51,38.07,0.05,0.69
ΔTOTAL,-6.57,14.53,6.43,0.27,0.12
