# Dateiname: ./6fxb_clad_1_FINAL_RESULTS_MMPBSA.dat
# Erstellungsdatum: 2024-10-11 10:28:05.330657
# Beschreibung: Energiekomponenten und statistische Parameter
Energy Component,Average,SD(Prop.),SD,SEM(Prop.),SEM
ΔBOND,-0.00,3.66,0.00,0.07,0.00
ΔANGLE,0.00,4.72,0.00,0.09,0.00
ΔDIHED,-0.00,2.66,0.00,0.05,0.00
ΔVDWAALS,-19.31,1.34,6.52,0.02,0.12
ΔEEL,436.09,18.24,36.83,0.33,0.67
ΔEGB,-437.66,8.64,31.62,0.16,0.58
ΔESURF,-4.02,0.07,0.63,0.00,0.01
ΔGGAS,416.78,18.29,35.79,0.33,0.65
ΔGSOLV,-441.68,8.64,31.57,0.16,0.58
ΔTOTAL,-24.90,20.23,7.51,0.37,0.14
